energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
-5.0,0,0.5,0.06022,0.00572,0.0435,0.011
13.62,0,0.5,0.03795,0.0028,0.034,0.00115
30.33,0,0.5,0.0451,0.0031,0.034,0.008
37.49,0,0.5,0.0434,0.0044,0.034,0.005
60.1,0,0.5,0.05956,0.0236,0.034,0.00196
89.3,0,0.5,0.0565,0.0125,0.04,0.004
103.4,0,0.5,0.0494,0.0054,0.04,0.004
130.3,0,0.5,0.0476,0.0036,0.04,0.004
148.7,0,0.5,0.068,0.024,0.04,0.004
154.6,0,0.5,0.0555,0.0115,0.04,0.004
235.2,0,0.5,0.095,0.051,0.04,0.004
245.3,0,0.5,0.115,0.071,0.04,0.004
265.0,0,0.5,0.112,0.068,0.04,0.004
