energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
4.315,0,0.5,0.0288106,0.0003106,0.028,0.0005
15.33,0,0.5,0.03203,0.00055,0.031,0.00048
32.95,0,0.5,0.03503751,0.00018329,0.0347,0.00015422
47.0,0,0.5,0.03509029,0.00021809,0.0347,0.0001722
84.43,0,0.5,0.0583242,0.022968,0.0347,0.0006562
91.84,0,0.5,0.05471911,0.019858,0.0347,0.00016111
131.0,0,0.5,0.05022129,0.015503,0.0347,1.8288e-05
158.4,0,0.5,0.06586529,0.030478,0.0347,0.00068729
193.5,0,0.5,0.1041707,0.069406,0.0347,6.4711e-05
232.8,0,0.5,0.05046168,0.015621,0.0347,0.00014068
250.7,0,0.5,0.04411077,0.0090518,0.0347,0.00035897
278.3,0,0.5,0.0426598,0.0067019,0.0347,0.0012579
288.2,0,0.5,0.1019711,0.066981,0.0347,0.00029006
313.4,0,0.5,0.06173691,0.026896,0.0347,0.00014091
357.0,0,0.5,0.09980128,0.064901,0.0347,0.00020028
362.0,0,0.5,0.06904381,0.034,0.0347,0.00034381
381.1,0,0.5,0.1884836,0.15344,0.0347,0.00034356
