energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
61.613,0,2.0,0.05498834,0.000516768,0.054,0.00047157
62.549,0,2.0,0.04438089,0.0002664,0.044,0.00011449
63.507,0,3.0,0.05797311,0.000159782,0.057,0.00081333
64.039,0,2.0,0.05100737,0.0045996,0.046,0.00040777
64.539,0,3.0,0.03275391,0.00157459,0.031,0.00017932
65.164,0,2.0,0.05347252,0.00578544,0.047,0.00068708
65.733,0,2.0,0.06697668,0.00158232,0.065,0.00039436
66.314,0,3.0,0.05127831,0.000835714,0.05,0.0004426
66.874,0,3.0,0.03273548,0.00161774,0.031,0.00011774
68.525,0,2.0,0.0648633,0.000528696,0.063,0.0013346
69.585,0,3.0,0.05802852,0.000982989,0.057,4.5529e-05
69.824,0,3.0,0.05148235,0.00220423,0.049,0.00027812
71.253,0,2.0,0.0301112,0.000810864,0.029,0.00030034
71.463,0,3.0,0.03210348,0.000890263,0.031,0.00021322
71.841,0,2.0,0.04651039,0.00123919,0.045,0.0002712
72.276,0,3.0,0.06174594,0.000214303,0.061,0.00053164
74.969,0,3.0,0.06098302,0.000423926,0.06,0.00055909
75.715,0,2.0,0.04348032,0.000471504,0.043,8.8174e-06
75.943,0,3.0,0.04772254,0.000429497,0.047,0.00029304
76.779,0,2.0,0.0353185,0.000129804,0.034,0.0011887
78.191,0,3.0,0.0687871,0.00158229,0.067,0.00020481
78.551,0,3.0,0.03608912,0.000879789,0.035,0.00020933
79.555,0,2.0,0.06759129,0.00100754,0.066,0.00058375
80.05,0,3.0,0.05354964,0.000491126,0.053,5.8514e-05
80.393,0,2.0,0.05316206,0.000717696,0.052,0.00044436
81.077,0,2.0,0.02227601,0.000231427,0.022,4.4579e-05
81.458,0,3.0,0.05304506,0.000797931,0.052,0.00024713
82.089,0,2.0,0.033044,0.00177578,0.031,0.00026822
82.9,0,3.0,0.06283752,0.00041796,0.062,0.00041956
83.37,0,2.0,0.044559,0.000549096,0.044,9.9027e-06
84.006,0,3.0,0.06340421,0.00120437,0.062,0.00019984
84.685,0,2.0,0.06029632,0.00252216,0.057,0.00077416
86.61,0,3.0,0.04162114,0.000218949,0.041,0.00040219
87.481,0,3.0,0.03058469,0.000175046,0.03,0.00040964
87.984,0,2.0,0.06236344,0.0044664,0.057,0.00089704
89.297,0,3.0,0.04643687,0.000405651,0.046,3.1223e-05
89.602,0,2.0,0.05989775,0.00243744,0.057,0.00046031
93.412,0,3.0,0.05959289,0.00539657,0.054,0.00019632
94.61,0,3.0,0.03885486,0.00062484,0.038,0.00023002
95.285,0,2.0,0.04350399,0.000501552,0.043,2.4384e-06
95.686,0,3.0,0.04357961,0.00233846,0.041,0.00024115
96.1,0,3.0,0.04756839,0.00240514,0.045,0.00016325
96.46,0,2.0,0.04755544,0.0032808,0.044,0.00027464
97.423,0,2.0,0.05673596,0.000438216,0.056,0.00029774
98.356,0,3.0,0.06451563,0.000288994,0.064,0.00022664
100.16,0,3.0,0.06727589,0.00103591,0.066,0.00023998
101.6,0,2.0,0.05467113,0.00339,0.051,0.00028113
102.56,0,3.0,0.03040366,0.000320143,0.03,8.3517e-05
