energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
-30.0,0,0.5,0.0574,0.018,0.02,0.0194
7.247,0,0.5,0.0252565,0.0018865,0.0233,7e-05
26.9,0,0.5,0.05132,0.0192,0.032,0.00012
35.01,0,0.5,0.04178,0.0115,0.0302,8e-05
76.1,0,0.5,0.1252999,0.0950999,0.026,0.0042
98.95,0,0.5,0.17347,0.147,0.026,0.00047
140.3,0,0.5,0.03005,0.0015,0.026,0.00255
186.4,0,0.5,0.03317999,0.00417999,0.026,0.003
237.9,0,0.5,0.0448,0.0162,0.026,0.0026
258.7,0,0.5,0.0898,0.0618,0.026,0.002
321.8,0,0.5,0.0533,0.026,0.026,0.0013
380.6,0,0.5,0.1192999,0.0919999,0.026,0.0013
415.7,0,0.5,0.0764,0.0491,0.026,0.0013
457.7,0,0.5,0.1015,0.0745,0.026,0.001
484.9,0,0.5,0.0365,0.0095,0.026,0.001
541.8,0,0.5,0.406,0.379,0.026,0.001
605.3,0,0.5,0.1009999,0.0739999,0.026,0.001
647.0,0,0.5,0.134,0.107,0.026,0.001
688.6,0,0.5,0.0643,0.037,0.026,0.0013
694.3,0,0.5,0.2273,0.2,0.026,0.0013
721.5,0,0.5,0.1162999,0.0889999,0.026,0.0013
769.4,0,0.5,0.0883,0.061,0.026,0.0013
865.9,0,0.5,0.5103,0.483,0.026,0.0013
887.1,0,0.5,0.1252999,0.0979999,0.026,0.0013
958.6,0,0.5,0.1323,0.105,0.026,0.0013
994.2,0,0.5,0.1473,0.12,0.026,0.0013
1042.0,0,0.5,0.2143,0.187,0.026,0.0013
1103.3,0,0.5,0.2433,0.216,0.026,0.0013
1193.6,0,0.5,0.3523,0.325,0.026,0.0013
1209.7,0,0.5,0.0623,0.035,0.026,0.0013
1262.0,0,0.5,0.2933,0.266,0.026,0.0013
1276.6,0,0.5,0.2023,0.175,0.026,0.0013
1288.1,0,0.5,0.0813,0.054,0.026,0.0013
1389.0,0,0.5,0.4263,0.399,0.026,0.0013
1505.0,0,0.5,0.6983,0.671,0.026,0.0013
1646.0,0,0.5,0.1573,0.13,0.026,0.0013
1812.0,0,0.5,0.5633,0.536,0.026,0.0013
1910.0,0,0.5,0.1453,0.118,0.026,0.0013
2040.0,0,0.5,0.2213,0.194,0.026,0.0013
2071.0,0,0.5,0.7963,0.769,0.026,0.0013
2138.0,0,0.5,0.4893,0.462,0.026,0.0013
2156.0,0,0.5,0.1803,0.153,0.026,0.0013
2215.0,0,0.5,0.6723,0.645,0.026,0.0013
2234.0,0,0.5,0.1123,0.085,0.026,0.0013
2291.0,0,0.5,0.3523,0.325,0.026,0.0013
2369.0,0,0.5,0.5143,0.487,0.026,0.0013
2391.0,0,0.5,0.3453,0.318,0.026,0.0013
2984.0,0,0.5,1.5573,1.53,0.026,0.0013
