energy,W185 + photon [inclusive] width,n + W184 width,J,Pi,L
-386.6234,0.054,11.07835,0.5,1,0
101.948,0.03524564,0.003780812,0.5,1,0
168.8881,0.05713735,2.436928e-05,0.5,1,0
184.1735,0.06041178,1.175263,0.5,1,0
243.0381,0.08982312,0.002744051,0.5,1,0
310.7562,0.05174616,0.08727909,0.5,1,0
423.3133,0.07646799,0.05203291,0.5,1,0
681.7006,0.06645606,0.7485929,0.5,1,0
799.9404,0.04950586,1.768182,0.5,1,0
957.7157,0.07505358,1.455671,0.5,1,0
999.005,0.07084046,0.08989248,0.5,1,0
1085.947,0.04965006,3.510693,0.5,1,0
1133.014,0.05557723,0.4177998,0.5,1,0
1261.224,0.06076139,1.426055,0.5,1,0
1335.145,0.06439456,0.01921836,0.5,1,0
1401.325,0.05578248,3.549582,0.5,1,0
1424.29,0.04896727,0.8282728,0.5,1,0
1514.897,0.05673092,1.585691,0.5,1,0
1553.458,0.0551689,0.06785489,0.5,1,0
1655.24,0.0662801,0.2698183,0.5,1,0
1792.439,0.06494372,1.444541,0.5,1,0
1875.118,0.06053397,0.01293701,0.5,1,0
1920.962,0.05800212,0.2304724,0.5,1,0
2046.043,0.05582223,1.36519,0.5,1,0
2093.016,0.07108246,4.981607,0.5,1,0
2211.698,0.05701522,0.3045006,0.5,1,0
2253.166,0.05684893,0.4394546,0.5,1,0
2412.382,0.0652991,1.342941,0.5,1,0
2460.073,0.05241153,0.4680309,0.5,1,0
2541.331,0.06739,0.6748768,0.5,1,0
2622.418,0.05494492,1.21273,0.5,1,0
2840.444,0.06297877,0.04489739,0.5,1,0
2924.404,0.07093828,2.26041,0.5,1,0
2984.074,0.05912381,0.8166812,0.5,1,0
3134.491,0.05760907,0.4465144,0.5,1,0
3184.369,0.07401841,0.9605575,0.5,1,0
3204.584,0.06460683,2.390448,0.5,1,0
3234.249,0.05784963,0.373377,0.5,1,0
3458.51,0.05755948,2.126274,0.5,1,0
3541.04,0.05445845,1.21711,0.5,1,0
3598.24,0.05647586,0.1511549,0.5,1,0
3738.766,0.07398992,3.277112,0.5,1,0
3809.268,0.05612128,4.294364,0.5,1,0
3941.459,0.06650868,0.2275617,0.5,1,0
4009.841,0.05513492,0.3850936,0.5,1,0
4187.556,0.07249963,2.424575,0.5,1,0
