energy,Gd156 + photon [inclusive] width,n + Gd155 width,J,Pi,L
2.008,0.11,0.0003706666,1,1,0
3.616,0.13,4.4e-05,1,1,0
11.53,0.125,0.0006,1,1,0
14.51,0.103,0.0032,1,1,0
27.57,0.125,0.00112,1,1,0
33.14,0.1098,0.001866667,1,1,0
33.51,0.115,0.0016,1,1,0
34.83,0.152,0.006133333,1,1,0
37.12,0.101,0.0084,1,1,0
43.92,0.136,0.01733333,1,1,0
47.73,0.1098,0.0006533333,1,1,0
51.38,0.1098,0.01866667,1,1,0
52.13,0.115,0.01946667,1,1,0
65.2,0.1098,0.001333333,1,1,0
77.8,0.1098,0.0012,1,1,0
80.9,0.1098,0.0024,1,1,0
84.2,0.1098,0.0092,1,1,0
85.0,0.1098,0.003066667,1,1,0
96.6,0.1098,0.006266667,1,1,0
98.3,0.1098,0.01733333,1,1,0
100.2,0.1098,0.002133333,1,1,0
102.1,0.1098,0.001733333,1,1,0
104.4,0.1098,0.009066666,1,1,0
105.9,0.1098,0.006133333,1,1,0
109.6,0.1098,0.004666667,1,1,0
116.5,0.116,0.01733333,1,1,0
123.4,0.159,0.036,1,1,0
126.0,0.1098,0.02053333,1,1,0
130.8,0.1098,0.04853334,1,1,0
133.0,0.1098,0.003733333,1,1,0
137.8,0.1098,0.02133333,1,1,0
140.4,0.1098,0.004133333,1,1,0
149.6,0.1098,0.03333334,1,1,0
152.2,0.1098,0.008,1,1,0
168.3,0.1098,0.03013333,1,1,0
178.0,0.1098,0.009733333,1,1,0
180.4,0.1098,0.01466667,1,1,0
0.0268,0.108,0.000104,2,1,0
2.568,0.111,0.001744,2,1,0
6.3,0.114,0.002,2,1,0
7.75,0.124,0.00112,2,1,0
10.01,0.115,0.000168,2,1,0
11.99,0.112,0.00088,2,1,0
17.77,0.12,0.000392,2,1,0
19.92,0.104,0.00456,2,1,0
21.03,0.098,0.0156,2,1,0
23.67,0.12,0.00312,2,1,0
29.58,0.108,0.00432,2,1,0
30.1,0.1,0.0104,2,1,0
31.72,0.118,0.00112,2,1,0
35.47,0.118,0.00184,2,1,0
39.0,0.118,0.00104,2,1,0
46.1,0.126,0.00224,2,1,0
46.87,0.1,0.00536,2,1,0
53.03,0.1098,0.00136,2,1,0
53.74,0.092,0.00768,2,1,0
56.22,0.12,0.00216,2,1,0
59.32,0.129,0.00664,2,1,0
62.84,0.09,0.007999999,2,1,0
64.09,0.1098,0.000256,2,1,0
69.4,0.1098,0.00632,2,1,0
77.0,0.1098,0.0016,2,1,0
78.8,0.1098,0.00424,2,1,0
80.05,0.1098,0.000312,2,1,0
90.5,0.1098,0.00128,2,1,0
92.5,0.1098,0.00216,2,1,0
92.8,0.1098,0.00312,2,1,0
94.1,0.1098,0.000544,2,1,0
95.7,0.1098,0.00384,2,1,0
101.4,0.1098,0.00272,2,1,0
107.1,0.1098,0.00624,2,1,0
112.4,0.084,0.00904,2,1,0
113.8,0.067,0.0152,2,1,0
118.6,0.1098,0.002,2,1,0
124.4,0.1098,0.00664,2,1,0
128.6,0.1098,0.00112,2,1,0
129.8,0.1098,0.00256,2,1,0
133.8,0.1098,0.00232,2,1,0
134.7,0.1098,0.00088,2,1,0
141.4,0.1098,0.00104,2,1,0
145.6,0.1098,0.00616,2,1,0
146.9,0.1098,0.00376,2,1,0
148.2,0.1098,0.0096,2,1,0
150.2,0.1098,0.0248,2,1,0
154.0,0.1098,0.00112,2,1,0
156.3,0.1098,0.00768,2,1,0
160.1,0.1098,0.0096,2,1,0
161.6,0.1098,0.02,2,1,0
170.3,0.1098,0.00832,2,1,0
171.4,0.1098,0.0092,2,1,0
173.5,0.1098,0.0328,2,1,0
175.6,0.1098,0.00208,2,1,0
