energy,Cl38 + photon [inclusive] width,n + Cl37 width,J,Pi,L
-1000.0,0.224585,9.55569,1,1,0
25579.3,0.51278,652.216,1,1,0
97900.81,0.706793,1.44828,1,1,0
179861.2,0.216,1609.78,1,1,0
190702.2,0.46429,1111.37,1,1,0
208346.4,0.11501,519.418,1,1,0
226560.0,0.477,4.30106,1,1,0
256783.0,2.3843,41.788,1,1,0
281522.0,0.3175,131.663,1,1,0
316614.0,0.36905,112.46,1,1,0
334078.0,0.36596,1037.22,1,1,0
394434.7,0.38424,64.3706,1,1,0
507968.0,0.832,3127.13,1,1,0
611811.0,0.832,680.704,1,1,0
1809579.0,0.416,303262.0,1,1,0
8320.816,0.19634,78.7043,2,1,0
46653.16,0.26528,390.486,2,1,0
93137.97,0.22059,726.63,2,1,0
127757.1,0.26796,391.026,2,1,0
136284.7,0.262,1391.8,2,1,0
186996.7,0.3175,308.529,2,1,0
221154.3,0.20147,65.1564,2,1,0
248454.7,0.26725,133.117,2,1,0
358378.8,0.21764,764.151,2,1,0
431031.6,0.25781,144.137,2,1,0
434208.9,0.35612,95.0321,2,1,0
493456.3,0.32521,268.702,2,1,0
627239.3,0.832,911.936,2,1,0
649606.3,1.664,2016.71,2,1,0
670190.3,1.664,615.71,2,1,0
747621.3,1.664,299.169,2,1,0
789290.8,1.664,261.745,2,1,0
1083306.0,1.664,1641.05,2,1,0
1482062.0,6.656,7118.29,2,1,0
55145.86,0.07,3.921,0,-1,1
114740.0,0.33093,250.001,0,-1,1
135433.6,0.23799,163.916,0,-1,1
164953.7,1.1756,214.949,0,-1,1
177610.2,0.48803,458.508,0,-1,1
214159.3,1.7182,271.19,0,-1,1
217675.4,3.1041,430.707,0,-1,1
218656.2,0.35758,151.04,0,-1,1
219681.3,0.35634,107.211,0,-1,1
227655.2,0.91909,44.2782,0,-1,1
229903.2,0.24064,248.75,0,-1,1
263856.8,0.36493,186.357,0,-1,1
278115.2,0.36199,108.966,0,-1,1
377172.7,0.94467,3368.43,0,-1,1
571438.8,0.976,1071.54,0,-1,1
586871.8,0.976,843.779,0,-1,1
606025.9,0.976,1029.41,0,-1,1
32187.02,0.082279,10.5349,1,-1,1
42357.53,0.26025,0.278949,1,-1,1
86210.59,0.25186,1.10318,1,-1,1
128224.6,0.2809,35.4931,1,-1,1
144342.0,0.15444,64.0858,1,-1,1
166468.8,0.82723,86.5883,1,-1,1
167300.7,0.28568,51.5496,1,-1,1
179905.0,0.21566,116.814,1,-1,1
213225.4,1.2769,25.9126,1,-1,1
265844.5,0.91654,65.7018,1,-1,1
308950.2,0.33174,515.336,1,-1,1
335999.3,0.35753,789.519,1,-1,1
414243.0,0.35246,3035.2,1,-1,1
491522.8,0.32521,3532.0,1,-1,1
513595.5,0.976,197.043,1,-1,1
523394.4,0.976,939.09,1,-1,1
553886.7,0.976,1967.45,1,-1,1
578390.3,0.976,1372.41,1,-1,1
603984.1,0.976,1053.51,1,-1,1
918998.9,1.952,997.413,1,-1,1
942188.1,1.952,940.43,1,-1,1
150084.4,0.51468,89.648,1,-1,1
191134.0,0.39197,184.361,1,-1,1
254781.6,0.54781,63.9852,1,-1,1
255660.1,0.87642,60.4479,1,-1,1
301172.9,0.37553,400.661,1,-1,1
569509.9,0.976,476.68,1,-1,1
584892.6,0.976,697.005,1,-1,1
596988.3,0.976,574.468,1,-1,1
27824.08,0.078808,5.53672,2,-1,1
55440.45,0.17884,122.796,2,-1,1
66706.82,0.10703,25.9186,2,-1,1
66837.41,0.15403,50.8838,2,-1,1
150672.4,0.41248,12.6628,2,-1,1
157563.3,0.16558,148.925,2,-1,1
168958.0,0.15099,248.027,2,-1,1
254030.7,0.36573,694.032,2,-1,1
262435.2,0.57656,73.1011,2,-1,1
280658.0,0.30246,92.817,2,-1,1
360737.5,0.33755,196.847,2,-1,1
383647.9,0.84142,2131.56,2,-1,1
391891.4,0.38337,84.0867,2,-1,1
411719.3,0.36103,213.496,2,-1,1
415189.4,0.33585,921.26,2,-1,1
417857.4,0.35127,3150.04,2,-1,1
425181.5,0.34726,602.753,2,-1,1
435890.0,0.3965,153.33,2,-1,1
495704.7,0.32521,506.885,2,-1,1
498141.6,1.44004,2133.7,2,-1,1
500357.4,0.40354,1753.7,2,-1,1
516621.3,0.976,1077.58,2,-1,1
557174.8,0.976,793.795,2,-1,1
634681.0,0.976,921.531,2,-1,1
742446.0,1.952,465.318,2,-1,1
865896.8,1.952,6575.25,2,-1,1
899985.2,1.952,570.939,2,-1,1
958817.6,1.952,1137.74,2,-1,1
1024243.0,1.952,2600.28,2,-1,1
1037953.0,1.952,2262.05,2,-1,1
1214867.0,200000.0,40.0,2,-1,1
1292677.0,20.0,4326.89,2,-1,1
176722.5,0.36131,166.176,2,-1,1
259251.5,1.6362,43.2703,2,-1,1
311056.0,0.34865,2368.62,2,-1,1
368403.2,0.33229,98.2099,2,-1,1
417051.5,0.3494,228.572,2,-1,1
576363.2,0.976,1108.32,2,-1,1
610421.5,0.976,1385.84,2,-1,1
651840.8,1.952,65.6362,2,-1,1
693383.1,1.952,230.7,2,-1,1
890155.6,1.952,1235.46,2,-1,1
926964.1,1.952,1457.57,2,-1,1
967391.4,1.952,1209.41,2,-1,1
995436.2,1.952,2933.87,2,-1,1
1044078.0,1.952,1682.76,2,-1,1
1098546.0,1.952,1527.34,2,-1,1
51547.65,0.078459,3.32885,3,-1,1
125259.3,0.006,31.1079,3,-1,1
125508.3,0.006,26.3789,3,-1,1
143721.4,0.17061,652.968,3,-1,1
244091.5,0.23509,22.9533,3,-1,1
288346.2,0.35897,36.7653,3,-1,1
298766.0,0.81823,13.5748,3,-1,1
333286.0,0.36475,239.172,3,-1,1
379387.9,0.383,869.537,3,-1,1
424043.0,0.37358,327.982,3,-1,1
427531.3,1.0556,150.436,3,-1,1
446394.2,0.47011,2215.23,3,-1,1
525733.4,0.976,858.013,3,-1,1
588402.1,0.976,643.779,3,-1,1
636765.6,0.976,832.644,3,-1,1
708422.0,1.952,1044.5,3,-1,1
820589.9,1.952,3126.33,3,-1,1
925243.4,1.952,401.796,3,-1,1
962408.7,1.952,1254.7,3,-1,1
970674.8,1.952,1804.78,3,-1,1
1304364.0,20.0,12935.3,3,-1,1
1386775.0,20.0,29157.5,3,-1,1
