energy,U234 + photon [inclusive] width,n + U233 width,J,Pi,L
242.6466,0.0360805,0.01142286,2,1,0
244.8962,0.03891873,8.94665e-05,2,1,0
250.043,0.01684084,0.005972002,2,1,0
250.5494,0.02761291,0.0008626614,2,1,0
252.1013,0.02957461,0.01300272,2,1,0
256.7165,0.03654659,0.002881954,2,1,0
258.8115,0.03689328,0.001539473,2,1,0
260.0661,0.03857177,0.0003239153,2,1,0
262.4525,0.03566683,0.002347715,2,1,0
262.9811,0.03631615,0.001014547,2,1,0
263.6994,0.0362017,0.002807651,2,1,0
268.4825,0.03939953,0.002378848,2,1,0
272.0045,0.03187273,0.0009670769,2,1,0
273.8273,0.0835432,0.008020781,2,1,0
275.0207,0.02638951,0.004521475,2,1,0
276.1528,0.03293775,0.008852618,2,1,0
277.6755,0.02615431,0.004043067,2,1,0
280.8748,0.03574217,0.005959356,2,1,0
281.6297,0.08188984,0.003184457,2,1,0
287.2208,0.0495908,0.006132652,2,1,0
291.13,0.03797197,0.001418233,2,1,0
294.6178,0.02239448,0.01188279,2,1,0
295.2738,0.02941703,0.0007276165,2,1,0
295.629,0.03069956,1.222e-05,2,1,0
298.3011,0.03619766,0.02697789,2,1,0
302.4659,0.05101715,0.004493226,2,1,0
303.5892,0.03855037,0.001936361,2,1,0
306.3532,0.0381525,8.342523e-05,2,1,0
307.6692,0.03806965,0.001623143,2,1,0
310.9834,0.03734253,0.003464769,2,1,0
313.0611,0.03508667,2.14235e-07,2,1,0
314.0278,0.0391548,0.00993566,2,1,0
314.5591,0.03838957,0.000735811,2,1,0
314.9725,0.04410253,0.004799239,2,1,0
317.3025,0.03833507,0.0009257063,2,1,0
319.9317,0.0420137,0.003260887,2,1,0
321.4236,0.03276632,0.004852711,2,1,0
322.436,0.03860887,0.001906546,2,1,0
323.8737,0.03815978,0.0002093298,2,1,0
326.8163,0.05118922,0.001820237,2,1,0
329.5316,0.02916004,0.004482228,2,1,0
331.0412,0.0404939,0.001690149,2,1,0
332.6922,0.03329597,0.001765515,2,1,0
333.8517,0.03360135,0.008020816,2,1,0
333.9345,0.03457242,0.001534589,2,1,0
335.356,0.03622153,0.001186463,2,1,0
338.5831,0.04008431,0.01215024,2,1,0
339.7043,0.04350499,0.009449352,2,1,0
341.0711,0.03879538,0.005044813,2,1,0
342.4701,0.0381265,0.005947012,2,1,0
343.143,0.03896509,2.160357e-05,2,1,0
343.6006,0.03743252,0.003116794,2,1,0
344.1582,0.03809206,1.69396e-05,2,1,0
347.7096,0.04442738,0.00159497,2,1,0
349.9474,0.03831142,0.003177974,2,1,0
349.9772,0.03802228,0.0002843945,2,1,0
351.8346,0.04598119,0.001611556,2,1,0
353.8799,0.03585782,0.001557735,2,1,0
354.6663,0.03599271,0.005642689,2,1,0
355.1024,0.03847066,0.002271901,2,1,0
356.9574,0.03827309,1.567421e-05,2,1,0
357.7035,0.03852288,0.001948963,2,1,0
359.2281,0.03878449,0.001169955,2,1,0
362.9897,0.03604473,0.000725135,2,1,0
363.7492,0.04335303,0.002520833,2,1,0
365.5476,0.02892005,0.02399827,2,1,0
366.0604,0.03537826,0.004717629,2,1,0
367.2668,0.0355567,0.00333101,2,1,0
371.5187,0.03561706,0.01310297,2,1,0
374.9386,0.04256732,0.001088812,2,1,0
375.8548,0.03425085,0.005444534,2,1,0
376.3851,0.04909347,0.003034795,2,1,0
379.6941,0.03859749,0.0001792754,2,1,0
384.8734,0.03426869,0.003886993,2,1,0
385.4481,0.04785472,0.002671253,2,1,0
390.5109,0.05295183,0.01006741,2,1,0
393.0635,0.036728,0.03302512,2,1,0
393.5571,0.04163337,0.0001096514,2,1,0
395.8996,0.03420162,0.002972607,2,1,0
399.178,0.03787434,0.001746406,2,1,0
401.8507,0.03872564,3.369812e-05,2,1,0
402.5353,0.03832132,0.001508617,2,1,0
404.5727,0.03862324,0.005256903,2,1,0
407.563,0.03338565,0.002744482,2,1,0
408.8879,0.03601795,0.001272837,2,1,0
410.8032,0.03657348,0.00016904,2,1,0
412.1691,0.03933263,0.0008037594,2,1,0
415.5392,0.04655689,0.008961807,2,1,0
421.0428,0.03659945,0.004641248,2,1,0
422.4605,0.03887246,2.347381e-05,2,1,0
424.1045,0.04620253,0.00775745,2,1,0
426.6184,0.03801425,0.001214598,2,1,0
427.0487,0.03628707,0.001070397,2,1,0
428.3437,0.03881373,0.001375043,2,1,0
430.9209,0.0367431,0.001803666,2,1,0
432.1528,0.03812806,0.002231185,2,1,0
433.9755,0.03838573,0.0036901,2,1,0
437.0371,0.03490352,0.005963062,2,1,0
437.7126,0.0332076,0.003616633,2,1,0
439.6343,0.03921271,0.0002979711,2,1,0
446.32,0.04357864,0.01128449,2,1,0
446.9307,0.05235007,0.002678219,2,1,0
448.0104,0.03202151,0.002906255,2,1,0
449.5673,0.04535998,0.00419286,2,1,0
449.7787,0.03863806,4.584656e-05,2,1,0
451.7313,0.0382039,0.001581037,2,1,0
451.9228,0.03743271,0.001272811,2,1,0
457.6714,0.03841092,0.0007838147,2,1,0
459.0625,0.03153759,0.003930459,2,1,0
459.4974,0.03820431,0.002115694,2,1,0
463.9643,0.03529692,0.002462222,2,1,0
465.9164,0.03889586,0.0001890961,2,1,0
466.895,0.03854187,0.001788693,2,1,0
469.0277,0.04109877,0.002883347,2,1,0
471.4302,0.03823965,0.001454996,2,1,0
474.3138,0.0353248,0.006660418,2,1,0
475.5248,0.03933079,8.013127e-05,2,1,0
477.1917,0.03851197,0.00150361,2,1,0
481.164,0.03887872,0.001743518,2,1,0
484.9303,0.03843428,0.004376372,2,1,0
485.6308,0.04122065,0.003954466,2,1,0
488.7583,0.03549705,0.03564502,2,1,0
488.9632,0.03928262,5.76268e-05,2,1,0
491.2261,0.03894227,3.148889e-05,2,1,0
493.0419,0.03805377,0.004131268,2,1,0
494.6467,0.03777702,0.0003822398,2,1,0
494.6628,0.03551285,0.002695848,2,1,0
496.7829,0.03696408,0.002892439,2,1,0
500.8786,0.0386725,0.004613506,2,1,0
501.7066,0.03827331,0.003799626,2,1,0
502.7206,0.03823261,0.0001709152,2,1,0
503.0759,0.03539857,0.005109087,2,1,0
504.7093,0.0321074,0.002438529,2,1,0
506.2531,0.04040516,0.008782884,2,1,0
508.1101,0.03906632,1.521425e-05,2,1,0
508.67,0.0379968,0.005513879,2,1,0
512.086,0.03606207,0.0009507353,2,1,0
513.8918,0.04323582,0.004390648,2,1,0
517.8871,0.03903638,2.11295e-05,2,1,0
