energy,W183 + photon [inclusive] width,n + W182 width,J,Pi,L
4064.964,0.04795305,0.947731,0.5,1,0
4130.678,0.06653852,0.04127746,0.5,1,0
4214.1,0.05144709,0.2769669,0.5,1,0
4267.448,0.03577752,0.1428386,0.5,1,0
4315.148,0.04941486,1.567505,0.5,1,0
4326.852,0.07151093,0.04941892,0.5,1,0
4369.186,0.04037156,0.1321179,0.5,1,0
4432.863,0.06713254,2.388721,0.5,1,0
4494.804,0.05361228,0.1400728,0.5,1,0
4522.768,0.0620593,0.006046118,0.5,1,0
4551.814,0.06254535,0.009819413,0.5,1,0
4604.6,0.06196777,0.008625445,0.5,1,0
4607.131,0.06152631,0.03484328,0.5,1,0
4631.375,0.06220658,0.00556734,0.5,1,0
4717.286,0.06682202,0.8042105,0.5,1,0
4742.255,0.07065636,0.0399092,0.5,1,0
4833.105,0.04886224,2.736938,0.5,1,0
4847.331,0.0441541,0.4571364,0.5,1,0
4915.054,0.05410682,1.336173,0.5,1,0
4961.61,0.05463252,0.452212,0.5,1,0
5094.801,0.0736453,0.01698664,0.5,1,0
5140.739,0.04812106,1.387531,0.5,1,0
5159.146,0.07780293,0.01744675,0.5,1,0
5200.792,0.07108111,4.799124,0.5,1,0
5292.126,0.07637599,0.006368535,0.5,1,0
5342.831,0.09355337,0.03272722,0.5,1,0
5402.99,0.06690533,0.007478288,0.5,1,0
5422.528,0.08156661,0.003215682,0.5,1,0
5436.817,0.09392101,6.181086,0.5,1,0
5540.159,0.05327438,0.5856824,0.5,1,0
5566.041,0.06174176,0.7808014,0.5,1,0
5659.518,0.06007823,12.20866,0.5,1,0
5829.716,0.07937087,0.02316398,0.5,1,0
5911.723,0.07762301,1.762738,0.5,1,0
6022.254,0.06005087,0.06466089,0.5,1,0
6103.415,0.06379056,0.1247482,0.5,1,0
6190.866,0.06300176,4.339637,0.5,1,0
6262.477,0.05846398,2.101672,0.5,1,0
6355.551,0.05009484,0.04481616,0.5,1,0
6406.373,0.05828134,3.683807,0.5,1,0
6516.501,0.05138865,0.8703948,0.5,1,0
6541.295,0.04652871,1.818763,0.5,1,0
6609.721,0.05233549,0.1576029,0.5,1,0
6672.54,0.05511087,4.747486,0.5,1,0
6732.903,0.04730679,0.5932693,0.5,1,0
6746.305,0.05904997,0.5978733,0.5,1,0
6862.267,0.05628779,1.57999,0.5,1,0
6961.978,0.06000616,2.810643,0.5,1,0
7016.791,0.04742083,0.5588475,0.5,1,0
7102.372,0.06968721,0.7173447,0.5,1,0
7158.243,0.05763162,2.129464,0.5,1,0
7245.652,0.06608457,0.9816989,0.5,1,0
7287.196,0.05459196,0.3011813,0.5,1,0
7315.258,0.08121392,0.08255209,0.5,1,0
7475.877,0.06355539,3.933085,0.5,1,0
7553.614,0.06722908,3.037431,0.5,1,0
7589.868,0.04813091,0.3207409,0.5,1,0
7695.144,0.06531889,3.112668,0.5,1,0
7749.9,0.05279591,1.081381,0.5,1,0
7815.081,0.06630021,3.109494,0.5,1,0
7838.645,0.05290469,0.6006554,0.5,1,0
7943.63,0.0674729,0.02997908,0.5,1,0
8012.921,0.05200516,0.956696,0.5,1,0
8145.523,0.06532262,0.07207648,0.5,1,0
8197.667,0.04882177,1.570812,0.5,1,0
8293.742,0.05526891,0.07865802,0.5,1,0
8398.325,0.06499848,1.551593,0.5,1,0
8442.882,0.07466067,0.03533812,0.5,1,0
8504.772,0.04278248,0.2793822,0.5,1,0
8539.331,0.05464597,0.1204437,0.5,1,0
8648.369,0.07044351,0.07482002,0.5,1,0
8731.126,0.0575637,3.921603,0.5,1,0
8818.369,0.0358602,1.538289,0.5,1,0
8845.163,0.07690443,0.05669771,0.5,1,0
8896.072,0.06510218,0.01273233,0.5,1,0
9010.879,0.05399721,0.9458792,0.5,1,0
9105.256,0.06106643,0.02150303,0.5,1,0
9188.908,0.05202389,0.004492579,0.5,1,0
9233.21,0.08453769,3.80921,0.5,1,0
9275.635,0.05535977,0.01345351,0.5,1,0
9312.401,0.0554274,0.1487875,0.5,1,0
9456.48,0.06574072,3.56917,0.5,1,0
9478.586,0.05467828,1.641828,0.5,1,0
9551.462,0.07052839,0.06223169,0.5,1,0
9578.603,0.04941916,0.05695111,0.5,1,0
9721.874,0.06902886,0.02979314,0.5,1,0
9827.313,0.03550764,2.552558,0.5,1,0
9902.779,0.0492843,2.296857,0.5,1,0
9949.871,0.04984081,1.032669,0.5,1,0
10048.69,0.053,56.94597,0.5,1,0
10165.96,0.06221426,2.19344,0.5,1,0
10249.95,0.06221426,2.202481,0.5,1,0
10333.93,0.06221426,2.211486,0.5,1,0
2013.84,0.05308091,0.003405782,0.5,-1,1
2503.969,0.053,0.002225787,0.5,-1,1
2634.695,0.053,0.004824143,0.5,-1,1
2709.344,0.053,0.002512469,0.5,-1,1
2736.866,0.0628999,0.002886621,0.5,-1,1
2866.101,0.0568,0.003419499,0.5,-1,1
2989.188,0.052,0.01337213,0.5,-1,1
3134.215,0.0566,0.00345799,0.5,-1,1
3197.54,0.0566,0.001000748,0.5,-1,1
3291.946,0.0602,0.008988921,0.5,-1,1
3437.16,0.0522,0.003399793,0.5,-1,1
3753.981,0.06163818,0.006731096,0.5,-1,1
3834.414,0.05820381,0.005630463,0.5,-1,1
3939.071,0.06053137,0.008954495,0.5,-1,1
3962.996,0.06053137,0.0008847909,0.5,-1,1
4336.764,0.07151093,0.005781076,0.5,-1,1
4421.779,0.06713254,0.003111863,0.5,-1,1
4641.884,0.06220658,0.01025533,0.5,-1,1
4904.658,0.05975607,0.0103452,0.5,-1,1
4981.023,0.05463252,0.005012316,0.5,-1,1
5063.881,0.06329566,0.002172266,0.5,-1,1
5214.578,0.06511835,0.003573426,0.5,-1,1
5358.927,0.07086773,0.006951325,0.5,-1,1
5432.565,0.08937857,0.03195404,0.5,-1,1
5516.697,0.06200097,0.005659018,0.5,-1,1
5577.668,0.06174176,0.00957769,0.5,-1,1
5685.308,0.06007823,0.04724626,0.5,-1,1
5718.105,0.06174176,0.05718328,0.5,-1,1
5899.514,0.04269236,1.678833,0.5,-1,1
5998.676,0.06005087,0.02131032,0.5,-1,1
6159.222,0.06379056,0.0268575,0.5,-1,1
6211.282,0.06300176,0.00981767,0.5,-1,1
6316.794,0.05809484,0.003938539,0.5,-1,1
6394.175,0.05009484,0.004947907,0.5,-1,1
6457.448,0.05828134,0.00296412,0.5,-1,1
6586.429,0.06005087,0.01537575,0.5,-1,1
6774.797,0.05904997,0.007582286,0.5,-1,1
6820.573,0.05904997,0.003506249,0.5,-1,1
6970.833,0.05500616,0.01354695,0.5,-1,1
7051.737,0.0613396,0.01427183,0.5,-1,1
7414.711,0.05579216,0.01692155,0.5,-1,1
7461.662,0.04985361,0.009036321,0.5,-1,1
7532.299,0.05086921,0.004949928,0.5,-1,1
7608.17,0.064,0.01444934,0.5,-1,1
7630.63,0.05300444,0.001796901,0.5,-1,1
7656.625,0.06960024,0.02712192,0.5,-1,1
7687.776,0.05934561,0.01286084,0.5,-1,1
7701.078,0.05308744,0.002959217,0.5,-1,1
7763.191,0.06809279,0.009470233,0.5,-1,1
7825.324,0.04695657,0.01249327,0.5,-1,1
7931.961,0.06318658,0.06014458,0.5,-1,1
7974.925,0.03944867,0.05156556,0.5,-1,1
8049.587,0.05658463,0.01767899,0.5,-1,1
8163.343,0.05873508,0.02324139,0.5,-1,1
8255.818,0.04607413,0.005418645,0.5,-1,1
8326.183,0.04822689,0.005242168,0.5,-1,1
8368.92,0.1080415,0.03728669,0.5,-1,1
8435.422,0.06608087,0.02722461,0.5,-1,1
8563.242,0.05846066,0.02785125,0.5,-1,1
8591.28,0.05849345,0.0613342,0.5,-1,1
8789.783,0.05740944,0.01758739,0.5,-1,1
8805.036,0.06571568,0.04807485,0.5,-1,1
8903.733,0.05764146,0.007226368,0.5,-1,1
8969.347,0.05129679,0.003236126,0.5,-1,1
8995.473,0.04953325,0.01308158,0.5,-1,1
9067.749,0.05350971,0.02413636,0.5,-1,1
9077.267,0.06318483,0.005037849,0.5,-1,1
9105.355,0.05842434,0.0233925,0.5,-1,1
9196.823,0.05976467,0.1110586,0.5,-1,1
9282.133,0.05808858,0.03044054,0.5,-1,1
9321.902,0.08376949,0.03378991,0.5,-1,1
9401.42,0.08460976,0.08112679,0.5,-1,1
9495.877,0.05710523,0.008062432,0.5,-1,1
9580.073,0.05616807,0.01187664,0.5,-1,1
9623.857,0.05820581,0.05581451,0.5,-1,1
9665.182,0.06275418,0.008272614,0.5,-1,1
9698.498,0.06973296,0.02187391,0.5,-1,1
9742.099,0.0523717,0.002775997,0.5,-1,1
9750.125,0.06267277,0.003179229,0.5,-1,1
9779.509,0.06580856,0.03345411,0.5,-1,1
9817.025,0.06945675,0.01674884,0.5,-1,1
9843.121,0.05126939,0.02793719,0.5,-1,1
9928.021,0.05631624,0.01100887,0.5,-1,1
10007.6,0.06216627,0.02841671,0.5,-1,1
2202.574,0.08425404,0.006060586,1.5,-1,1
2551.244,0.053,0.001583072,1.5,-1,1
2723.337,0.053,0.004189994,1.5,-1,1
2797.253,0.0628999,0.003672202,1.5,-1,1
3155.279,0.0566,0.002468381,1.5,-1,1
3219.714,0.0532,0.002114517,1.5,-1,1
3234.405,0.0532,0.001633692,1.5,-1,1
3329.801,0.05896001,0.00129585,1.5,-1,1
3430.483,0.0522,0.003486517,1.5,-1,1
3926.281,0.05402504,0.001981287,1.5,-1,1
4949.244,0.05463252,0.003908121,1.5,-1,1
5037.375,0.06624341,0.001558859,1.5,-1,1
5464.126,0.0615505,0.001735465,1.5,-1,1
5624.59,0.06007823,0.00717294,1.5,-1,1
5779.818,0.06820618,0.007948308,1.5,-1,1
5883.383,0.06849343,0.01015883,1.5,-1,1
6078.445,0.06005087,0.008830867,1.5,-1,1
6191.803,0.05300176,0.006538315,1.5,-1,1
6288.08,0.05846398,0.006153223,1.5,-1,1
6325.461,0.05846398,0.02379497,1.5,-1,1
6442.525,0.05828134,0.002436126,1.5,-1,1
6575.836,0.05505087,0.005162397,1.5,-1,1
6808.548,0.05903545,0.002907088,1.5,-1,1
6901.497,0.06000616,0.01173661,1.5,-1,1
6954.06,0.05500616,0.01486297,1.5,-1,1
7077.661,0.0613396,0.001517965,1.5,-1,1
7129.583,0.06250881,0.0009981692,1.5,-1,1
7446.415,0.04913958,0.004894646,1.5,-1,1
7636.229,0.05072704,0.001677362,1.5,-1,1
7835.021,0.05496521,0.003012288,1.5,-1,1
7911.564,0.04275796,0.003419998,1.5,-1,1
8042.908,0.0548906,0.008107883,1.5,-1,1
8064.178,0.05454629,0.008433721,1.5,-1,1
8112.871,0.05508994,0.003263172,1.5,-1,1
8125.197,0.06224032,0.01530726,1.5,-1,1
8248.384,0.06756356,0.008662142,1.5,-1,1
8354.97,0.05464013,0.003660529,1.5,-1,1
8717.356,0.05967173,0.006055427,1.5,-1,1
8893.928,0.05838384,0.01841013,1.5,-1,1
8928.422,0.0522431,0.005758243,1.5,-1,1
9072.733,0.05111365,0.02226487,1.5,-1,1
9247.626,0.05613323,0.005761018,1.5,-1,1
9258.942,0.05211335,0.001653992,1.5,-1,1
9300.592,0.05382513,0.004242137,1.5,-1,1
9349.377,0.05914055,0.005022557,1.5,-1,1
9368.829,0.05783143,0.006108174,1.5,-1,1
9472.46,0.06617451,0.008694134,1.5,-1,1
9563.524,0.06770264,0.007889109,1.5,-1,1
9609.541,0.06231851,0.002385694,1.5,-1,1
9706.135,0.06091756,0.01480333,1.5,-1,1
9732.693,0.05609129,0.02712976,1.5,-1,1
9889.569,0.05119385,0.01538546,1.5,-1,1
