energy,W183 + photon [inclusive] width,n + W182 width,J,Pi,L
-57.30549,0.04041808,0.9348585,0.5,1,0
4.150017,0.04507779,0.001566199,0.5,1,0
21.05962,0.06145,0.03921942,0.5,1,0
114.4697,0.04940939,0.2578145,0.5,1,0
157.5207,0.04489159,0.0004472535,0.5,1,0
213.025,0.0443707,0.002272828,0.5,1,0
248.6639,0.04948519,0.9419171,0.5,1,0
341.8712,0.05474741,0.005644866,0.5,1,0
376.5566,0.04960403,0.1121034,0.5,1,0
428.8891,0.04277261,0.252183,0.5,1,0
484.7283,0.04936448,0.4184884,0.5,1,0
493.3685,0.05614474,0.0006424484,0.5,1,0
578.5905,0.04315825,0.2840521,0.5,1,0
613.9353,0.04558034,0.0009621466,0.5,1,0
655.5758,0.04259038,0.1362355,0.5,1,0
670.48,0.04595242,0.001027966,0.5,1,0
684.4431,0.05302686,3.267746e-05,0.5,1,0
687.6512,0.04501127,0.0004566799,0.5,1,0
759.849,0.0468838,0.06109989,0.5,1,0
782.1491,0.06931194,0.007358435,0.5,1,0
858.4467,0.0447366,0.001632543,0.5,1,0
863.4943,0.06590089,0.007197059,0.5,1,0
919.1703,0.06346077,0.3454486,0.5,1,0
948.0041,0.04582604,2.049147,0.5,1,0
1008.398,0.04814091,0.4358397,0.5,1,0
1038.897,0.04466326,0.000489337,0.5,1,0
1091.619,0.04457847,0.0003390861,0.5,1,0
1095.451,0.0484606,1.31644,0.5,1,0
1162.495,0.04672448,0.4829869,0.5,1,0
1226.743,0.04453453,0.0008549448,0.5,1,0
1269.403,0.04453697,0.000652744,0.5,1,0
1276.091,0.04660185,0.02880472,0.5,1,0
1287.583,0.04167034,0.1035241,0.5,1,0
1327.688,0.07575216,0.01853942,0.5,1,0
1357.58,0.04494841,0.001207282,0.5,1,0
1408.864,0.04162956,0.1358473,0.5,1,0
1449.38,0.04662165,0.00140686,0.5,1,0
1502.88,0.04703437,0.4748068,0.5,1,0
1514.829,0.04692753,0.3434827,0.5,1,0
1549.35,0.04452531,0.001099659,0.5,1,0
1582.289,0.04771054,0.09162445,0.5,1,0
1635.034,0.04465953,0.001316488,0.5,1,0
1647.546,0.04759219,0.06558455,0.5,1,0
1773.475,0.05755814,3.145195,0.5,1,0
1794.194,0.04319792,0.2604423,0.5,1,0
1905.177,0.04409953,0.002387815,0.5,1,0
1923.355,0.06176512,0.01353211,0.5,1,0
1993.027,0.06421254,0.005119184,0.5,1,0
2007.479,0.04707169,1.246742,0.5,1,0
2037.338,0.0448545,0.002212584,0.5,1,0
2061.883,0.0491488,1.208055,0.5,1,0
2075.591,0.04512288,0.001636343,0.5,1,0
2104.434,0.04333957,0.2420925,0.5,1,0
2181.598,0.04430139,0.4931375,0.5,1,0
2228.243,0.04971975,0.6971264,0.5,1,0
2246.677,0.0454821,0.001931567,0.5,1,0
2329.489,0.05376757,0.464854,0.5,1,0
2385.831,0.05196008,0.8620397,0.5,1,0
2413.166,0.05835961,0.2006734,0.5,1,0
2531.391,0.053,0.2323822,0.5,1,0
2577.606,0.053,1.039098,0.5,1,0
2608.318,0.053,0.1955578,0.5,1,0
2792.028,0.05000405,2.68441,0.5,1,0
2872.657,0.0568,0.4423696,0.5,1,0
2943.092,0.052,0.3834091,0.5,1,0
3048.727,0.0659,1.469922,0.5,1,0
3121.515,0.0566,0.05659628,0.5,1,0
3204.434,0.0525,0.2602773,0.5,1,0
3259.184,0.0532,0.6265819,0.5,1,0
3308.271,0.0592,1.594721,0.5,1,0
3344.813,0.0474,0.04792192,0.5,1,0
3415.363,0.0522,3.282253,0.5,1,0
3494.142,0.0502,1.657925,0.5,1,0
3525.291,0.0553,0.51711,0.5,1,0
3564.301,0.0525,0.4697315,0.5,1,0
3604.287,0.04803937,0.9186228,0.5,1,0
3718.384,0.05607273,0.02924756,0.5,1,0
3788.59,0.07305101,0.05602761,0.5,1,0
3804.461,0.06643407,0.008945978,0.5,1,0
3847.756,0.05942885,4.571836,0.5,1,0
3882.282,0.05339194,1.912385,0.5,1,0
3975.988,0.05789553,1.587706,0.5,1,0
3997.016,0.05168763,0.1032902,0.5,1,0
