energy,Dy164 + photon [inclusive] width,n + Dy163 width,J,Pi,L
-552.738,0.1201713,4.151671,2,1,0
1.718879,0.101581,0.002100093,2,1,0
5.896487,0.1085168,3.279366e-05,2,1,0
6.257694,0.1208794,4.026406e-05,2,1,0
35.80051,0.1072744,0.01359887,2,1,0
59.05329,0.1045168,0.1068131,2,1,0
72.04154,0.1085477,0.004363373,2,1,0
75.42876,0.1085688,0.003650311,2,1,0
79.02582,0.1084317,0.02086042,2,1,0
107.2066,0.1100309,0.03940682,2,1,0
143.4806,0.1085452,0.016751,2,1,0
145.0107,0.1037546,0.05425222,2,1,0
155.1077,0.09996631,0.1060013,2,1,0
189.0368,0.1085964,0.004224529,2,1,0
202.9841,0.1059625,0.0221691,2,1,0
223.9485,0.1011663,0.1909204,2,1,0
274.3579,0.1159361,0.03749919,2,1,0
289.0532,0.09474512,0.1456952,2,1,0
295.9477,0.1085957,0.007859818,2,1,0
297.3158,0.1082679,0.01294054,2,1,0
298.0892,0.09258489,0.0925263,2,1,0
327.1781,0.108711,0.03392323,2,1,0
329.6652,0.108612,0.01928835,2,1,0
348.3942,0.09599271,0.2983509,2,1,0
368.8199,0.1345824,0.2151936,2,1,0
382.4495,0.108593,0.006090372,2,1,0
387.2756,0.1121429,0.03297106,2,1,0
400.3766,0.1093846,0.03458656,2,1,0
403.0535,0.1085965,0.004042895,2,1,0
411.3714,0.175671,0.6299276,2,1,0
479.4098,0.1485019,0.08502413,2,1,0
483.9863,0.1201432,0.09480566,2,1,0
502.7254,0.108272,0.009320592,2,1,0
504.4667,0.1082638,0.02253392,2,1,0
505.2247,0.06208628,0.1271223,2,1,0
519.3703,0.1012051,0.0195291,2,1,0
520.4253,0.1082623,0.01410112,2,1,0
533.6283,0.1220473,0.2487932,2,1,0
542.6806,0.1251488,0.3426243,2,1,0
564.6313,0.08736715,0.07667322,2,1,0
569.4025,0.1571317,0.1577033,2,1,0
601.534,0.1438582,0.1995444,2,1,0
621.0201,0.1224316,0.1345271,2,1,0
637.5524,0.135694,0.1966817,2,1,0
652.6192,0.1086007,0.007403599,2,1,0
666.8271,0.1082652,0.04946452,2,1,0
693.9699,0.1082701,0.01259013,2,1,0
696.331,0.118939,0.1998562,2,1,0
710.3155,0.1086017,0.01010119,2,1,0
712.8034,0.09425017,0.09035374,2,1,0
714.1198,0.1082659,0.0207607,2,1,0
747.2669,0.1085993,0.008381062,2,1,0
758.4774,0.1082707,0.01318599,2,1,0
764.5082,0.1086001,0.02203354,2,1,0
767.4503,0.1082694,0.01495799,2,1,0
796.0833,0.1082761,0.02307743,2,1,0
810.2264,0.1387545,0.3627612,2,1,0
813.1801,0.1178405,0.06978452,2,1,0
831.5636,0.1096852,0.1054234,2,1,0
850.4771,0.1082655,0.02412064,2,1,0
851.9654,0.1084729,0.1926037,2,1,0
858.4091,0.1126191,0.07531431,2,1,0
865.8601,0.1058125,0.05933412,2,1,0
900.7551,0.09726781,0.2102232,2,1,0
930.4786,0.09839489,0.240323,2,1,0
949.9583,0.1034722,0.1695916,2,1,0
954.6061,0.1082724,0.01532861,2,1,0
967.4671,0.1113977,0.06075385,2,1,0
973.679,0.1208082,0.2950823,2,1,0
997.3066,0.1098073,0.06631285,2,1,0
1007.24,0.1200057,0.2949288,2,1,0
1296.58,0.1200874,8.631932,2,1,0
-584.1867,0.1200705,1.513455,3,1,0
-4.648298,0.1205671,0.003192449,3,1,0
16.2416,0.06225112,0.02902391,3,1,0
19.68895,0.1144271,0.001024641,3,1,0
50.26994,0.1083352,0.003352203,3,1,0
55.93295,0.1365241,0.02688338,3,1,0
66.144,0.1084457,0.008544835,3,1,0
86.31061,0.1085631,0.001256909,3,1,0
94.14237,0.1082222,0.01938907,3,1,0
105.8724,0.1188808,0.06683613,3,1,0
120.3983,0.1085299,0.009744918,3,1,0
126.6425,0.1086886,0.01685674,3,1,0
127.5046,0.1086235,0.01324069,3,1,0
135.3777,0.1085854,0.005728289,3,1,0
163.8931,0.1085288,0.01120008,3,1,0
177.2511,0.1085832,0.003732012,3,1,0
185.2036,0.1085729,0.004359372,3,1,0
205.3569,0.1003299,0.05418672,3,1,0
213.8396,0.1086013,0.006350076,3,1,0
224.6202,0.1081866,0.03004488,3,1,0
233.6697,0.1086009,0.006178394,3,1,0
250.732,0.1086068,0.0156419,3,1,0
261.3155,0.09997601,0.1076258,3,1,0
268.1567,0.09888007,0.133537,3,1,0
281.1887,0.1105523,0.02782442,3,1,0
323.0735,0.1036166,0.2559732,3,1,0
324.749,0.1009993,0.2601202,3,1,0
343.0807,0.1086347,0.02002783,3,1,0
375.4251,0.1085964,0.003258064,3,1,0
390.6223,0.08996037,0.0450655,3,1,0
420.8477,0.1085994,0.002503809,3,1,0
429.6339,0.0673738,0.03613467,3,1,0
455.1084,0.1478022,0.07583087,3,1,0
459.5126,0.1077636,0.02245789,3,1,0
465.5376,0.1086083,0.02069128,3,1,0
516.5177,0.1140028,0.02584565,3,1,0
581.1365,0.1262143,0.07320863,3,1,0
594.8218,0.1123586,0.08685347,3,1,0
616.2194,0.07306986,0.05722897,3,1,0
632.7412,0.09556858,0.155108,3,1,0
642.4141,0.07721769,0.1118422,3,1,0
646.7747,0.1511288,0.1020983,3,1,0
685.2264,0.1082723,0.006618041,3,1,0
687.5984,0.1085979,0.0222579,3,1,0
721.7421,0.0751755,0.07307703,3,1,0
732.4391,0.1086029,0.01702944,3,1,0
736.4246,0.1085995,0.0173933,3,1,0
742.4096,0.1085952,0.01977386,3,1,0
756.4203,0.0823923,0.04170976,3,1,0
770.6395,0.1085986,0.005753127,3,1,0
776.7194,0.1079781,0.02429172,3,1,0
794.5185,0.1100233,0.04743299,3,1,0
823.4078,0.1092626,0.04191442,3,1,0
834.9037,0.1082722,0.0114485,3,1,0
845.935,0.1085976,0.01124243,3,1,0
864.0582,0.1082653,0.02667091,3,1,0
874.2411,0.1082176,0.1007643,3,1,0
919.1644,0.1050141,0.07399163,3,1,0
920.7148,0.1082694,0.04119072,3,1,0
936.0401,0.108791,0.03251483,3,1,0
940.1376,0.0863417,0.2082238,3,1,0
958.156,0.1094955,0.03129266,3,1,0
980.8597,0.1085995,0.01132411,3,1,0
1275.274,0.1200713,4.883486,3,1,0
1275.499,0.1200011,0.07483145,3,1,0
