energy,Cr51 + photon [inclusive] width,n + Cr50 width,J,Pi,L
441351.8,0.37,1746.482,0.5,-1,1
443183.5,0.37,223.2082,0.5,-1,1
444726.4,0.37,61.13431,0.5,-1,1
458264.1,0.37,188.9457,0.5,-1,1
480956.9,0.37,95.40499,0.5,-1,1
483591.3,0.37,361.6534,0.5,-1,1
483805.7,0.37,141.8448,0.5,-1,1
488205.0,0.37,736.3333,0.5,-1,1
494245.8,0.37,69.42969,0.5,-1,1
494691.4,0.37,81.52161,0.5,-1,1
498566.2,0.37,222.7215,0.5,-1,1
526395.4,0.37,197.5444,0.5,-1,1
531914.6,0.37,110.8113,0.5,-1,1
535279.3,0.37,375.5277,0.5,-1,1
542345.4,0.37,6.696819,0.5,-1,1
543338.6,0.37,2.872345,0.5,-1,1
543511.2,0.37,93.50124,0.5,-1,1
547212.7,0.37,1067.192,0.5,-1,1
558854.2,0.37,394.1552,0.5,-1,1
561983.6,0.37,315.8224,0.5,-1,1
566722.4,0.37,17.95078,0.5,-1,1
568238.9,0.37,6.460843,0.5,-1,1
569297.1,0.37,27.49596,0.5,-1,1
577583.0,0.37,1531.723,0.5,-1,1
580229.0,0.37,243.5072,0.5,-1,1
581905.4,0.37,244.4778,0.5,-1,1
589761.4,0.75,50.0828,0.5,-1,1
608234.5,0.37,318.6322,0.5,-1,1
616217.3,0.37,84.37449,0.5,-1,1
618220.7,0.37,10.61351,0.5,-1,1
632128.2,0.37,36.93684,0.5,-1,1
632500.9,0.37,25.43017,0.5,-1,1
632641.9,0.37,81.43266,0.5,-1,1
640582.6,0.37,365.1987,0.5,-1,1
646916.4,0.37,31.6864,0.5,-1,1
647597.6,0.37,236.9316,0.5,-1,1
657510.2,0.37,509.2355,0.5,-1,1
657696.9,0.37,773.3768,0.5,-1,1
664659.7,0.37,49.61012,0.5,-1,1
687804.4,0.37,214.5441,0.5,-1,1
714159.4,0.37,1101.792,0.5,-1,1
721086.5,0.37,382.6218,0.5,-1,1
726201.0,0.37,324.8572,0.5,-1,1
762814.7,0.37,453.3048,0.5,-1,1
777325.3,0.37,8764.351,0.5,-1,1
780518.6,0.37,1864.718,0.5,-1,1
786864.7,0.37,3201.014,0.5,-1,1
5462.0,0.1,0.024,1.5,-1,1
18633.0,0.335,5.4,1.5,-1,1
24084.0,0.17,0.049,1.5,-1,1
33490.0,0.53,9.3,1.5,-1,1
35480.0,0.642,1.25,1.5,-1,1
35650.0,0.72,5.0,1.5,-1,1
40670.0,0.43,3.5,1.5,-1,1
46750.0,0.88,0.9,1.5,-1,1
50080.0,0.41,1.57,1.5,-1,1
53090.0,0.49,1.18,1.5,-1,1
59220.0,0.69,10.0,1.5,-1,1
65879.9,0.58,33.1,1.5,-1,1
70299.9,0.46,1.23,1.5,-1,1
73359.9,0.5,9.5,1.5,-1,1
88699.9,0.45,5.1,1.5,-1,1
90329.44,0.56,1.852079,1.5,-1,1
100834.4,0.37,0.1600829,1.5,-1,1
106172.9,1.0,20.71384,1.5,-1,1
112488.7,1.69,34.36323,1.5,-1,1
115200.4,0.96,0.1329123,1.5,-1,1
115981.9,0.37,0.5616765,1.5,-1,1
124265.1,0.37,1.523717,1.5,-1,1
129442.7,0.37,8.356626,1.5,-1,1
129803.7,0.37,2.176661,1.5,-1,1
136802.4,3.7,25.36335,1.5,-1,1
141231.1,1.14,54.85683,1.5,-1,1
150841.2,0.37,1.159215,1.5,-1,1
160608.1,0.37,0.4871026,1.5,-1,1
164055.1,0.37,0.4461027,1.5,-1,1
165494.9,0.37,0.2154276,1.5,-1,1
192437.8,0.37,0.3642789,1.5,-1,1
211354.7,0.37,1.445932,1.5,-1,1
218048.0,0.75,15.70319,1.5,-1,1
222659.2,2.23,48.25491,1.5,-1,1
227982.6,0.37,3.670753,1.5,-1,1
233012.4,0.37,15.86595,1.5,-1,1
242860.3,0.52,62.26727,1.5,-1,1
246818.4,0.37,2.023027,1.5,-1,1
247602.2,0.9238947,3.579947,1.5,-1,1
251517.4,2.52,87.24258,1.5,-1,1
258548.2,0.61,18.55001,1.5,-1,1
276550.0,0.37,27.32876,1.5,-1,1
279120.7,0.37,6.147238,1.5,-1,1
281711.8,0.37,3.76986,1.5,-1,1
283573.2,0.93,340.7502,1.5,-1,1
