energy,Mn56 + photon [inclusive] width,n + Mn55 width,J,Pi,L
120235.3,0.3792647,137.2418,2,-1,1
4942.355,0.2757802,0.3765681,3,-1,1
19133.94,0.4016106,0.0063069,3,-1,1
22664.54,0.2179453,2.578269,3,-1,1
24433.75,0.4307554,0.3423057,3,-1,1
31747.84,0.40537,0.03707459,3,-1,1
45390.51,0.430575,0.2912713,3,-1,1
50828.38,0.4326739,0.0568225,3,-1,1
59643.15,0.401723,0.113886,3,-1,1
66008.0,0.2740011,0.1856039,3,-1,1
70905.46,0.4085863,0.3074142,3,-1,1
71925.46,0.4326651,8.337235,3,-1,1
73038.41,0.2892636,15.84794,3,-1,1
74188.97,0.6981077,1.396402,3,-1,1
84005.87,0.2480334,34.73724,3,-1,1
86585.38,0.4111148,30.29323,3,-1,1
95402.19,0.2810963,7.697722,3,-1,1
111839.0,0.3608336,0.9557557,3,-1,1
121866.9,0.5810848,29.84662,3,-1,1
10619.76,0.3643481,0.02870531,3,-1,1
11634.21,0.7194005,0.04424482,3,-1,1
33353.39,0.2784186,8.495233,3,-1,1
53274.79,0.433416,0.04351916,3,-1,1
64688.07,0.3733512,0.09428447,3,-1,1
68889.46,0.4237448,0.2788,3,-1,1
84359.49,0.4216581,0.2301449,3,-1,1
89812.87,0.2555487,2.943185,3,-1,1
93879.33,0.2306309,20.11797,3,-1,1
98498.41,0.4836708,10.62601,3,-1,1
99402.66,0.4174991,0.2403662,3,-1,1
108079.0,0.3687987,12.03797,3,-1,1
116938.7,0.2669427,26.20988,3,-1,1
120731.9,0.2849488,27.23689,3,-1,1
12695.11,0.1737388,0.7561363,4,-1,1
14955.91,0.5453835,0.1363101,4,-1,1
17736.19,0.4879252,0.03820731,4,-1,1
18823.19,0.2333872,0.5076435,4,-1,1
21902.03,0.3934692,0.00444627,4,-1,1
25729.66,0.4634811,0.04815379,4,-1,1
28759.6,0.4908934,0.1859921,4,-1,1
31670.65,0.4164991,0.1179025,4,-1,1
32333.0,0.1723648,2.606216,4,-1,1
34900.12,0.4327725,0.05460145,4,-1,1
35264.57,0.4326802,0.08857735,4,-1,1
40956.25,0.281141,5.787795,4,-1,1
43891.34,0.4022894,1.874062,4,-1,1
47454.82,0.4307283,0.01161307,4,-1,1
51172.72,0.2306159,3.694306,4,-1,1
54633.32,0.2427003,10.81695,4,-1,1
58166.16,0.288915,0.6360307,4,-1,1
61711.94,0.2319754,0.4965322,4,-1,1
69781.04,0.4125104,0.1237995,4,-1,1
71265.62,0.2979241,8.063168,4,-1,1
79434.27,0.2264637,7.290636,4,-1,1
83627.26,0.2984833,8.238021,4,-1,1
84927.45,0.4293378,0.3196157,4,-1,1
86227.18,0.3003572,1.807924,4,-1,1
86817.98,0.3320657,0.03753339,4,-1,1
92198.3,0.2599793,7.022114,4,-1,1
100572.4,0.3865648,0.1574402,4,-1,1
107147.0,0.2764738,11.05209,4,-1,1
111284.6,0.354904,6.94716,4,-1,1
111747.5,0.1027339,5.085126,4,-1,1
121381.9,0.117702,18.09683,4,-1,1
