energy,Cd111 + photon [inclusive] width,n + Cd110 width,J,Pi,L
-9.569777,0.073,0.009658,0.5,1,0
89.549,0.07318,0.1627,0.5,1,0
231.026,0.07,0.006686,0.5,1,0
369.684,0.08908,0.0196,0.5,1,0
800.1447,0.06868,0.4462,0.5,1,0
921.18,0.08309,0.06681,0.5,1,0
1117.57,0.07,0.0391,0.5,1,0
1347.109,0.07,0.9622,0.5,1,0
1984.09,0.07,0.2761,0.5,1,0
2067.15,0.08282,1.877,0.5,1,0
2377.926,0.07,1.896,0.5,1,0
3044.025,0.07,1.489,0.5,1,0
3107.563,0.06395,0.1338,0.5,1,0
3377.125,0.1021,0.2208,0.5,1,0
3746.647,0.08243,0.5017,0.5,1,0
3956.386,0.06713,1.281,0.5,1,0
4404.941,0.06717,0.3385,0.5,1,0
4867.418,0.08152,0.258,0.5,1,0
5124.473,0.07137,0.7156,0.5,1,0
5294.175,0.06012,0.5384,0.5,1,0
5987.225,0.05854,1.144,0.5,1,0
6347.707,0.07756,0.5418,0.5,1,0
6605.861,0.0668,0.39,0.5,1,0
6917.848,0.09711,0.9978,0.5,1,0
7674.001,0.07,1.138,0.5,1,0
8724.031,0.07,1.307,0.5,1,0
8832.493,0.07,3.518,0.5,1,0
9151.788,0.07,0.9564,0.5,1,0
9226.532,0.07,0.9218,0.5,1,0
9255.75,0.07,0.9618,0.5,1,0
9275.262,0.07,1.733,0.5,1,0
9865.916,0.07,2.284,0.5,1,0
1686.812,0.079,0.00657,0.5,-1,1
3498.498,0.08667,0.0946,0.5,-1,1
3670.001,0.079,0.06662,0.5,-1,1
3983.289,0.05713,0.02776,0.5,-1,1
4101.459,0.079,0.0557,0.5,-1,1
4163.997,0.04731,0.04709,0.5,-1,1
4183.208,0.06615,0.1099,0.5,-1,1
4307.383,0.06954,0.1378,0.5,-1,1
4677.905,0.06745,0.08888,0.5,-1,1
5806.282,0.07363,0.1904,0.5,-1,1
6262.755,0.06418,0.2294,0.5,-1,1
6491.292,0.0841,0.1772,0.5,-1,1
339.8638,0.079,0.0003594,1.5,-1,1
503.642,0.079,0.0007179,1.5,-1,1
652.4412,0.079,0.001915,1.5,-1,1
762.2371,0.079,0.00552,1.5,-1,1
824.5745,0.079,0.001445,1.5,-1,1
917.598,0.07,0.00854,1.5,-1,1
1135.981,0.079,0.003538,1.5,-1,1
1242.245,0.079,0.002466,1.5,-1,1
1318.891,0.079,0.009984,1.5,-1,1
1810.586,0.079,0.01191,1.5,-1,1
1828.557,0.07,0.1711,1.5,-1,1
2101.66,0.079,0.0055,1.5,-1,1
2354.412,0.079,0.006063,1.5,-1,1
2412.046,0.079,0.01694,1.5,-1,1
2478.286,0.079,0.02986,1.5,-1,1
2493.495,0.079,0.02446,1.5,-1,1
2724.834,0.079,0.008089,1.5,-1,1
2741.344,0.079,0.02879,1.5,-1,1
3154.992,0.079,0.0365,1.5,-1,1
3185.61,0.079,0.011,1.5,-1,1
3381.388,0.079,0.01525,1.5,-1,1
3638.582,0.09783,0.05427,1.5,-1,1
3704.321,0.1122,0.05172,1.5,-1,1
3806.683,0.05628,0.04264,1.5,-1,1
3843.485,0.079,0.002537,1.5,-1,1
4031.118,0.079,0.009966,1.5,-1,1
4245.346,0.08348,0.1661,1.5,-1,1
4482.688,0.079,0.05355,1.5,-1,1
4522.158,0.079,0.002537,1.5,-1,1
4546.111,0.079,0.004687,1.5,-1,1
4664.097,0.08514,0.03755,1.5,-1,1
4750.549,0.1046,0.07235,1.5,-1,1
4781.65,0.079,0.03888,1.5,-1,1
4842.531,0.079,0.006376,1.5,-1,1
4931.357,0.079,0.01965,1.5,-1,1
4982.258,0.079,0.004139,1.5,-1,1
5114.999,0.079,0.0212,1.5,-1,1
5278.678,0.079,0.06254,1.5,-1,1
5373.122,0.05858,0.0806,1.5,-1,1
5440.362,0.079,0.008134,1.5,-1,1
5549.149,0.079,0.006376,1.5,-1,1
5609.032,0.079,0.002537,1.5,-1,1
5697.617,0.05543,0.1547,1.5,-1,1
5709.835,0.079,0.0212,1.5,-1,1
5807.644,0.079,0.01888,1.5,-1,1
5874.513,0.079,0.005806,1.5,-1,1
6092.653,0.07714,0.3902,1.5,-1,1
6244.789,0.079,0.06915,1.5,-1,1
6392.5,0.079,0.04226,1.5,-1,1
6472.781,0.05823,0.1005,1.5,-1,1
6517.256,0.079,0.04834,1.5,-1,1
6637.022,0.079,0.022,1.5,-1,1
6734.831,0.079,0.004687,1.5,-1,1
6871.563,0.079,0.022,1.5,-1,1
6941.462,0.05207,0.1208,1.5,-1,1
7087.85,0.079,0.1641,1.5,-1,1
7281.166,0.079,0.1408,1.5,-1,1
8939.86,0.079,0.2647,1.5,-1,1
9030.815,0.079,0.2655,1.5,-1,1
