energy,Dy162 + photon [inclusive] width,n + Dy161 width,J,Pi,L
-360.6694,0.1200024,2.454732,2,1,0
-19.82954,0.1199319,0.0298789,2,1,0
3.687048,0.1133827,0.002257632,2,1,0
4.323758,0.1044979,0.001577755,2,1,0
10.30012,0.1051254,0.0002582708,2,1,0
14.31089,0.1373483,0.00833913,2,1,0
18.49541,0.1311466,0.01029779,2,1,0
20.19228,0.1069446,0.0002579049,2,1,0
25.20309,0.1022349,0.001539377,2,1,0
29.06393,0.1255965,0.003362763,2,1,0
45.17476,0.09878413,0.0243911,2,1,0
51.73043,0.1202072,0.02549507,2,1,0
55.22112,0.1109396,0.01004442,2,1,0
59.64267,0.1069066,0.006160464,2,1,0
61.43246,0.140845,0.009698566,2,1,0
67.55024,0.106805,0.0001189594,2,1,0
71.54195,0.1121387,0.002445856,2,1,0
73.20849,0.1067619,0.005401305,2,1,0
76.69097,0.1121057,0.002045315,2,1,0
82.32334,0.1068707,0.003940856,2,1,0
91.11406,0.1068588,0.001284616,2,1,0
101.3796,0.09634851,0.01511216,2,1,0
102.4405,0.1068018,0.0007003087,2,1,0
105.1008,0.1068522,0.007289103,2,1,0
112.4408,0.1069249,0.01161427,2,1,0
113.4061,0.1067452,0.002291472,2,1,0
118.4568,0.1068532,0.008618235,2,1,0
120.5927,0.1068315,0.008674181,2,1,0
124.7077,0.1198098,0.07301602,2,1,0
137.9754,0.1121414,0.003310084,2,1,0
142.9055,0.1068215,0.01157901,2,1,0
144.8194,0.1068252,0.004521994,2,1,0
153.8808,0.1068065,0.01087293,2,1,0
155.115,0.1121384,0.002727612,2,1,0
156.8814,0.1068268,0.007368762,2,1,0
166.6509,0.1125477,0.04085468,2,1,0
168.6873,0.1106874,0.08488168,2,1,0
170.2053,0.1068214,0.009729671,2,1,0
176.972,0.1121287,0.007351811,2,1,0
184.5243,0.1121123,0.007174146,2,1,0
189.3596,0.1161941,0.03508656,2,1,0
191.1019,0.1068175,0.00696155,2,1,0
193.0889,0.1067891,0.001766745,2,1,0
197.4077,0.1025871,0.02441018,2,1,0
202.9763,0.109338,0.02784699,2,1,0
206.0599,0.1227145,0.03793622,2,1,0
208.643,0.1068078,0.01084483,2,1,0
209.4243,0.1121428,0.003085609,2,1,0
210.6257,0.1049161,0.03324547,2,1,0
224.3569,0.1068077,0.005190858,2,1,0
235.5495,0.1070365,0.02384077,2,1,0
236.5131,0.1121271,0.006090419,2,1,0
240.9129,0.1067978,0.005376021,2,1,0
251.7103,0.1067881,0.00368978,2,1,0
256.8394,0.1067952,0.002159154,2,1,0
261.2872,0.112306,0.02643908,2,1,0
263.9206,0.1340928,0.1167066,2,1,0
265.7124,0.1068324,0.01729603,2,1,0
274.4548,0.1122037,0.01732179,2,1,0
292.1282,0.1068026,0.004686814,2,1,0
295.6541,0.1068147,0.002957738,2,1,0
314.7889,0.1101169,0.03850447,2,1,0
319.8596,0.1377633,0.04646313,2,1,0
331.528,0.1067968,0.007626501,2,1,0
338.0714,0.172371,0.360356,2,1,0
343.6492,0.1058681,0.02731441,2,1,0
362.1496,0.1374337,0.1714261,2,1,0
381.1557,0.1067891,0.01128016,2,1,0
384.1581,0.1121523,0.01508552,2,1,0
400.5436,0.1068001,0.002032293,2,1,0
403.1319,0.1067968,0.00466227,2,1,0
415.5933,0.1073159,0.04050659,2,1,0
424.9701,0.1284048,0.1110882,2,1,0
435.1947,0.1068009,0.01757277,2,1,0
438.995,0.1068002,0.005950161,2,1,0
440.3448,0.1068017,0.005912563,2,1,0
447.9812,0.1068129,0.03111805,2,1,0
454.9733,0.1068107,0.01825203,2,1,0
459.2719,0.1175155,0.06217579,2,1,0
462.7117,0.1192621,0.10008,2,1,0
472.623,0.1108841,0.05020838,2,1,0
474.4359,0.1121296,0.0163329,2,1,0
482.7931,0.1067987,0.009056548,2,1,0
490.0371,0.1068046,0.004991246,2,1,0
507.1386,0.1129406,0.03395351,2,1,0
511.8916,0.1121365,0.007259038,2,1,0
514.4885,0.1115686,0.05238663,2,1,0
517.5884,0.104143,0.0372568,2,1,0
519.8613,0.1132087,0.04214282,2,1,0
527.3779,0.10402,0.02918279,2,1,0
530.5742,0.1067993,0.01497566,2,1,0
535.525,0.1184031,0.05854617,2,1,0
539.7034,0.09357797,0.03778852,2,1,0
540.7983,0.1121207,0.01886335,2,1,0
543.5677,0.1068046,0.007875939,2,1,0
562.4469,0.1072728,0.06097393,2,1,0
584.8814,0.1068058,0.01212387,2,1,0
599.9294,0.1214534,0.2182994,2,1,0
602.5905,0.1068063,0.009588604,2,1,0
614.8983,0.1024092,0.07524313,2,1,0
619.5608,0.1121231,0.01367085,2,1,0
625.1995,0.1068027,0.01211785,2,1,0
633.5766,0.1121229,0.01039996,2,1,0
635.7767,0.1067938,0.01496364,2,1,0
636.7471,0.1121274,0.009120664,2,1,0
