energy,V52 + photon [inclusive] width,n + V51 width,J,Pi,L
91607.97,0.5559997,0.09713811,4,1,1
95162.99,0.5017191,20.06986,4,1,1
101703.8,0.8178926,0.001088028,4,1,1
106760.8,0.1294721,0.369187,4,1,1
113516.2,0.1588016,16.17439,4,1,1
113757.8,0.3855731,0.2304247,4,1,1
126095.5,0.1006351,6.925261,4,1,1
142637.1,0.4998116,0.0003848926,4,1,1
181262.4,0.6136013,0.0005496458,4,1,1
41065.64,1.346745,1.106754,5,1,1
155430.2,0.7253137,0.2386638,5,1,1
166859.3,0.2130472,149.8878,5,1,1
169027.8,0.9659681,0.01114663,5,1,1
188184.9,0.8968149,17.91245,5,1,1
