energy,Th233 + photon [inclusive] width,n + Th232 width,J,Pi,L
1804.935,0.02273852,0.1003015,0.5,1,0
1813.692,0.0235504,0.03441462,0.5,1,0
1825.751,0.02066009,0.0944223,0.5,1,0
1856.042,0.02478754,0.03578088,0.5,1,0
1863.415,0.02267827,0.03868828,0.5,1,0
1890.461,0.0244,0.0002539,0.5,1,0
1901.95,0.02247168,0.08840097,0.5,1,0
1931.604,0.0244,0.001432,0.5,1,0
1933.507,0.02399848,0.00945954,0.5,1,0
1952.229,0.02221794,0.1154533,0.5,1,0
1973.139,0.02218061,0.2328965,0.5,1,0
1989.627,0.02246352,0.04210227,0.5,1,0
2006.866,0.02111856,0.02717361,0.5,1,0
2017.066,0.0244,0.0009232026,0.5,1,0
2038.225,0.0244,0.001316688,0.5,1,0
2053.701,0.02258512,0.01853809,0.5,1,0
2063.873,0.0246596,0.0580634,0.5,1,0
2075.644,0.02198371,0.009930744,0.5,1,0
2080.471,0.0233089,0.01398285,0.5,1,0
2098.888,0.0244,0.0008328184,0.5,1,0
2119.092,0.01905469,0.07702925,0.5,1,0
2149.417,0.0236772,0.1009118,0.5,1,0
2164.848,0.02262252,0.08347761,0.5,1,0
2179.703,0.02491475,0.09165053,0.5,1,0
2198.915,0.02500424,0.05571189,0.5,1,0
2218.287,0.02021949,0.02754392,0.5,1,0
2223.613,0.02295104,0.09992216,0.5,1,0
2235.24,0.0244,0.002250194,0.5,1,0
2272.915,0.02166626,0.0291169,0.5,1,0
2278.341,0.02393569,0.06547006,0.5,1,0
2288.195,0.02311689,0.3053146,0.5,1,0
2322.896,0.0244,0.002496058,0.5,1,0
2337.807,0.02161662,0.1235572,0.5,1,0
2354.086,0.02467817,0.01476415,0.5,1,0
2355.754,0.02420355,0.0152238,0.5,1,0
2377.205,0.02285505,0.1174644,0.5,1,0
2392.776,0.0244,0.001627634,0.5,1,0
2420.879,0.02137589,0.09799924,0.5,1,0
2429.84,0.0244,0.002437338,0.5,1,0
2448.41,0.0244,0.0005572242,0.5,1,0
2457.783,0.02601479,0.1509493,0.5,1,0
2463.765,0.0244,0.003304225,0.5,1,0
2474.04,0.0244,0.0007045926,0.5,1,0
2494.445,0.02407483,0.008661357,0.5,1,0
2511.234,0.01839943,0.3502436,0.5,1,0
2529.322,0.02170091,0.06568589,0.5,1,0
2560.539,0.02423264,0.004780654,0.5,1,0
2565.523,0.02178102,0.3519487,0.5,1,0
2571.391,0.02318857,0.07575603,0.5,1,0
2614.861,0.02326683,0.0896629,0.5,1,0
2628.157,0.023346,0.005846643,0.5,1,0
2637.506,0.02361402,0.1825013,0.5,1,0
2665.877,0.02345873,0.2267008,0.5,1,0
2679.741,0.02372989,0.022797,0.5,1,0
2690.88,0.02090316,0.2162624,0.5,1,0
2715.459,0.02313244,0.08975521,0.5,1,0
2724.164,0.02411686,0.008761903,0.5,1,0
2736.03,0.02179074,0.4182367,0.5,1,0
2750.899,0.02330989,0.01522066,0.5,1,0
2775.729,0.02308423,0.07495458,0.5,1,0
2795.489,0.02456102,0.1739027,0.5,1,0
2804.723,0.0244,0.003330677,0.5,1,0
2817.767,0.02342117,0.03053906,0.5,1,0
2820.196,0.02505252,0.003035179,0.5,1,0
2835.311,0.02316837,0.05291876,0.5,1,0
2854.893,0.02315161,0.2045112,0.5,1,0
2864.163,0.02433778,0.006521576,0.5,1,0
2886.258,0.02485283,0.01188421,0.5,1,0
2898.09,0.02407106,0.00389458,0.5,1,0
2916.735,0.02432605,0.005989312,0.5,1,0
2950.853,0.02604379,0.1018105,0.5,1,0
2959.25,0.02083417,0.04332279,0.5,1,0
2969.124,0.02475575,0.01670351,0.5,1,0
2991.1,0.02469369,0.03870145,0.5,1,0
3009.705,0.0244,0.002162646,0.5,1,0
3020.49,0.02341756,0.02490887,0.5,1,0
3030.062,0.02083626,0.2478224,0.5,1,0
3042.428,0.02588247,0.05857404,0.5,1,0
3063.695,0.02631957,0.03029964,0.5,1,0
3084.991,0.02380637,0.03819115,0.5,1,0
3106.622,0.0238676,0.01348917,0.5,1,0
3111.657,0.0223916,0.02835671,0.5,1,0
3151.475,0.02134646,0.1439046,0.5,1,0
3156.127,0.02158563,0.1525593,0.5,1,0
3169.075,0.0244,0.0002593581,0.5,1,0
3188.377,0.0244,0.001686505,0.5,1,0
3191.046,0.0219228,0.08317637,0.5,1,0
3210.832,0.02333712,0.1046422,0.5,1,0
3232.013,0.02404628,0.01200288,0.5,1,0
3234.307,0.02328898,0.004666982,0.5,1,0
3239.854,0.0244,0.00298665,0.5,1,0
3256.206,0.02149872,0.1242883,0.5,1,0
3272.867,0.02288516,0.01724542,0.5,1,0
3298.458,0.01816814,0.5028611,0.5,1,0
3309.258,0.0244,0.0003148048,0.5,1,0
3321.272,0.02397923,0.005635427,0.5,1,0
3335.092,0.02130345,0.04828097,0.5,1,0
3345.616,0.02053986,0.171467,0.5,1,0
3353.393,0.02421783,0.009438616,0.5,1,0
3387.183,0.02020127,0.1179368,0.5,1,0
3412.752,0.0244,0.000842999,0.5,1,0
3434.246,0.02371054,0.006135754,0.5,1,0
3445.976,0.02444303,0.02676384,0.5,1,0
3458.765,0.0244,0.002459614,0.5,1,0
3474.808,0.02510739,0.01561158,0.5,1,0
