energy,U239 + photon [inclusive] width,n + U238 width,J,Pi,L
-4405.25,0.02301643,138.523,0.5,1,0
-413.3,0.02301643,0.05184499,0.5,1,0
-393.3,0.02301643,0.04964257,0.5,1,0
-373.3,0.02301643,0.04736444,0.5,1,0
-353.3,0.02301643,0.04500487,0.5,1,0
-333.3,0.02301643,0.0425571,0.5,1,0
-313.3,0.02301643,0.04001461,0.5,1,0
-293.3,0.02301643,0.03737022,0.5,1,0
-273.3,0.02301643,0.02536309,0.5,1,0
-253.3,0.02301643,0.02382972,0.5,1,0
-233.3,0.02301643,0.02221366,0.5,1,0
-213.3,0.02301643,0.02050443,0.5,1,0
-193.3,0.02301643,0.01868806,0.5,1,0
-173.3,0.02301643,0.01675164,0.5,1,0
-153.3,0.02301643,0.01467987,0.5,1,0
-133.3,0.02301643,0.01246185,0.5,1,0
-113.3,0.02301643,0.01009796,0.5,1,0
-93.3,0.02301643,0.007612988,0.5,1,0
-73.3,0.02301643,0.005055935,0.5,1,0
-53.3,0.02301643,0.002915551,0.5,1,0
-33.3,0.02301643,0.004779468,0.5,1,0
-3.5,0.02611864,4.870922e-05,0.5,1,0
6.67428,0.02270824,0.001492214,0.5,1,0
20.87177,0.02275104,0.01007563,0.5,1,0
36.68283,0.02226145,0.03359151,0.5,1,0
66.03021,0.02241721,0.02427573,0.5,1,0
80.75157,0.02258419,0.001855345,0.5,1,0
102.5631,0.02317199,0.070872,0.5,1,0
116.9035,0.02206008,0.02541264,0.5,1,0
145.6662,0.02452271,0.0009399312,0.5,1,0
165.2971,0.02452271,0.003468773,0.5,1,0
189.6751,0.02183579,0.1711177,0.5,1,0
208.5226,0.02276775,0.05047584,0.5,1,0
237.3987,0.02443202,0.02683565,0.5,1,0
273.6702,0.02261523,0.02527009,0.5,1,0
291.0091,0.02321975,0.01660525,0.5,1,0
311.3212,0.02309249,0.001060289,0.5,1,0
347.8149,0.02165357,0.0802156,0.5,1,0
353.6366,0.02309249,2.172821e-05,0.5,1,0
376.9342,0.02349281,0.001132767,0.5,1,0
397.6202,0.02349281,0.006249183,0.5,1,0
410.2491,0.02645812,0.01920325,0.5,1,0
434.0782,0.02349281,0.01012446,0.5,1,0
463.1704,0.02303825,0.005715898,0.5,1,0
478.433,0.02303825,0.004145824,0.5,1,0
518.3822,0.02308125,0.04892809,0.5,1,0
535.3186,0.02393417,0.04393883,0.5,1,0
580.1263,0.02517619,0.03864676,0.5,1,0
595.0688,0.02294428,0.08656806,0.5,1,0
619.9855,0.02424655,0.02845703,0.5,1,0
628.5326,0.0230354,0.00641279,0.5,1,0
661.1923,0.02374079,0.1265124,0.5,1,0
693.0676,0.02361794,0.03957703,0.5,1,0
708.2652,0.02631257,0.0193927,0.5,1,0
765.0125,0.02282718,0.008227174,0.5,1,0
790.7469,0.02282718,0.006706323,0.5,1,0
821.5363,0.02161989,0.06497114,0.5,1,0
851.0667,0.02360331,0.06050353,0.5,1,0
856.1662,0.02348867,0.08675637,0.5,1,0
866.4612,0.02282718,0.005680205,0.5,1,0
905.0953,0.02331011,0.05158333,0.5,1,0
925.1471,0.02282718,0.01462565,0.5,1,0
937.0628,0.02187047,0.1487801,0.5,1,0
958.5604,0.02171191,0.2039318,0.5,1,0
991.6162,0.02406554,0.3784645,0.5,1,0
1006.279,0.02276729,4.070127e-05,0.5,1,0
1022.956,0.02276729,0.00839911,0.5,1,0
1054.47,0.02279158,0.0901562,0.5,1,0
1057.848,0.02276729,7.860577e-05,0.5,1,0
1098.706,0.02450672,0.01700783,0.5,1,0
1109.092,0.02542247,0.03119887,0.5,1,0
1140.182,0.02156518,0.229437,0.5,1,0
1167.597,0.02269343,0.08862869,0.5,1,0
1177.214,0.02430333,0.06109544,0.5,1,0
1194.815,0.02369418,0.08927833,0.5,1,0
1211.058,0.02025368,0.01050466,0.5,1,0
1245.27,0.02340878,0.2600893,0.5,1,0
1267.256,0.02340878,0.02960041,0.5,1,0
1273.199,0.02340878,0.02632388,0.5,1,0
1298.82,0.02340878,0.003928942,0.5,1,0
1326.181,0.02340878,5.957123e-05,0.5,1,0
1337.059,0.02340878,9.428723e-05,0.5,1,0
1361.167,0.02340878,0.0004766886,0.5,1,0
1394.043,0.02340878,0.214465,0.5,1,0
1405.67,0.02340878,0.07457311,0.5,1,0
1420.006,0.02340878,0.009774492,0.5,1,0
1428.249,0.02340878,0.02962352,0.5,1,0
1444.33,0.02340878,0.01723676,0.5,1,0
1474.083,0.02340878,0.1241824,0.5,1,0
1490.986,0.02340878,0.0001164305,0.5,1,0
1522.954,0.0233316,0.2487651,0.5,1,0
1558.081,0.0233316,7.578167e-05,0.5,1,0
1565.54,0.0233316,0.005919558,0.5,1,0
1591.689,0.0233316,0.001362159,0.5,1,0
1598.157,0.0233316,0.3836648,0.5,1,0
1622.947,0.0233316,0.1039659,0.5,1,0
1638.339,0.0233316,0.05070705,0.5,1,0
1662.697,0.0233316,0.2298419,0.5,1,0
1689.048,0.0233316,0.1084948,0.5,1,0
1710.061,0.0233316,0.08574357,0.5,1,0
1723.054,0.0233316,0.01914808,0.5,1,0
1756.141,0.0233316,0.1347848,0.5,1,0
1782.612,0.0233316,0.2340532,0.5,1,0
1783.173,0.0233316,0.4265308,0.5,1,0
1808.67,0.0233316,0.020562,0.5,1,0
1823.955,0.0233316,0.0008942554,0.5,1,0
1846.349,0.0233316,0.0121437,0.5,1,0
1867.306,0.0233316,0.0009130147,0.5,1,0
1903.084,0.0233316,0.04726535,0.5,1,0
1917.437,0.0233316,0.04432048,0.5,1,0
1954.048,0.02356055,0.004448355,0.5,1,0
1969.286,0.02356055,0.8017769,0.5,1,0
1975.179,0.02356055,0.4742343,0.5,1,0
2000.884,0.02356055,0.0004503581,0.5,1,0
2023.994,0.02356055,0.2308403,0.5,1,0
2030.79,0.02356055,0.05091614,0.5,1,0
2052.947,0.02356055,0.0007815162,0.5,1,0
2088.873,0.02356055,0.02830913,0.5,1,0
2096.598,0.02356055,0.03088556,0.5,1,0
2124.435,0.02356055,0.003316094,0.5,1,0
2145.861,0.02356055,0.07523957,0.5,1,0
2153.069,0.02356055,0.3089561,0.5,1,0
2186.902,0.02356055,0.6021603,0.5,1,0
2201.649,0.02745762,0.1110644,0.5,1,0
2260.032,0.02356055,0.1034274,0.5,1,0
2264.501,0.02356055,0.006613683,0.5,1,0
2266.895,0.02356055,0.2355727,0.5,1,0
2282.24,0.02356055,0.2006429,0.5,1,0
2316.226,0.02356055,0.01845263,0.5,1,0
2353.105,0.02356055,0.05267604,0.5,1,0
2356.074,0.02356055,0.08986266,0.5,1,0
2392.339,0.02356055,0.03258154,0.5,1,0
2427.269,0.02356055,0.1647282,0.5,1,0
2447.077,0.0239543,0.2307069,0.5,1,0
2456.108,0.0239543,0.02076497,0.5,1,0
2489.539,0.0239543,0.1077798,0.5,1,0
2509.107,0.0239543,0.0002600938,0.5,1,0
2521.73,0.0239543,0.02317204,0.5,1,0
