energy,Pu240 + photon [inclusive] width,n + Pu239 width,J,Pi,L
1389.991,0.0410217,0.03299697,0,1,0
1414.733,0.03990486,0.06575344,0,1,0
1428.371,0.03978262,0.003757278,0,1,0
1444.581,0.04180735,0.03086357,0,1,0
1451.408,0.03934766,0.1064066,0,1,0
1456.368,0.03480047,0.03230195,0,1,0
1471.137,0.04193597,0.02659931,0,1,0
1481.539,0.0405136,0.07105562,0,1,0
1492.067,0.03897466,0.01621298,0,1,0
1499.255,0.04137739,0.03449525,0,1,0
1503.649,0.0486605,0.01182565,0,1,0
1508.642,0.04218317,0.01091118,0,1,0
1522.868,0.04044025,0.08600771,0,1,0
1523.553,0.04366472,0.008347426,0,1,0
1538.514,0.04064984,0.006976468,0,1,0
1563.159,0.04360683,0.003916146,0,1,0
1580.711,0.038969,0.005897046,0,1,0
1584.764,0.0397142,0.01240003,0,1,0
1592.747,0.04029342,0.001276303,0,1,0
1602.647,0.04580371,0.02948669,0,1,0
1619.192,0.04391703,0.06177971,0,1,0
1621.427,0.03924169,0.05952901,0,1,0
1630.047,0.03685052,0.07035082,0,1,0
1639.67,0.04167975,5.681752e-05,0,1,0
1645.983,0.04590595,0.02956104,0,1,0
1655.371,0.0434236,0.004351598,0,1,0
1668.813,0.04227635,0.07729504,0,1,0
1675.062,0.03947483,0.01388188,0,1,0
1686.825,0.03843721,0.03708015,0,1,0
1741.864,0.0392107,0.004926828,0,1,0
1751.629,0.03932911,0.008154942,0,1,0
1761.357,0.03981958,0.007579223,0,1,0
1785.698,0.04047164,0.007678854,0,1,0
1788.619,0.03945081,0.1196241,0,1,0
1812.881,0.0382183,0.009598033,0,1,0
1825.388,0.05126171,0.1102905,0,1,0
1827.812,0.03889639,0.0263921,0,1,0
1843.935,0.03923165,0.02302413,0,1,0
1847.582,0.03981562,0.006843704,0,1,0
1855.443,0.04391652,0.1450493,0,1,0
1868.075,0.04667733,0.02252001,0,1,0
1881.706,0.03726952,0.02379599,0,1,0
1900.737,0.03947625,0.003052191,0,1,0
1908.022,0.04064975,0.006923516,0,1,0
1916.674,0.03909247,0.00368889,0,1,0
1932.1,0.03934661,0.001016032,0,1,0
1938.519,0.04867894,0.06562436,0,1,0
1940.569,0.0398242,0.0113131,0,1,0
1957.01,0.03958476,0.008067169,0,1,0
1980.812,0.0361202,0.008475523,0,1,0
1984.434,0.02214625,0.05062214,0,1,0
2002.9,0.03756603,0.00620442,0,1,0
2010.509,0.03929363,0.005492649,0,1,0
2016.624,0.0501425,0.03175696,0,1,0
2031.942,0.03882435,0.01068772,0,1,0
2033.37,0.01783553,0.002174148,0,1,0
2040.579,0.0401309,0.003790059,0,1,0
2048.418,0.03728365,0.02021351,0,1,0
2052.678,0.03338492,0.001402442,0,1,0
2073.072,0.03971789,0.009593372,0,1,0
2090.387,0.03864207,0.006155835,0,1,0
2102.623,0.03604469,0.00606139,0,1,0
2113.152,0.03945213,0.007274311,0,1,0
2118.14,0.04147475,0.01217427,0,1,0
2129.15,0.03944103,0.04327626,0,1,0
2133.05,0.03849405,0.00322328,0,1,0
2148.849,0.04656564,0.1569393,0,1,0
2156.107,0.04594696,0.0009329265,0,1,0
2173.679,0.03902123,0.009225204,0,1,0
2193.675,0.03742445,0.07968324,0,1,0
2206.175,0.0463002,0.03798299,0,1,0
2216.826,0.04007261,0.009431084,0,1,0
2226.063,0.04005833,0.01163192,0,1,0
2243.862,0.0412377,0.135489,0,1,0
2252.934,0.0354465,0.04989203,0,1,0
2265.29,0.03906788,0.008978135,0,1,0
2274.64,0.04225598,0.01614675,0,1,0
2286.794,0.03628915,0.01877653,0,1,0
2300.401,0.03525766,0.002425357,0,1,0
2317.992,0.05875229,0.1524516,0,1,0
2331.33,0.04034352,0.1088398,0,1,0
2343.803,0.03926941,0.007549802,0,1,0
2362.851,0.05141165,0.03030552,0,1,0
2376.886,0.03943538,0.00900278,0,1,0
2399.331,0.03947846,0.01469698,0,1,0
2411.289,0.04565647,0.02656516,0,1,0
2427.345,0.03775351,0.06946593,0,1,0
2432.647,0.05270107,0.005787052,0,1,0
2447.514,0.0399952,0.1099808,0,1,0
2459.439,0.04406361,0.01077953,0,1,0
2474.567,0.04300423,0.006993946,0,1,0
2480.019,0.03899041,0.001504193,0,1,0
2509.768,0.04,0.1903797,0,1,0
2527.941,0.04,0.0004107365,0,1,0
2535.093,0.04,-0.00196275,0,1,0
2553.842,0.04,0.03417801,0,1,0
2562.095,0.04,0.08642185,0,1,0
2582.271,0.04,0.001337597,0,1,0
2586.097,0.04,0.01480317,0,1,0
2587.531,0.04,0.04417272,0,1,0
2604.083,0.04,0.07494529,0,1,0
2614.722,0.04,0.02553264,0,1,0
2625.718,0.04,0.1438116,0,1,0
2635.113,0.04,0.01297157,0,1,0
2639.054,0.04,0.000585391,0,1,0
2639.06,0.04,0.01518763,0,1,0
2642.883,0.04,0.000792299,0,1,0
2654.607,0.04,0.01221284,0,1,0
2661.328,0.04,0.01829373,0,1,0
2666.526,0.04,0.01840245,0,1,0
2676.317,0.04,0.1855386,0,1,0
2695.401,0.04,0.0003584771,0,1,0
2701.282,0.04,0.02532423,0,1,0
2710.066,0.04,0.123473,0,1,0
2710.825,0.04,0.03861759,0,1,0
2733.406,0.04,0.01647194,0,1,0
2759.89,0.04,0.003514817,0,1,0
2773.565,0.04,0.1671312,0,1,0
