energy,Dy163 + photon [inclusive] width,n + Dy162 width,J,Pi,L
-1255.353,0.1172068,13.24106,0.5,1,0
-47.40439,0.1109074,0.038582,0.5,1,0
5.439644,0.127837,0.02441369,0.5,1,0
71.10805,0.08338762,0.4527438,0.5,1,0
117.2403,0.1198147,0.01201939,0.5,1,0
208.1229,0.1104067,0.02482764,0.5,1,0
223.5205,0.1144367,0.042064,0.5,1,0
269.4148,0.09410555,0.7100095,0.5,1,0
357.3939,0.1020735,0.02492498,0.5,1,0
413.2313,0.08595997,0.1536636,0.5,1,0
470.3503,0.1168302,0.009020171,0.5,1,0
529.9783,0.07018136,0.3160681,0.5,1,0
632.9597,0.08964545,1.687796,0.5,1,0
686.3481,0.09621278,0.4852039,0.5,1,0
717.0901,0.1003568,0.6138039,0.5,1,0
766.7905,0.08728806,0.8640607,0.5,1,0
866.8047,0.103654,2.685324,0.5,1,0
951.5922,0.07120937,0.1851372,0.5,1,0
1005.201,0.1119929,0.05097013,0.5,1,0
1066.679,0.1168038,0.03103391,0.5,1,0
1110.827,0.1080331,0.2601932,0.5,1,0
1261.732,0.1168272,0.8537326,0.5,1,0
1360.889,0.1099463,0.1300349,0.5,1,0
1431.595,0.1168909,1.515371,0.5,1,0
1526.744,0.1050205,0.2213557,0.5,1,0
1567.875,0.1168349,0.6320384,0.5,1,0
1681.119,0.1168007,0.01300835,0.5,1,0
1725.196,0.1150121,0.1082061,0.5,1,0
1794.828,0.1167977,0.01801848,0.5,1,0
1835.409,0.110003,0.2194576,0.5,1,0
1936.196,0.1168238,0.9241583,0.5,1,0
1950.449,0.1168068,0.07101885,0.5,1,0
2003.857,0.1168168,0.2711474,0.5,1,0
2081.959,0.1168117,0.1804485,0.5,1,0
2181.442,0.1167996,0.07514911,0.5,1,0
2241.475,0.1168326,0.9531299,0.5,1,0
2276.351,0.1168163,0.8087423,0.5,1,0
2342.393,0.1168066,0.7711718,0.5,1,0
2364.067,0.1167993,0.4206752,0.5,1,0
2493.338,0.1167867,0.418039,0.5,1,0
2526.959,0.1168028,0.2204149,0.5,1,0
2576.261,0.1167995,0.1701669,0.5,1,0
2674.233,0.1168045,0.7205479,0.5,1,0
2797.803,0.1168247,2.692026,0.5,1,0
2848.223,0.1168003,0.7997722,0.5,1,0
2886.44,0.1168029,1.068498,0.5,1,0
2943.725,0.116801,0.1499896,0.5,1,0
2957.217,0.1168008,0.1500037,0.5,1,0
3081.081,0.1168008,0.04201825,0.5,1,0
3183.536,0.1168006,0.1200159,0.5,1,0
3243.86,0.1168035,0.7389881,0.5,1,0
3326.705,0.1168033,0.2601685,0.5,1,0
3363.87,0.1168015,0.2299753,0.5,1,0
3555.594,0.116795,2.381538,0.5,1,0
3624.04,0.1168,0.0350069,0.5,1,0
3665.811,0.1168038,0.5096114,0.5,1,0
3800.222,0.1167981,2.883806,0.5,1,0
3894.582,0.1168002,0.03900405,0.5,1,0
4012.822,0.1168004,1.392971,0.5,1,0
4081.819,0.1168003,1.394555,0.5,1,0
4096.105,0.1168001,0.3895891,0.5,1,0
4114.928,0.1168005,2.582391,0.5,1,0
4239.005,0.1168001,0.8484103,0.5,1,0
4273.303,0.1168001,0.5194266,0.5,1,0
4393.501,0.1168,0.2099164,0.5,1,0
4452.306,0.1168002,2.092044,0.5,1,0
4554.9,0.1168,0.06799226,0.5,1,0
4657.0,0.1168,0.0959856,0.5,1,0
4785.601,0.1168,0.4796676,0.5,1,0
4844.6,0.1168,0.1299764,0.5,1,0
5032.504,0.1199961,1.779219,0.5,1,0
6255.305,0.1198923,78.65939,0.5,1,0
3270.9,0.1168,0.018,0.5,-1,1
1387.5,0.1168,0.0024,1.5,-1,1
1483.3,0.1168,0.0035,1.5,-1,1
2047.6,0.1168,0.0045,1.5,-1,1
3028.9,0.1168,0.009,1.5,-1,1
3513.8,0.1168,0.013,1.5,-1,1
3966.9,0.1168,0.013,1.5,-1,1
