energy,Ca41 + photon [inclusive] width,n + Ca40 width,J,Pi,L
727780.9,0.4139505,166.9951,1.5,-1,1
764309.3,0.3809662,135.1587,1.5,-1,1
772814.2,1.0,80.88075,1.5,-1,1
825666.1,1.000496,372.7073,1.5,-1,1
841885.4,0.8794051,417.6216,1.5,-1,1
852379.3,0.9002441,20.22774,1.5,-1,1
884047.9,0.4158173,345.631,1.5,-1,1
907566.4,0.3800084,636.4961,1.5,-1,1
938797.2,1.002308,28.23054,1.5,-1,1
958549.4,0.3809018,453.2,1.5,-1,1
1040712.0,1.000967,394.5334,1.5,-1,1
1082875.0,1.000676,754.6027,1.5,-1,1
1145045.0,1.060216,494.8621,1.5,-1,1
1159711.0,1.090563,457.9632,1.5,-1,1
1166595.0,1.083161,216.0592,1.5,-1,1
1185042.0,1.002685,187.9646,1.5,-1,1
1200423.0,1.159214,5743.287,1.5,-1,1
1214226.0,0.9518523,6166.954,1.5,-1,1
1298746.0,1.0,340.9365,1.5,-1,1
1301649.0,1.045509,191.7287,1.5,-1,1
1327471.0,1.0,130.6775,1.5,-1,1
1347516.0,1.0,1159.204,1.5,-1,1
1404028.0,1.0,41.38882,1.5,-1,1
1406689.0,1.0,431.898,1.5,-1,1
1423854.0,1.000005,730.3676,1.5,-1,1
1445634.0,1.191034,1491.566,1.5,-1,1
1464709.0,1.016184,143.6454,1.5,-1,1
1477528.0,0.9389508,160.3824,1.5,-1,1
3026.62,0.5099998,0.0001501024,1.5,1,2
4657.137,0.509976,0.0004947117,1.5,1,2
20437.08,0.7210495,4.938822,1.5,1,2
46236.03,0.5099926,0.02026671,1.5,1,2
62641.66,1.121466,0.06335089,1.5,1,2
65578.78,1.111692,0.05383179,1.5,1,2
106539.8,0.4707627,0.09616531,1.5,1,2
138535.8,0.2806143,0.09549145,1.5,1,2
143262.6,0.3596077,0.9937466,1.5,1,2
150094.5,0.3528211,0.6032865,1.5,1,2
164732.4,0.5324688,2.791209,1.5,1,2
172223.0,3.526227,0.8406423,1.5,1,2
185668.8,1.239514,9.646669,1.5,1,2
192482.4,0.9910902,0.377505,1.5,1,2
214146.3,0.6883913,6.154837,1.5,1,2
222722.6,0.6559927,9.108186,1.5,1,2
241635.8,1.093544,21.2968,1.5,1,2
280581.0,1.182492,7.251026,1.5,1,2
300198.3,0.6199414,27.33042,1.5,1,2
379814.7,1.0,12.87701,1.5,1,2
416725.5,0.5128116,4.541446,1.5,1,2
470023.7,1.0,47.99204,1.5,1,2
499969.1,1.0,11.12486,1.5,1,2
503524.6,1.0,43.36471,1.5,1,2
520048.8,1.0,9.004734,1.5,1,2
525046.3,1.0,59.04118,1.5,1,2
558605.3,0.510069,277.1598,1.5,1,2
629398.8,0.5134487,14.99947,1.5,1,2
643028.1,1.0,52.61832,1.5,1,2
747296.8,0.349987,461.609,1.5,1,2
857709.4,0.5106777,209.3856,1.5,1,2
873673.7,1.0,95.69857,1.5,1,2
889163.4,0.9002356,44.84038,1.5,1,2
891471.7,0.8999572,43.17489,1.5,1,2
944774.5,0.5119372,541.6408,1.5,1,2
968829.8,1.0,0.2363,1.5,1,2
977605.0,1.012831,48.0416,1.5,1,2
993309.8,0.6866854,909.4029,1.5,1,2
1070749.0,1.003334,107.4788,1.5,1,2
1094159.0,1.03364,381.9306,1.5,1,2
1126744.0,1.013611,201.7282,1.5,1,2
1128806.0,1.113102,880.1105,1.5,1,2
1182505.0,1.001087,284.4307,1.5,1,2
1231250.0,1.000157,868.5718,1.5,1,2
1263048.0,1.00074,1409.171,1.5,1,2
1281790.0,0.9786015,256.3466,1.5,1,2
1290230.0,1.0,1844.469,1.5,1,2
1333757.0,1.0,597.8572,1.5,1,2
1345129.0,1.0,465.8871,1.5,1,2
