energy,Fe57 + photon [inclusive] width,n + Fe56 width,J,Pi,L
446000.0,0.555556,5.0,1.5,-1,1
451288.0,0.811991,93.5,1.5,-1,1
458045.0,0.370947,145.0,1.5,-1,1
468656.0,1.06875,5.7,1.5,-1,1
476000.0,0.49,0.555,1.5,-1,1
489815.0,0.340647,179.0,1.5,-1,1
511675.0,0.49,512.1,1.5,-1,1
513201.0,0.49,155.0,1.5,-1,1
533558.0,0.316375,72.5,1.5,-1,1
538737.0,0.49,459.6,1.5,-1,1
543980.0,0.49,10.65,1.5,-1,1
544413.0,0.875781,131.8,1.5,-1,1
561394.0,0.626041,376.0,1.5,-1,1
567350.0,1.15636,8.65,1.5,-1,1
577419.0,1.00069,1456.0,1.5,-1,1
603591.0,0.609421,83.4,1.5,-1,1
626694.0,0.49,36.3,1.5,-1,1
629044.0,0.49,7.3,1.5,-1,1
644187.0,0.49,43.5,1.5,-1,1
645980.0,0.49,58.9,1.5,-1,1
653540.0,0.49,259.4,1.5,-1,1
656230.0,0.49,22.6,1.5,-1,1
657826.0,0.49,487.0,1.5,-1,1
665597.0,0.49,121.9,1.5,-1,1
689605.0,0.49,240.0,1.5,-1,1
696188.0,0.49,599.0,1.5,-1,1
708155.0,0.49,5.6,1.5,-1,1
715727.0,0.49,63.1,1.5,-1,1
721877.0,0.49,155.8,1.5,-1,1
737726.0,0.49,646.0,1.5,-1,1
745685.0,0.49,220.6,1.5,-1,1
750192.0,0.49,690.0,1.5,-1,1
759175.0,0.49,74.6,1.5,-1,1
766724.0,0.49,835.0,1.5,-1,1
770916.0,0.49,351.1,1.5,-1,1
785600.0,0.49,134.4,1.5,-1,1
806575.0,0.49,204.2,1.5,-1,1
816858.0,0.49,314.0,1.5,-1,1
825860.0,0.49,229.0,1.5,-1,1
2350.0,0.72,0.00022,1.5,1,2
20170.0,0.72,0.0043197,1.5,1,2
92708.0,0.700386,1.8,1.5,1,2
96630.0,0.911596,2.16,1.5,1,2
105942.0,0.894259,3.46,1.5,1,2
112719.0,0.560954,6.59,1.5,1,2
125175.0,0.615917,12.9,1.5,1,2
130170.0,0.72,0.46,1.5,1,2
141150.0,0.72,0.3425,1.5,1,2
161778.0,0.603938,6.7,1.5,1,2
169172.0,0.880432,21.6,1.5,1,2
173190.0,0.72,0.115,1.5,1,2
187088.0,0.300536,6.0,1.5,1,2
190020.0,0.311695,14.2,1.5,1,2
193015.0,0.601161,31.35,1.5,1,2
201581.0,0.827041,32.8,1.5,1,2
205950.0,0.736458,2.115,1.5,1,2
209720.0,0.72,0.07862,1.5,1,2
223690.0,0.868334,1.3,1.5,1,2
229910.0,0.72,0.278,1.5,1,2
232550.0,1.08967,25.4,1.5,1,2
256158.0,0.546167,5.4,1.5,1,2
280986.0,0.914637,8.9,1.5,1,2
288765.0,0.619915,31.5,1.5,1,2
299974.0,0.768509,28.1,1.5,1,2
321779.0,0.663187,9.9,1.5,1,2
331510.0,0.437966,27.0,1.5,1,2
341059.0,0.56259,30.5,1.5,1,2
344753.0,0.698119,45.2,1.5,1,2
350322.0,0.879532,93.1,1.5,1,2
353768.0,0.724875,34.6,1.5,1,2
356705.0,0.387049,8.4,1.5,1,2
373747.0,0.911689,5.4,1.5,1,2
379184.0,0.66414,47.6,1.5,1,2
401787.0,1.11838,148.2,1.5,1,2
431001.0,1.08639,5.8,1.5,1,2
434777.0,0.56728,140.6,1.5,1,2
438687.0,0.726595,13.7,1.5,1,2
473200.0,0.72,1.0,1.5,1,2
490568.0,0.510623,418.1,1.5,1,2
499316.0,1.01933,110.3,1.5,1,2
514705.0,0.72,20.8,1.5,1,2
523042.0,0.867045,6.5,1.5,1,2
556760.0,0.72,0.935,1.5,1,2
591424.0,0.72,8.2,1.5,1,2
595894.0,0.72,65.2,1.5,1,2
600500.0,0.72,0.625,1.5,1,2
613111.0,0.72,8.4,1.5,1,2
614141.0,0.72,82.2,1.5,1,2
615971.0,0.72,19.9,1.5,1,2
631138.0,0.72,137.9,1.5,1,2
636495.0,0.72,35.3,1.5,1,2
658559.0,0.72,202.0,1.5,1,2
663406.0,1.36468,9.0,1.5,1,2
668058.0,0.72,6.7,1.5,1,2
671281.0,0.72,212.1,1.5,1,2
672961.0,0.72,51.7,1.5,1,2
683944.0,0.72,21.9,1.5,1,2
695628.0,0.72,496.0,1.5,1,2
702345.0,0.72,24.3,1.5,1,2
714345.0,0.72,61.7,1.5,1,2
721336.0,0.72,148.2,1.5,1,2
739534.0,0.72,52.6,1.5,1,2
765013.0,0.72,132.5,1.5,1,2
772311.0,0.72,52.0,1.5,1,2
778081.0,0.72,162.0,1.5,1,2
780456.0,0.72,489.0,1.5,1,2
782840.0,0.72,250.0,1.5,1,2
786520.0,0.72,113.0,1.5,1,2
786970.0,0.72,98.0,1.5,1,2
794020.0,0.72,185.9,1.5,1,2
795944.0,0.72,40.2,1.5,1,2
798190.0,0.72,11.3,1.5,1,2
804532.0,0.72,681.0,1.5,1,2
816330.0,0.72,182.0,1.5,1,2
72988.0,1.03009,0.28,2.5,1,2
80842.0,0.693013,11.7667,2.5,1,2
103087.0,0.642339,0.426667,2.5,1,2
181185.0,0.752225,29.2,2.5,1,2
210699.0,0.431508,5.9,2.5,1,2
234893.0,0.789064,31.7,2.5,1,2
241625.0,1.17978,11.6,2.5,1,2
253556.0,0.53927,42.0,2.5,1,2
267044.0,0.316183,78.6667,2.5,1,2
283985.0,0.479512,9.3,2.5,1,2
285550.0,0.653861,17.7,2.5,1,2
314744.0,1.08157,52.9,2.5,1,2
334417.0,0.676026,4.2,2.5,1,2
366797.0,0.937072,13.6,2.5,1,2
385930.0,2.16967,4.0,2.5,1,2
419118.0,0.849884,53.8,2.5,1,2
448817.0,0.722201,236.3,2.5,1,2
455170.0,0.797149,5.13333,2.5,1,2
460275.0,1.17091,4.6,2.5,1,2
464379.0,0.679663,72.3,2.5,1,2
481158.0,1.37744,133.1,2.5,1,2
487560.0,0.97422,6.46666,2.5,1,2
493824.0,1.39869,28.5333,2.5,1,2
503405.0,0.72,147.5,2.5,1,2
513385.0,0.72,52.3,2.5,1,2
527396.0,0.929502,90.0,2.5,1,2
531855.0,0.478985,98.5,2.5,1,2
545653.0,0.72,308.8,2.5,1,2
552500.0,1.00978,61.0,2.5,1,2
558783.0,0.939189,149.7,2.5,1,2
565497.0,0.52082,64.8,2.5,1,2
569399.0,0.391764,86.6,2.5,1,2
579878.0,1.03996,162.1,2.5,1,2
590416.0,0.744699,68.3,2.5,1,2
610150.0,0.805224,24.9,2.5,1,2
623892.0,0.735473,20.5,2.5,1,2
637491.0,0.72,163.7,2.5,1,2
646665.0,0.72,667.333,2.5,1,2
655640.0,0.72,169.8,2.5,1,2
680675.0,0.72,35.1,2.5,1,2
685192.0,0.72,204.4,2.5,1,2
691108.0,0.72,133.2,2.5,1,2
727834.0,0.72,671.0,2.5,1,2
731818.0,0.72,90.3,2.5,1,2
737856.0,0.72,329.0,2.5,1,2
756281.0,0.72,1039.0,2.5,1,2
782850.0,0.72,87.0,2.5,1,2
788974.0,0.72,997.667,2.5,1,2
820144.0,0.72,170.4,2.5,1,2
828632.0,0.72,679.0,2.5,1,2
835798.0,0.72,536.4,2.5,1,2
838340.0,0.72,44.5,2.5,1,2
845452.0,0.72,883.0,2.5,1,2
850377.0,0.72,63.4,2.5,1,2
851920.0,0.72,40.6,2.5,1,2
865400.0,0.72,267.333,2.5,1,2
