energy,Fe57 + photon [inclusive] width,n + Fe56 width,J,Pi,L
-473000.0,1.0,308000.0,0.5,1,0
-24000.0,1.0,2710.0,0.5,1,0
-2440.0,0.85,193.0,0.5,1,0
27791.0,1.28866,1409.3,0.5,1,0
74029.0,0.69561,611.5,0.5,1,0
83628.0,0.52883,1215.1,0.5,1,0
129861.0,0.62,588.0,0.5,1,0
140479.0,1.61,2735.0,0.5,1,0
169275.0,0.94,962.0,0.5,1,0
187737.0,1.05,3620.0,0.5,1,0
220586.0,1.5,1267.0,0.5,1,0
244991.0,0.70517,487.0,0.5,1,0
277206.0,1.15,3650.0,0.5,1,0
317909.0,3.36159,7117.9,0.5,1,0
331447.0,0.51171,327.58,0.5,1,0
357263.0,1.1,2205.0,0.5,1,0
361078.0,1.1,7775.0,0.5,1,0
381360.0,0.96,12330.0,0.5,1,0
405408.0,0.96,2329.0,0.5,1,0
438296.0,0.96,1918.0,0.5,1,0
469934.0,0.96,2566.0,0.5,1,0
500194.0,0.96,1726.0,0.5,1,0
535921.0,0.96,255.5,0.5,1,0
545773.0,0.96,268.0,0.5,1,0
561015.0,1.25,1500.0,0.5,1,0
575212.0,0.96,87.1,0.5,1,0
613936.0,0.54,2642.0,0.5,1,0
665655.0,0.96,27960.0,0.5,1,0
693506.0,0.96,1727.0,0.5,1,0
710659.0,0.96,20940.0,0.5,1,0
741680.0,0.96,5719.0,0.5,1,0
752706.0,0.96,2462.0,0.5,1,0
769537.0,0.96,3957.0,0.5,1,0
787270.0,0.96,1384.0,0.5,1,0
825678.0,0.96,263.0,0.5,1,0
839308.0,0.96,2411.0,0.5,1,0
856200.0,0.96,3470.0,0.5,1,0
883000.0,0.96,2870.0,0.5,1,0
893000.0,0.96,28200.0,0.5,1,0
1283000.0,0.96,740000.0,0.5,1,0
1151.0,0.572782,0.0617,0.5,-1,1
12450.0,0.49,0.0025,0.5,-1,1
17750.0,0.49,0.015,0.5,-1,1
22801.0,0.972118,0.214,0.5,-1,1
53561.0,0.595654,1.12,0.5,-1,1
77082.0,0.326648,3.52,0.5,-1,1
96194.0,0.547959,1.84,0.5,-1,1
96346.0,0.567007,14.6,0.5,-1,1
121020.0,0.49,0.05,0.5,-1,1
122600.0,0.49,0.14,0.5,-1,1
124187.0,0.6375,10.2,0.5,-1,1
153945.0,0.653167,5.0,0.5,-1,1
181080.0,0.518919,6.4,0.5,-1,1
189970.0,0.283305,24.0,0.5,-1,1
195747.0,0.589197,72.7,0.5,-1,1
221844.0,0.451415,17.4,0.5,-1,1
263641.0,0.486608,125.6,0.5,-1,1
264340.0,0.398602,1.0,0.5,-1,1
267693.0,0.672374,7.0,0.5,-1,1
269772.0,0.360821,158.3,0.5,-1,1
274690.0,0.49,0.23,0.5,-1,1
283050.0,0.55814,4.8,0.5,-1,1
290745.0,0.608182,7.2,0.5,-1,1
293225.0,0.576075,197.6,0.5,-1,1
306320.0,0.49,0.23293,0.5,-1,1
310980.0,1.06662,144.5,0.5,-1,1
312840.0,0.54031,1.7,0.5,-1,1
324013.0,0.350855,10.5,0.5,-1,1
393523.0,0.997912,54.6,0.5,-1,1
428604.0,0.818881,22.4,0.5,-1,1
439517.0,0.373038,10.3,0.5,-1,1
448217.0,0.500998,251.0,0.5,-1,1
457040.0,0.351267,97.0,0.5,-1,1
485330.0,0.608824,41.4,0.5,-1,1
508268.0,0.49,24.7,0.5,-1,1
558854.0,0.620451,854.0,0.5,-1,1
581068.0,0.9675,12.9,0.5,-1,1
595136.0,0.49,186.0,0.5,-1,1
598024.0,0.49,12.4,0.5,-1,1
607945.0,0.746227,11.3,0.5,-1,1
614873.0,0.49,300.0,0.5,-1,1
623441.0,0.49,14.9,0.5,-1,1
633473.0,0.49,160.7,0.5,-1,1
641535.0,0.49,58.1,0.5,-1,1
654900.0,0.49,21.6,0.5,-1,1
655830.0,0.49,165.0,0.5,-1,1
681473.0,0.49,75.5,0.5,-1,1
688658.0,0.49,9.7,0.5,-1,1
705197.0,0.49,16.0,0.5,-1,1
717008.0,0.49,708.0,0.5,-1,1
744980.0,0.49,44.0,0.5,-1,1
765725.0,0.49,38.9,0.5,-1,1
770225.0,0.49,35.6,0.5,-1,1
779435.0,0.49,34.0,0.5,-1,1
785270.0,0.49,166.0,0.5,-1,1
786270.0,0.49,1629.0,0.5,-1,1
795394.0,0.49,89.0,0.5,-1,1
801419.0,0.49,52.0,0.5,-1,1
814464.0,0.49,453.0,0.5,-1,1
818540.0,0.49,29.0,0.5,-1,1
819140.0,0.49,63.0,0.5,-1,1
821504.0,0.49,42.0,0.5,-1,1
833762.0,0.49,245.0,0.5,-1,1
34234.0,1.60655,0.35,1.5,-1,1
36725.0,0.243499,0.285,1.5,-1,1
38418.0,0.66297,0.238,1.5,-1,1
46053.5,0.265125,5.14,1.5,-1,1
52139.7,0.387683,17.29,1.5,-1,1
59232.0,0.445022,4.81,1.5,-1,1
63474.0,0.494656,0.8,1.5,-1,1
90338.0,0.414049,22.0,1.5,-1,1
92928.0,0.43169,0.76,1.5,-1,1
102698.0,0.339917,27.9,1.5,-1,1
122801.0,0.283795,61.9,1.5,-1,1
142310.0,0.49,0.295,1.5,-1,1
149830.0,0.49,0.13,1.5,-1,1
173688.0,0.226312,38.8,1.5,-1,1
179766.0,0.264063,16.9,1.5,-1,1
207992.0,0.390851,12.5,1.5,-1,1
208830.0,0.49,0.11769,1.5,-1,1
215980.0,0.49,0.111305,1.5,-1,1
225855.0,0.433656,28.1,1.5,-1,1
243410.0,0.49,0.076155,1.5,-1,1
276336.0,0.215202,229.0,1.5,-1,1
290415.0,0.370281,33.9,1.5,-1,1
293225.0,0.49,0.16034,1.5,-1,1
302990.0,0.49,0.13,1.5,-1,1
304493.0,0.390082,18.3,1.5,-1,1
306990.0,0.384083,1.0,1.5,-1,1
340770.0,0.526429,132.8,1.5,-1,1
341766.0,0.542857,3.8,1.5,-1,1
348904.0,0.606784,256.2,1.5,-1,1
355200.0,0.49,0.215,1.5,-1,1
362716.0,0.654546,93.6,1.5,-1,1
370600.0,0.49,0.26,1.5,-1,1
377247.0,0.505604,5.1,1.5,-1,1
386849.0,0.837735,89.9,1.5,-1,1
398803.0,0.49,0.475,1.5,-1,1
403134.0,0.355203,621.0,1.5,-1,1
414500.0,0.49,0.8,1.5,-1,1
418183.0,0.555412,748.0,1.5,-1,1
423100.0,0.651116,3.0,1.5,-1,1
