energy,W184 + photon [inclusive] width,n + W183 width,J,Pi,L
47.89468,0.08109935,0.1136383,0,-1,0
144.3107,0.07193977,0.1058224,0,-1,0
154.5883,0.06628506,0.4627081,0,-1,0
203.3995,0.08630318,0.004383592,0,-1,0
220.3207,0.0787678,0.006795566,0,-1,0
227.7642,0.08017396,0.002262541,0,-1,0
288.4683,0.07799461,0.01015275,0,-1,0
341.8044,0.07701817,0.0006894369,0,-1,0
353.0782,0.07706951,0.003251648,0,-1,0
425.6391,0.077088,0.09127762,0,-1,0
468.6477,0.07746878,0.008376603,0,-1,0
495.4926,0.08318194,0.007686688,0,-1,0
511.4308,0.07815827,0.0004401691,0,-1,0
558.5885,0.06858823,0.219671,0,-1,0
571.4299,0.06584955,0.1960076,0,-1,0
695.3117,0.07449837,0.8334611,0,-1,0
725.4043,0.06374693,0.1130539,0,-1,0
797.0859,0.07172717,0.6898447,0,-1,0
852.6854,0.08041181,0.05425251,0,-1,0
861.7474,0.07340612,0.1294945,0,-1,0
927.7642,0.09424609,0.06355902,0,-1,0
941.0719,0.07175834,0.4011494,0,-1,0
1024.406,0.0774711,0.01097884,0,-1,0
1059.473,0.07346956,0.09413739,0,-1,0
1099.829,0.06802784,1.84976,0,-1,0
1126.633,0.07091013,1.062605,0,-1,0
1176.8,0.07927878,0.1557056,0,-1,0
1318.988,0.07693623,0.007580904,0,-1,0
1355.869,0.077,0.03739207,0,-1,0
1433.118,0.07699687,0.002456538,0,-1,0
1438.962,0.07705986,0.003846603,0,-1,0
1452.063,0.07136891,0.1448849,0,-1,0
1475.484,0.07927965,0.03646027,0,-1,0
1532.842,0.08923437,0.1428166,0,-1,0
1542.488,0.07374024,0.2164543,0,-1,0
1616.036,0.07701724,0.005037479,0,-1,0
1627.037,0.077,0.2862013,0,-1,0
1686.992,0.0748363,0.1214758,0,-1,0
1795.866,0.06685108,0.3907113,0,-1,0
1821.196,0.06877278,0.6958345,0,-1,0
1870.519,0.07006383,1.400655,0,-1,0
1967.534,0.07703347,0.006724885,0,-1,0
1975.082,0.07700823,0.005758172,0,-1,0
2002.473,0.06640776,0.4422278,0,-1,0
2119.968,0.05530339,0.1468369,0,-1,0
2134.57,0.08050056,0.06280278,0,-1,0
2142.086,0.08271934,0.5485513,0,-1,0
2261.538,0.077,0.1766439,0,-1,0
2342.3,0.077,0.102206,0,-1,0
2461.465,0.077,0.03025276,0,-1,0
2580.309,0.07050884,0.6260559,0,-1,0
2650.551,0.06889175,1.011684,0,-1,0
2685.836,0.07072051,0.8985722,0,-1,0
2698.373,0.077,0.01137017,0,-1,0
2797.002,0.07174374,0.04955315,0,-1,0
2822.597,0.077,0.07152462,0,-1,0
2947.242,0.06683971,1.33083,0,-1,0
3028.685,0.06562037,0.4929535,0,-1,0
3046.491,0.07506915,0.08403343,0,-1,0
3135.918,0.07700665,0.002199697,0,-1,0
3159.623,0.09006795,0.2943179,0,-1,0
3180.544,0.05542118,0.09976625,0,-1,0
3203.611,0.05734016,1.418418,0,-1,0
3288.262,0.077,0.7079633,0,-1,0
3337.934,0.08186149,0.4683778,0,-1,0
3469.12,0.07673391,0.02698868,0,-1,0
3494.852,0.06743576,0.05482952,0,-1,0
3525.801,0.07180904,0.2894253,0,-1,0
3698.667,0.07741823,0.0289982,0,-1,0
3718.387,0.077,0.03016169,0,-1,0
3741.743,0.07387126,0.3245266,0,-1,0
3818.992,0.07698941,0.009973713,0,-1,0
3885.939,0.07690051,0.0160343,0,-1,0
3977.422,0.07290277,0.6111334,0,-1,0
4044.029,0.077,0.1073101,0,-1,0
4068.344,0.07786987,0.6981266,0,-1,0
4136.787,0.077,0.227476,0,-1,0
4233.732,0.08975848,1.018909,0,-1,0
4291.865,0.08018735,0.1752314,0,-1,0
4322.652,0.08465775,0.3210937,0,-1,0
4366.48,0.08027196,0.8183791,0,-1,0
4434.73,0.088,0.0763231,0,-1,0
4461.937,0.07844349,1.021339,0,-1,0
4505.219,0.0774286,0.2950144,0,-1,0
4520.196,0.08102348,0.2053607,0,-1,0
4583.814,0.07757539,0.1173209,0,-1,0
4684.295,0.077,0.206317,0,-1,0
4708.927,0.077,0.1857015,0,-1,0
4730.962,0.077,0.006334153,0,-1,0
4796.8,0.077,0.0165639,0,-1,0
4806.97,0.07464599,0.09762289,0,-1,0
4855.163,0.077,0.3398133,0,-1,0
4887.877,0.04514589,1.04356,0,-1,0
4892.163,0.04514589,1.403066,0,-1,0
5006.8,0.08579,0.3027606,0,-1,0
5050.3,0.08579,0.42571,0,-1,0
5093.8,0.08579,0.42754,0,-1,0
-244.2915,0.075,4.418338,1,-1,0
7.64,0.075,0.00166,1,-1,0
27.04778,0.061,0.04250838,1,-1,0
40.70854,0.06644803,0.00197681,1,-1,0
46.26065,0.08959318,0.1484113,1,-1,0
65.38355,0.07867383,0.001818042,1,-1,0
101.1298,0.09313543,0.0992521,1,-1,0
103.9287,0.07779154,0.002821479,1,-1,0
138.0394,0.07894362,0.003788066,1,-1,0
157.0253,0.08117372,0.05892055,1,-1,0
173.9741,0.07985097,0.06052775,1,-1,0
192.207,0.08996249,0.03445768,1,-1,0
235.2799,0.09618829,0.006245697,1,-1,0
240.3215,0.08629375,0.01139889,1,-1,0
243.6854,0.07745643,0.003146093,1,-1,0
