energy,W187 + photon [inclusive] width,n + W186 width,J,Pi,L
6846.598,0.05904629,0.03223104,0.5,-1,1
7092.606,0.05234503,0.02453751,0.5,-1,1
7291.701,0.05042009,0.005249715,0.5,-1,1
7498.044,0.05222119,0.01850901,0.5,-1,1
7883.868,0.05231801,0.01769764,0.5,-1,1
8022.424,0.0551212,0.03223382,0.5,-1,1
8236.134,0.05368492,0.04225637,0.5,-1,1
8428.538,0.05178387,0.02297063,0.5,-1,1
8953.448,0.06,0.0719664,0.5,-1,1
8956.659,0.06,0.02410721,0.5,-1,1
9003.475,0.06,0.1238209,0.5,-1,1
9209.124,0.06,0.5264272,0.5,-1,1
9416.727,0.06,8.521626,0.5,-1,1
9885.855,0.06,0.441033,0.5,-1,1
1085.047,0.04963368,0.001064607,1.5,-1,1
1825.16,0.05390883,0.001136656,1.5,-1,1
2076.545,0.05847279,0.001382237,1.5,-1,1
2393.773,0.05658378,0.004200804,1.5,-1,1
2888.951,0.06966089,0.004464214,1.5,-1,1
3112.106,0.05093277,0.002086898,1.5,-1,1
3323.613,0.05102186,0.007489817,1.5,-1,1
3578.915,0.05286279,0.01305512,1.5,-1,1
3650.849,0.05032184,0.005405629,1.5,-1,1
3722.748,0.04988743,0.002995399,1.5,-1,1
3759.415,0.05010419,0.001929212,1.5,-1,1
4057.041,0.04425525,0.007379708,1.5,-1,1
4124.211,0.05041113,0.004749618,1.5,-1,1
4205.14,0.0519775,0.003796613,1.5,-1,1
4458.84,0.03953232,0.0228334,1.5,-1,1
4570.192,0.04789046,0.01112752,1.5,-1,1
4586.986,0.05064941,0.008902295,1.5,-1,1
4893.656,0.05697982,0.02146298,1.5,-1,1
5133.552,0.05043452,0.001844856,1.5,-1,1
5185.585,0.05338686,0.01473462,1.5,-1,1
5198.889,0.0515103,0.002183262,1.5,-1,1
5520.71,0.05508547,0.0270635,1.5,-1,1
5699.454,0.05142637,0.00209945,1.5,-1,1
5809.39,0.05059901,0.001944577,1.5,-1,1
