energy,Pu242 + photon [inclusive] width,n + Pu241 width,J,Pi,L
-59.53,0.0445,0.5960999,2,1,0
1.7253,0.03466,2.074e-06,2,1,0
4.58016,0.03343,0.0004874,2,1,0
5.81873,0.03466,0.002801,2,1,0
9.62024,0.03466,0.0006324,2,1,0
9.91194,0.03466,0.001895,2,1,0
12.7988,0.03466,0.000892,2,1,0
14.7487,0.03466,0.007844,2,1,0
15.9973,0.03466,0.001854,2,1,0
23.679,0.03466,0.0005651,2,1,0
24.529,0.03466,0.000202,2,1,0
26.4253,0.0433,0.005525,2,1,0
27.437,0.03466,0.0002068,2,1,0
28.864,0.03466,0.005757,2,1,0
29.552,0.03466,0.000639,2,1,0
35.0,0.03466,0.002816,2,1,0
37.793,0.03466,0.0007982,2,1,0
40.866,0.03466,0.002197,2,1,0
48.105,0.03466,0.007328,2,1,0
52.343,0.03466,5.328e-05,2,1,0
57.95,0.03466,0.000216,2,1,0
58.137,0.03466,0.001202,2,1,0
59.485,0.03466,0.002234,2,1,0
60.736,0.03466,0.001586,2,1,0
62.319,0.03466,0.007347,2,1,0
72.168,0.03466,0.002627,2,1,0
76.67,0.03466,0.003256,2,1,0
81.078,0.03466,0.0001181,2,1,0
81.53399,0.03466,0.01274,2,1,0
83.205,0.03466,0.005419,2,1,0
83.38201,0.03466,0.0001121,2,1,0
88.028,0.03466,0.002503,2,1,0
89.236,0.03466,0.003471,2,1,0
91.46,0.03466,0.000159,2,1,0
91.6,0.03466,8e-05,2,1,0
95.422,0.03466,0.0008667,2,1,0
96.6,0.03466,0.0004671,2,1,0
100.79,0.03466,0.001552,2,1,0
102.46,0.03466,0.003065,2,1,0
109.84,0.03466,0.0004415,2,1,0
113.18,0.03466,0.0008818,2,1,0
117.21,0.03466,0.004916,2,1,0
121.43,0.03466,6.175e-05,2,1,0
122.25,0.03466,0.001649,2,1,0
123.37,0.03466,0.003587,2,1,0
123.91,0.03466,0.001878,2,1,0
128.06,0.03466,0.002464,2,1,0
128.53,0.03466,0.005488,2,1,0
130.75,0.03466,0.009995001,2,1,0
133.68,0.03466,0.005798,2,1,0
136.6,0.03466,0.001396,2,1,0
140.22,0.03466,0.006953,2,1,0
142.15,0.03466,0.01627,2,1,0
146.13,0.03466,0.00683,2,1,0
148.92,0.03466,0.002418,2,1,0
150.1,0.03466,0.00678,2,1,0
151.02,0.03466,0.00437,2,1,0
155.47,0.03466,0.002332,2,1,0
157.33,0.03466,0.0004735,2,1,0
158.96,0.03466,0.006096,2,1,0
159.49,0.03466,0.001472,2,1,0
162.76,0.03466,0.002651,2,1,0
165.58,0.03466,0.0008241,2,1,0
167.84,0.03466,0.0004739,2,1,0
168.66,0.03466,0.003472,2,1,0
175.69,0.03466,0.01724,2,1,0
178.79,0.03466,0.001192,2,1,0
179.97,0.03466,0.00113,2,1,0
183.4,0.03466,0.004365,2,1,0
187.29,0.03466,0.0009222,2,1,0
190.27,0.03466,0.01131,2,1,0
192.85,0.03466,0.01076,2,1,0
197.49,0.03466,0.008691,2,1,0
199.34,0.03466,0.0172,2,1,0
202.69,0.03466,0.02693,2,1,0
209.46,0.03466,0.006542,2,1,0
211.89,0.03466,0.008026,2,1,0
217.42,0.03466,0.02244,2,1,0
219.13,0.03466,0.003952,2,1,0
219.6,0.03466,0.006296,2,1,0
221.87,0.03466,0.003594,2,1,0
224.44,0.03466,0.003431,2,1,0
227.15,0.03466,8.225e-05,2,1,0
228.01,0.03466,0.01294,2,1,0
229.76,0.03466,0.006808,2,1,0
231.6,0.03466,0.01083,2,1,0
235.94,0.03466,0.003362,2,1,0
238.34,0.03466,0.002467,2,1,0
240.96,0.03466,0.007072,2,1,0
243.81,0.03466,0.007924,2,1,0
246.74,0.03466,0.001078,2,1,0
249.57,0.03466,0.005581,2,1,0
253.0,0.03466,0.0001987,2,1,0
256.55,0.03466,0.002379,2,1,0
259.78,0.03466,0.006061,2,1,0
263.55,0.03466,0.0005531,2,1,0
264.05,0.03466,0.0003298,2,1,0
268.14,0.03466,0.002842,2,1,0
270.11,0.03466,0.01092,2,1,0
275.79,0.03466,0.002937,2,1,0
278.37,0.03466,0.007262,2,1,0
284.22,0.03466,0.01221,2,1,0
287.18,0.03466,0.004039,2,1,0
290.2,0.03466,0.009247001,2,1,0
296.88,0.03466,0.004925,2,1,0
298.23,0.03466,0.001061,2,1,0
299.32,0.03466,0.007235,2,1,0
301.75,0.03466,0.01853,2,1,0
400.0,0.03466,0.4397,2,1,0
-5.58,0.03644,0.002289,3,1,0
-1.405,0.01925,1.513e-06,3,1,0
-0.11008,0.02228,2.415e-05,3,1,0
0.262799,0.03601,4.581e-05,3,1,0
4.28,0.0342,0.0006143,3,1,0
6.93709,0.03661,0.0006921,3,1,0
8.6118,0.03333,0.0008276,3,1,0
13.4245,0.03283,0.00251,3,1,0
16.6733,0.02316,0.001066,3,1,0
17.8454,0.03694,0.002949,3,1,0
18.2596,0.03466,0.0001252,3,1,0
20.7082,0.03466,0.0003321,3,1,0
21.921,0.03466,9.969e-05,3,1,0
22.9873,0.03466,0.0007667,3,1,0
24.1,0.03424,0.001098,3,1,0
31.019,0.03466,0.002139,3,1,0
33.375,0.03466,0.0001918,3,1,0
33.803,0.03466,0.0003544,3,1,0
35.023,0.03466,0.000313,3,1,0
36.27,0.03466,8.237e-05,3,1,0
37.045,0.03466,2.952e-05,3,1,0
38.196,0.03466,0.0002352,3,1,0
39.411,0.03466,0.001317,3,1,0
39.907,0.03466,0.001419,3,1,0
42.813,0.03466,0.0003142,3,1,0
43.466,0.03466,0.0002446,3,1,0
46.563,0.03466,0.001245,3,1,0
47.348,0.03466,0.0001205,3,1,0
50.41,0.03466,0.0005581,3,1,0
54.27,0.03466,3e-05,3,1,0
55.9,0.03466,3.549e-05,3,1,0
57.23,0.03466,3.2e-05,3,1,0
60.537,0.03466,0.002963,3,1,0
64.43,0.03466,8.571e-05,3,1,0
65.719,0.03466,0.004506,3,1,0
66.608,0.03466,0.002592,3,1,0
68.274,0.03466,0.001133,3,1,0
69.241,0.03466,0.000892,3,1,0
69.803,0.03466,0.0001148,3,1,0
73.937,0.03466,0.000449,3,1,0
75.855,0.03466,0.004012,3,1,0
77.112,0.03466,0.003046,3,1,0
