energy,Dy161 + photon [inclusive] width,n + Dy160 width,J,Pi,L
-601.8124,0.1030893,9.545256,0.5,1,0
-51.98747,0.09953539,0.3261912,0.5,1,0
-14.30175,0.08856021,0.009051268,0.5,1,0
1.807561,0.1025531,0.0001869618,0.5,1,0
10.44202,0.06468002,0.02118284,0.5,1,0
20.41273,0.07666564,0.04277731,0.5,1,0
34.92342,0.1057375,0.001211326,0.5,1,0
73.14351,0.1057706,0.007042593,0.5,1,0
85.63345,0.0974434,0.1006621,0.5,1,0
115.5734,0.1058021,0.002042596,0.5,1,0
136.4542,0.09591047,0.0266468,0.5,1,0
155.7083,0.1034906,0.07926208,0.5,1,0
178.2808,0.1201141,0.03004616,0.5,1,0
202.2017,0.1056318,0.03178228,0.5,1,0
246.3273,0.1058053,0.008776515,0.5,1,0
271.9806,0.1057997,0.004356472,0.5,1,0
320.8443,0.1058049,0.01304098,0.5,1,0
341.2202,0.1059604,0.3907224,0.5,1,0
379.4751,0.104064,0.2935064,0.5,1,0
394.446,0.1057918,0.06003546,0.5,1,0
398.7371,0.1029589,0.206299,0.5,1,0
429.693,0.1091167,0.1127865,0.5,1,0
522.5569,0.1056042,0.1337509,0.5,1,0
577.2397,0.1000973,0.0360894,0.5,1,0
591.0122,0.105801,0.00852213,0.5,1,0
625.7669,0.1058006,0.00803462,0.5,1,0
653.5175,0.1057998,0.00563304,0.5,1,0
679.3814,0.1070539,0.7410739,0.5,1,0
704.0336,0.1092334,0.9129925,0.5,1,0
729.4384,0.1205252,0.1137032,0.5,1,0
737.2087,0.1084976,1.276023,0.5,1,0
817.5843,0.1058399,0.03210622,0.5,1,0
844.8794,0.1062224,0.1105639,0.5,1,0
868.9198,0.1070042,0.1573027,0.5,1,0
889.0758,0.1058003,0.01792735,0.5,1,0
972.2005,0.1058001,0.006913944,0.5,1,0
988.7365,0.1062491,0.08850054,0.5,1,0
1053.601,0.1058003,0.01299991,0.5,1,0
1086.312,0.1058084,0.6911729,0.5,1,0
1103.366,0.1058005,0.02490436,0.5,1,0
1133.991,0.1058047,0.1650265,0.5,1,0
1139.208,0.1057998,0.008100347,0.5,1,0
1161.497,0.1058003,0.02199845,0.5,1,0
1201.475,0.1057997,0.0310044,0.5,1,0
1244.516,0.1057999,0.04501211,0.5,1,0
1279.568,0.1058002,0.01700216,0.5,1,0
1313.753,0.1058133,0.280538,0.5,1,0
1367.317,0.1058003,0.01799925,0.5,1,0
1401.97,0.1058034,0.1350646,0.5,1,0
1412.064,0.1058075,0.1089815,0.5,1,0
1437.673,0.1058116,0.1779733,0.5,1,0
1495.467,0.1058065,0.2001389,0.5,1,0
1542.079,0.1058078,0.1299554,0.5,1,0
1592.631,0.1058251,0.3787995,0.5,1,0
1625.259,0.1058001,0.01300002,0.5,1,0
1648.761,0.105821,0.3085037,0.5,1,0
1710.658,0.1058156,0.3094547,0.5,1,0
1721.509,0.1058137,0.2596438,0.5,1,0
1746.396,0.1058005,0.04200682,0.5,1,0
1763.518,0.1058003,0.02599978,0.5,1,0
1785.653,0.1058009,0.05499599,0.5,1,0
1829.586,0.1058058,0.1498658,0.5,1,0
1862.719,0.1058365,1.295738,0.5,1,0
1874.759,0.1058051,0.159907,0.5,1,0
1899.775,0.1058093,0.2796345,0.5,1,0
1938.419,0.1058225,0.6180524,0.5,1,0
1944.423,0.1058086,0.2398297,0.5,1,0
1994.681,0.1058058,0.249863,0.5,1,0
2022.987,0.109956,0.6626186,0.5,1,0
2586.073,0.1091514,22.79548,0.5,1,0
