energy,Cd113 + photon [inclusive] width,n + Cd112 width,J,Pi,L
-12.16363,0.076,0.003439,0.5,1,0
66.78,0.0628,0.008476,0.5,1,0
226.509,0.0559,0.02057,0.5,1,0
443.1,0.0616,0.06131,0.5,1,0
737.738,0.0674,0.3538,0.5,1,0
909.22,0.0687,0.277,0.5,1,0
1116.124,0.06062,0.657,0.5,1,0
1423.831,0.052,0.6791,0.5,1,0
1707.056,0.0775,0.2891,0.5,1,0
2036.695,0.0775,1.492,0.5,1,0
2338.035,0.0775,0.6792,0.5,1,0
2574.84,0.0775,1.525,0.5,1,0
2686.289,0.0552,1.606,0.5,1,0
2952.808,0.08594,0.2282,0.5,1,0
3105.175,0.08647,0.4902,0.5,1,0
3308.365,0.08131,0.1553,0.5,1,0
4561.319,0.08348,1.588,0.5,1,0
4909.674,0.08475,0.9102,0.5,1,0
5578.37,0.07906,0.8566,0.5,1,0
5688.519,0.083,0.9808,0.5,1,0
5953.435,0.0707,0.6173,0.5,1,0
6090.296,0.07146,1.506,0.5,1,0
6361.917,0.06838,0.5186,0.5,1,0
6579.914,0.08439,2.431,0.5,1,0
6980.59,0.08497,2.918,0.5,1,0
7170.775,0.0775,0.3979,0.5,1,0
8011.047,0.0775,0.4385,0.5,1,0
8032.757,0.0775,0.4839,0.5,1,0
8251.954,0.0775,1.635,0.5,1,0
8380.711,0.0775,0.7322,0.5,1,0
8523.174,0.0775,0.5446,0.5,1,0
8540.481,0.0775,0.7576,0.5,1,0
9163.555,0.0775,1.009,0.5,1,0
9229.987,0.0775,0.5475,0.5,1,0
9574.34,0.0775,1.076,0.5,1,0
10047.45,0.0775,0.6314,0.5,1,0
10266.55,0.0775,0.9421,0.5,1,0
10682.73,0.0775,3.307,0.5,1,0
10903.83,0.0775,2.506,0.5,1,0
11157.94,0.0775,0.8554,0.5,1,0
11285.0,0.0775,0.7966,0.5,1,0
11460.07,0.0775,2.141,0.5,1,0
1052.936,0.0905,0.008653,0.5,-1,1
1640.327,0.0905,0.0221,0.5,-1,1
2818.748,0.0905,0.09929,0.5,-1,1
3226.129,0.0905,0.0471,0.5,-1,1
3291.257,0.03922,0.04589,0.5,-1,1
3493.447,0.08556,0.2418,0.5,-1,1
3711.744,0.07068,0.0469,0.5,-1,1
4154.54,0.03862,0.03415,0.5,-1,1
4201.861,0.08299,0.0998,0.5,-1,1
4265.188,0.0905,0.04571,0.5,-1,1
4800.426,0.09963,0.1247,0.5,-1,1
4856.451,0.09911,0.09057,0.5,-1,1
5238.92,0.09477,0.1592,0.5,-1,1
82.466,0.0905,4.089e-05,1.5,-1,1
83.315,0.0905,0.000187,1.5,-1,1
452.783,0.0905,0.001703,1.5,-1,1
565.944,0.0905,0.001214,1.5,-1,1
810.9691,0.0905,0.001566,1.5,-1,1
884.841,0.0905,0.005901,1.5,-1,1
895.029,0.0905,0.002868,1.5,-1,1
1101.988,0.0905,0.002987,1.5,-1,1
1208.097,0.0905,0.009422,1.5,-1,1
1337.892,0.0905,0.01792,1.5,-1,1
1815.204,0.0905,0.009584,1.5,-1,1
1943.36,0.0905,0.02292,1.5,-1,1
2227.186,0.0905,0.02558,1.5,-1,1
2457.688,0.0905,0.008426,1.5,-1,1
2696.691,0.0905,0.0107,1.5,-1,1
2814.646,0.0905,0.00955,1.5,-1,1
2943.755,0.0905,0.02035,1.5,-1,1
3007.132,0.0905,0.01042,1.5,-1,1
3139.805,0.0905,0.005899,1.5,-1,1
3155.997,0.06451,0.05335,1.5,-1,1
3243.832,0.0905,0.002589,1.5,-1,1
3321.971,0.074,0.06914,1.5,-1,1
3713.952,0.0905,0.03487,1.5,-1,1
3778.273,0.1237,0.1106,1.5,-1,1
3863.611,0.06207,0.02765,1.5,-1,1
3887.421,0.0905,0.03428,1.5,-1,1
3908.002,0.0905,0.01133,1.5,-1,1
4090.049,0.0905,0.005331,1.5,-1,1
4108.719,0.07928,0.1057,1.5,-1,1
4181.072,0.0905,0.01133,1.5,-1,1
4394.646,0.06566,0.0464,1.5,-1,1
4478.148,0.0905,0.02188,1.5,-1,1
4488.688,0.0905,0.04689,1.5,-1,1
4520.159,0.0905,0.003667,1.5,-1,1
4572.172,0.0905,0.03683,1.5,-1,1
4919.261,0.0905,0.0196,1.5,-1,1
5003.315,0.108,0.1202,1.5,-1,1
5118.312,0.0905,0.01741,1.5,-1,1
5138.775,0.1257,0.1039,1.5,-1,1
5288.142,0.0905,0.04726,1.5,-1,1
5434.393,0.0905,0.003125,1.5,-1,1
5554.66,0.07274,0.04471,1.5,-1,1
5588.433,0.0905,0.01813,1.5,-1,1
5674.455,0.0905,0.005331,1.5,-1,1
5736.94,0.05644,0.04544,1.5,-1,1
5751.475,0.0905,0.02266,1.5,-1,1
6115.108,0.08524,0.07818,1.5,-1,1
6219.594,0.0905,0.02759,1.5,-1,1
6436.25,0.08836,0.1043,1.5,-1,1
6531.992,0.1315,0.1616,1.5,-1,1
6619.697,0.0905,0.04765,1.5,-1,1
6809.746,0.0905,0.02759,1.5,-1,1
6877.545,0.0905,0.07048,1.5,-1,1
6923.065,0.09726,0.1955,1.5,-1,1
6940.373,0.06805,0.1083,1.5,-1,1
7643.384,0.0905,0.08304,1.5,-1,1
8669.339,0.0905,0.1769,1.5,-1,1
9045.905,0.0905,0.1997,1.5,-1,1
9743.214,0.0905,0.1826,1.5,-1,1
10468.64,0.0905,0.1944,1.5,-1,1
10586.69,0.0905,0.3035,1.5,-1,1
11022.88,0.0905,0.2572,1.5,-1,1
11327.02,0.0905,0.266,1.5,-1,1
