energy,Fe59 + photon [inclusive] width,n + Fe58 width,J,Pi,L
-552450.0,0.2446,6986.0,0.5,1,0
-524307.5,0.2446,6805.7,0.5,1,0
-496165.0,0.2446,6620.5,0.5,1,0
-468022.5,0.2446,6430.0,0.5,1,0
-439880.0,0.2446,6233.7,0.5,1,0
-411737.5,0.2446,6031.0,0.5,1,0
-383595.0,0.2446,5821.2,0.5,1,0
-355452.5,0.2446,5603.6,0.5,1,0
-327310.0,0.2446,5377.2,0.5,1,0
-299167.5,0.2446,5140.9,0.5,1,0
-296610.0,0.2446,5582.0,0.5,1,0
-265909.0,0.2446,5286.0,0.5,1,0
-235208.0,0.2446,4971.0,0.5,1,0
-204507.0,0.2446,4635.0,0.5,1,0
-173806.0,0.2446,4273.0,0.5,1,0
-143105.0,0.2446,3877.0,0.5,1,0
-112404.0,0.2446,3436.0,0.5,1,0
-81703.0,0.2446,2930.0,0.5,1,0
-56180.0,0.2446,3529.0,0.5,1,0
-30660.0,0.2446,1793.0,0.5,1,0
-3612.8,0.74169,271.55,0.5,1,0
10426.21,0.89276,341.22,0.5,1,0
37665.85,0.23833,47.5,0.5,1,0
43818.0,1.198,5553.4,0.5,1,0
67056.94,0.35444,918.84,0.5,1,0
93642.29,1.0293,9266.3,0.5,1,0
121186.2,1.0742,2268.2,0.5,1,0
160244.7,0.2446,1.3326,0.5,1,0
178828.5,0.8821,2243.6,0.5,1,0
239987.5,0.2446,10402.0,0.5,1,0
265800.0,0.2446,500.0,0.5,1,0
310193.7,0.2446,2955.1,0.5,1,0
320294.1,0.2446,1356.6,0.5,1,0
348105.0,0.2446,2000.0,0.5,1,0
230.0379,0.14567,0.0020424,0.5,-1,1
1152.733,0.2446,0.0021273,0.5,-1,1
6189.454,0.2446,0.022474,0.5,-1,1
6201.009,0.2446,0.056082,0.5,-1,1
17946.85,0.2446,0.011518,0.5,-1,1
26083.59,0.21141,8.0005,0.5,-1,1
29221.99,0.2446,0.014911,0.5,-1,1
54530.38,0.34913,52.055,0.5,-1,1
79337.44,0.14723,24.094,0.5,-1,1
87653.28,0.30786,5.0,0.5,-1,1
92187.62,0.19848,2.4138,0.5,-1,1
109320.5,0.3423,41.08,0.5,-1,1
113979.9,0.2446,1.0446,0.5,-1,1
123463.3,0.32568,48.23,0.5,-1,1
131259.8,1.8062,40.139,0.5,-1,1
141145.3,0.2446,0.96163,0.5,-1,1
152441.4,0.697,8.6766,0.5,-1,1
206900.0,0.2446,150.0,0.5,-1,1
228640.0,0.2446,100.0,0.5,-1,1
255560.0,0.2446,50.0,0.5,-1,1
264995.8,0.2446,7463.5,0.5,-1,1
277400.0,0.2446,80.0,0.5,-1,1
289380.0,0.2446,65.0,0.5,-1,1
333800.0,0.2446,400.0,0.5,-1,1
344920.0,0.2446,150.0,0.5,-1,1
358.9448,0.29895,0.006898,1.5,-1,1
6206.012,0.2446,0.039445,1.5,-1,1
17827.29,0.2446,0.0025258,1.5,-1,1
19325.13,0.16957,0.21213,1.5,-1,1
34670.54,0.20169,0.31015,1.5,-1,1
36554.48,0.2446,0.053651,1.5,-1,1
38245.67,0.2446,0.088524,1.5,-1,1
39210.55,0.2446,0.03162,1.5,-1,1
41811.4,0.30487,0.97388,1.5,-1,1
61712.16,0.20548,26.88,1.5,-1,1
73387.34,0.63595,0.8704,1.5,-1,1
85744.55,0.2446,1.358,1.5,-1,1
95866.08,0.2446,2.1875,1.5,-1,1
97505.85,0.2446,1.5289,1.5,-1,1
111295.2,0.36057,1.0,1.5,-1,1
130109.0,0.33557,55.73,1.5,-1,1
135692.6,0.3564,1.8924,1.5,-1,1
139066.3,0.2446,3.0916,1.5,-1,1
144040.6,0.18273,19.292,1.5,-1,1
151441.9,0.2446,47.766,1.5,-1,1
152016.5,0.59794,168.19,1.5,-1,1
171520.4,0.2446,3.4881,1.5,-1,1
177552.2,0.2446,1.4846,1.5,-1,1
191094.8,0.2446,1.4846,1.5,-1,1
206030.0,0.2446,47.5,1.5,-1,1
210200.0,0.2446,50.0,1.5,-1,1
221730.0,0.2446,50.0,1.5,-1,1
239790.0,0.2446,150.0,1.5,-1,1
243000.0,0.2446,40.0,1.5,-1,1
271060.0,0.2446,42.5,1.5,-1,1
275600.0,0.2446,70.0,1.5,-1,1
282130.0,0.2446,160.0,1.5,-1,1
311900.0,0.2446,185.0,1.5,-1,1
318600.0,0.2446,150.0,1.5,-1,1
339750.0,0.2446,200.0,1.5,-1,1
342230.0,0.2446,150.0,1.5,-1,1
53339.15,0.2446,0.059945,1.5,1,2
76618.68,0.2446,0.070955,1.5,1,2
152535.0,0.279277,46.6182,1.5,1,2
160639.0,0.280248,11.4385,1.5,1,2
166310.0,0.280929,53.0829,1.5,1,2
174968.0,0.281971,11.443,1.5,1,2
181034.0,0.282703,2.13599,1.5,1,2
195473.0,0.284449,158.875,1.5,1,2
205670.0,0.285687,56.1465,1.5,1,2
213471.0,0.286636,2.22633,1.5,1,2
223472.0,0.287856,59.2163,1.5,1,2
231138.0,0.288793,0.0539671,1.5,1,2
235651.0,0.289346,41.7883,1.5,1,2
240611.0,0.289955,0.0395647,1.5,1,2
254477.0,0.29166,23.744,1.5,1,2
271977.0,0.293822,18.3891,1.5,1,2
