energy,Si29 + photon [inclusive] width,n + Si28 width,J,Pi,L
-4635300.0,1.969317,5437300.0,0.5,1,0
-28801.0,3.448757,244.96,0.5,1,0
55735.19,0.16978,661.29,0.5,1,0
182544.6,4.4052,35015.0,0.5,1,0
590296.3,0.31735,539.86,0.5,1,0
1085169.0,1.634,86.952,0.5,1,0
1162680.0,1.292,2851.2,0.5,1,0
1201347.0,1.634,3480.1,0.5,1,0
1257159.0,1.634,17191.0,0.5,1,0
2458765.0,3.6,369590.0,0.5,1,0
602439.4,4.2285,131.07,0.5,-1,1
961896.4,5.44,79155.0,0.5,-1,1
1200464.0,2.585,15327.0,0.5,-1,1
1482395.0,1.409,0.88611,0.5,-1,1
1598496.0,1.409,6624.8,0.5,-1,1
1658563.0,1.409,1538.1,0.5,-1,1
16762.22,1.409,0.00033829,1.5,-1,1
86993.94,0.196,0.81479,1.5,-1,1
147681.4,0.43528,0.040145,1.5,-1,1
399621.0,0.77101,0.93604,1.5,-1,1
565666.2,1.4512,10894.0,1.5,-1,1
714043.4,1.409,1.2422,1.5,-1,1
812482.2,3.29,29673.0,1.5,-1,1
910047.8,0.384,3546.8,1.5,-1,1
1408396.0,0.918,5286.0,1.5,-1,1
1805653.0,1.409,1179.7,1.5,-1,1
1915435.0,2.5,142670.0,1.5,-1,1
354648.4,0.15356,22.919,1.5,1,2
587164.0,0.87159,247.82,1.5,1,2
845238.6,0.68,437.93,1.5,1,2
1479982.0,0.436,3747.9,1.5,1,2
1528795.0,0.436,2908.2,1.5,1,2
1580748.0,0.436,1161.0,1.5,1,2
1595440.0,0.436,6194.0,1.5,1,2
1664961.0,0.436,280.69,1.5,1,2
1784855.0,0.436,130.72,1.5,1,2
31751.42,0.30798,0.013185,2.5,1,2
70840.84,0.54946,0.011067,2.5,1,2
298800.4,0.39764,1.4382,2.5,1,2
354494.8,0.259,8.5006,2.5,1,2
532664.0,0.50464,547.29,2.5,1,2
771711.9,0.436,69.368,2.5,1,2
872300.7,0.442,46.383,2.5,1,2
1017783.0,0.436,97.98,2.5,1,2
1042876.0,0.357,987.16,2.5,1,2
1264471.0,0.731,934.67,2.5,1,2
1380077.0,0.436,62.749,2.5,1,2
1587500.0,0.436,74.819,2.5,1,2
1639882.0,0.436,15097.0,2.5,1,2
1651183.0,0.436,22836.0,2.5,1,2
1909667.0,1.0,62149.0,2.5,1,2
67789.72,0.17734,1.4264,2.5,-1,3
67746.03,0.57091,0.26533,3.5,-1,3
1149004.0,0.383,15.733,3.5,-1,3
1512193.0,0.383,97.691,3.5,-1,3
