energy,Ta182 + photon [inclusive] width,n + Ta181 width,J,Pi,L
1180.448,0.06788834,0.02957673,3,1,0
1192.395,0.06802027,0.7792518,3,1,0
1194.242,0.06798953,0.006855528,3,1,0
1209.16,0.06805159,0.02726405,3,1,0
1212.57,0.06828468,0.02548441,3,1,0
1227.541,0.06883048,0.1103137,3,1,0
1233.404,0.06800598,0.00815623,3,1,0
1246.946,0.06762533,0.07229414,3,1,0
1252.121,0.06799807,0.001938399,3,1,0
1259.992,0.06775584,0.09062111,3,1,0
1272.356,0.06800011,0.0009392329,3,1,0
1292.098,0.06823725,0.02044942,3,1,0
1293.982,0.06739456,0.09037472,3,1,0
1307.864,0.06792537,0.01359148,3,1,0
1313.549,0.06815845,0.08989576,3,1,0
1317.901,0.06752056,0.08500935,3,1,0
1328.552,0.06809504,0.02184425,3,1,0
1329.643,0.06869683,0.1729861,3,1,0
1332.932,0.06820939,0.1999864,3,1,0
1363.178,0.06799472,0.002839853,3,1,0
1378.861,0.06792181,0.01939235,3,1,0
1388.895,0.06854402,0.04788351,3,1,0
1392.206,0.06754168,0.1677766,3,1,0
1410.216,0.0680424,0.0171959,3,1,0
1416.782,0.06800086,0.001832832,3,1,0
1427.399,0.06806774,0.01814898,3,1,0
1431.725,0.06875198,0.1333049,3,1,0
1438.088,0.06800107,0.001857247,3,1,0
1441.328,0.06800551,0.005351685,3,1,0
1456.099,0.06797905,0.01877752,3,1,0
1464.194,0.06800192,0.002707892,3,1,0
1473.961,0.06800025,0.001720638,3,1,0
1487.795,0.06799862,0.004272142,3,1,0
1502.611,0.06868606,0.06447419,3,1,0
1503.163,0.06799943,0.0008025781,3,1,0
1504.747,0.06800134,0.001684573,3,1,0
1518.463,0.06847458,0.1585577,3,1,0
1525.549,0.06778571,0.02190147,3,1,0
1541.668,0.06808868,0.01706684,3,1,0
1556.655,0.0663705,0.2050166,3,1,0
1571.672,0.06799356,0.004466444,3,1,0
1592.02,0.06807199,0.04248247,3,1,0
1603.631,0.06604835,0.1453529,3,1,0
1609.286,0.0679786,0.004602108,3,1,0
1617.918,0.0679901,0.004310795,3,1,0
1631.178,0.06798686,0.006836445,3,1,0
1637.803,0.06801794,0.01692082,3,1,0
1650.805,0.06798192,0.0151677,3,1,0
1655.8,0.06787583,0.09803535,3,1,0
1671.474,0.06809279,0.08309573,3,1,0
1674.378,0.06865718,0.08721649,3,1,0
1684.523,0.06799996,0.0001042047,3,1,0
