energy,U236 + photon [inclusive] width,n + U235 width,J,Pi,L
-516.389,0.03780302,0.05356201,3,1,0
-73.73916,0.05373026,0.5360278,3,1,0
-3.503462,0.03768768,7.959338e-08,3,1,0
-1.526493,0.03713404,7.368854e-08,3,1,0
-0.5686858,0.02652107,0.0001625698,3,1,0
0.2701355,0.04335792,4.285355e-06,3,1,0
2.031939,0.04316306,8.896156e-06,3,1,0
3.137698,0.03721063,2.618241e-05,3,1,0
3.626187,0.03761871,4.55681e-07,3,1,0
6.172432,0.03663349,6.453977e-05,3,1,0
6.869472,0.03289045,8.451538e-09,3,1,0
7.580538,0.07674409,3.117637e-06,3,1,0
8.809649,0.07768017,0.0001886726,3,1,0
9.751293,0.05028083,3.582387e-05,3,1,0
10.70715,0.02408749,4.128079e-06,3,1,0
12.37832,0.0399032,0.001429318,3,1,0
13.45001,0.04080473,3.326547e-05,3,1,0
13.91397,0.02636038,0.0005072466,3,1,0
14.10897,0.04147752,3.862609e-05,3,1,0
14.56281,0.04328485,9.566009e-05,3,1,0
15.19502,0.02598871,1.750438e-06,3,1,0
17.47818,0.04508827,1.546673e-06,3,1,0
18.02156,0.03545516,0.0004029975,3,1,0
18.53988,0.03218101,4.503572e-06,3,1,0
19.52026,0.04169473,3.398717e-05,3,1,0
20.18386,0.03562665,2.474422e-05,3,1,0
20.98443,0.03605401,2.549675e-06,3,1,0
23.57669,0.04919479,0.0009272318,3,1,0
24.22037,0.05146222,0.0003794999,3,1,0
25.57165,0.03758473,0.001338365,3,1,0
26.44292,0.01834126,0.000336713,3,1,0
27.14463,0.04703884,5.876273e-05,3,1,0
28.02626,0.03561302,2.939403e-06,3,1,0
28.36587,0.03602823,0.0002024188,3,1,0
29.18386,0.04167724,1.551322e-06,3,1,0
30.59152,0.03923481,0.0001875766,3,1,0
32.09336,0.03747228,0.0008239972,3,1,0
33.65003,0.03084202,6.447046e-05,3,1,0
34.53338,0.04020793,0.0004190067,3,1,0
34.87237,0.04963384,0.001837112,3,1,0
35.1716,0.04118957,0.003352778,3,1,0
39.12848,0.0528421,3.632936e-05,3,1,0
39.88492,0.0471005,0.000381504,3,1,0
41.53495,0.04065092,0.0005778859,3,1,0
41.86134,0.03931299,0.00143834,3,1,0
43.38195,0.03945648,0.0007270222,3,1,0
44.93354,0.04260341,0.0009453829,3,1,0
46.90004,0.03860636,9.648574e-05,3,1,0
48.31306,0.04185502,0.001129999,3,1,0
48.76992,0.04073969,0.0009033023,3,1,0
50.09404,0.03556405,0.0003096035,3,1,0
50.44373,0.03735615,0.001010469,3,1,0
51.1893,0.03964337,0.001328824,3,1,0
52.21844,0.03652883,0.003151862,3,1,0
53.41673,0.03824488,0.0005788216,3,1,0
54.95289,0.04043231,0.0006512934,3,1,0
56.03029,0.03173647,0.000909079,3,1,0
57.68204,0.04153488,0.000712605,3,1,0
58.07347,0.04335896,0.001712908,3,1,0
60.17371,0.04305812,0.001591933,3,1,0
61.07495,0.04082219,0.0004321344,3,1,0
61.78124,0.04032278,2.091147e-05,3,1,0
62.96895,0.04537462,3.120881e-06,3,1,0
63.64299,0.04364676,0.001454931,3,1,0
65.77522,0.03829956,0.0004167656,3,1,0
66.33054,0.03805098,8.449573e-05,3,1,0
68.59228,0.04221702,9.037257e-05,3,1,0
69.61218,0.04442507,4.126819e-05,3,1,0
70.24258,0.03750495,0.0004081812,3,1,0
70.4115,0.03650955,0.00156169,3,1,0
70.78191,0.03818113,0.002241987,3,1,0
72.92513,0.03893064,0.0002587009,3,1,0
74.49921,0.03972701,0.001368137,3,1,0
75.56029,0.05496589,0.001985513,3,1,0
76.68293,0.03916659,3.635549e-05,3,1,0
78.0839,0.0450541,0.001300779,3,1,0
80.37267,0.04178993,0.0009570397,3,1,0
81.41731,0.0420133,0.00121173,3,1,0
82.42603,0.04777052,0.00011553,3,1,0
83.85565,0.04663328,0.002271577,3,1,0
84.5754,0.03597157,0.0002479177,3,1,0
85.05312,0.04270447,0.002104466,3,1,0
86.79327,0.04364431,0.0005335934,3,1,0
87.58791,0.04481355,0.0006203181,3,1,0
88.69792,0.04216566,0.002933232,3,1,0
89.79647,0.03963634,0.0001206364,3,1,0
91.25251,0.0407998,0.003177518,3,1,0
92.35105,0.03874154,7.919602e-05,3,1,0
