energy,Kr87 + photon [inclusive] width,n + Kr86 width,J,Pi,L
710500.0,0.255,2195.0,1.5,-1,1
726000.0,0.255,3400.0,1.5,-1,1
732500.0,0.255,6550.0,1.5,-1,1
741000.0,0.255,1375.0,1.5,-1,1
748500.0,0.255,5875.0,1.5,-1,1
761200.0,0.255,7050.0,1.5,-1,1
775300.0,0.255,15400.0,1.5,-1,1
786000.0,0.255,5410.0,1.5,-1,1
802500.0,0.255,1700.0,1.5,-1,1
813200.0,0.255,952.5,1.5,-1,1
817600.0,0.255,672.5,1.5,-1,1
836400.0,0.255,9850.0,1.5,-1,1
842800.0,0.255,4705.0,1.5,-1,1
852500.0,0.255,762.5,1.5,-1,1
866800.0,0.255,1890.0,1.5,-1,1
871800.0,0.255,5705.0,1.5,-1,1
885100.0,0.255,2625.0,1.5,-1,1
887900.0,0.255,430.0,1.5,-1,1
891300.0,0.255,545.0,1.5,-1,1
903000.0,0.255,28550.0,1.5,-1,1
923700.0,0.255,1930.0,1.5,-1,1
934800.0,0.255,3980.0,1.5,-1,1
939900.0,0.255,3072.0,1.5,-1,1
88160.0,0.129,3.5,1.5,1,2
124830.0,0.395,2.5,1.5,1,2
267600.0,0.001,24.0,1.5,1,2
286800.0,0.001,17.5,1.5,1,2
309700.0,0.001,20.0,1.5,1,2
317100.0,0.001,92.5,1.5,1,2
365600.0,0.001,50.0,1.5,1,2
366800.0,0.001,52.5,1.5,1,2
393000.0,0.001,197.5,1.5,1,2
397600.0,0.001,82.5,1.5,1,2
415600.0,0.001,45.0,1.5,1,2
434500.0,0.001,70.0,1.5,1,2
441800.0,0.001,30.0,1.5,1,2
448600.0,0.001,280.0,1.5,1,2
466900.0,0.001,175.0,1.5,1,2
481800.0,0.001,25.0,1.5,1,2
498900.0,0.001,347.5,1.5,1,2
506500.0,0.001,42.5,1.5,1,2
526100.0,0.001,2660.0,1.5,1,2
546000.0,0.001,75.0,1.5,1,2
547900.0,0.001,170.0,1.5,1,2
593300.0,0.001,185.0,1.5,1,2
595200.0,0.001,382.5,1.5,1,2
619000.0,0.001,80.0,1.5,1,2
626100.0,0.001,252.5,1.5,1,2
680700.0,0.001,122.5,1.5,1,2
686300.0,0.001,120.0,1.5,1,2
694300.0,0.001,120.0,1.5,1,2
712800.0,0.001,160.0,1.5,1,2
718800.0,0.001,182.5,1.5,1,2
730400.0,0.001,595.0,1.5,1,2
752500.0,0.001,240.0,1.5,1,2
787200.0,0.001,162.5,1.5,1,2
829800.0,0.001,117.5,1.5,1,2
832000.0,0.001,130.0,1.5,1,2
843000.0,0.001,1895.0,1.5,1,2
852800.0,0.001,92.5,1.5,1,2
868500.0,0.001,130.0,1.5,1,2
877800.0,0.001,107.5,1.5,1,2
880300.0,0.001,100.0,1.5,1,2
902500.0,0.001,220.0,1.5,1,2
908600.0,0.001,112.5,1.5,1,2
913600.0,0.001,260.0,1.5,1,2
914900.0,0.001,630.0,1.5,1,2
924600.0,0.001,295.5,1.5,1,2
934200.0,0.001,253.5,1.5,1,2
938900.0,0.001,476.0,1.5,1,2
941000.0,0.001,199.0,1.5,1,2
946500.0,0.001,258.5,1.5,1,2
532200.0,0.001,46.66667,2.5,1,2
533200.0,0.001,131.6667,2.5,1,2
648000.0,0.001,53.33333,2.5,1,2
726400.0,0.001,123.3333,2.5,1,2
736200.0,0.001,50.0,2.5,1,2
875000.0,0.001,663.3333,2.5,1,2
898000.0,0.001,681.6667,2.5,1,2
905300.0,0.001,208.3333,2.5,1,2
918800.0,0.001,225.0,2.5,1,2
932300.0,0.001,184.6667,2.5,1,2
