energy,Pu241 + photon [inclusive] width,n + Pu240 width,J,Pi,L
-4070.7,0.0318,35.51,0.5,1,0
-1304.8,0.0318,3.522,0.5,1,0
-305.1,0.0318,0.2142,0.5,1,0
-70.055,0.0318,0.3091,0.5,1,0
-7.5,0.0391,0.001306,0.5,1,0
1.05708,0.02909,0.002573,0.5,1,0
20.429,0.02409,0.00273,0.5,1,0
38.304,0.02701,0.01816,0.5,1,0
41.692,0.02768,0.01588,0.5,1,0
66.628,0.03338,0.05234,0.5,1,0
72.794,0.02629,0.02087,0.5,1,0
90.783,0.03123,0.01279,0.5,1,0
92.494,0.02835,0.003047,0.5,1,0
105.01,0.02969,0.04414,0.5,1,0
121.63,0.03356,0.01417,0.5,1,0
125.7,0.0318,0.00012,0.5,1,0
130.78,0.03086,0.0001787,0.5,1,0
135.34,0.03289,0.01811,0.5,1,0
151.96,0.03746,0.01353,0.5,1,0
162.71,0.02911,0.008481,0.5,1,0
170.07,0.03104,0.01334,0.5,1,0
185.83,0.03096,0.01564,0.5,1,0
192.03,0.03065,0.0002851,0.5,1,0
195.55,0.0318,0.00016,0.5,1,0
197.41,0.0318,0.00016,0.5,1,0
199.71,0.0286,0.00097,0.5,1,0
239.11,0.02873,0.01203,0.5,1,0
260.33,0.03277,0.02233,0.5,1,0
286.97,0.03204,0.135,0.5,1,0
304.79,0.03387,0.007347,0.5,1,0
313.6,0.0318,0.00012,0.5,1,0
318.23,0.03218,0.00529,0.5,1,0
320.61,0.03488,0.01845,0.5,1,0
332.69,0.0318,0.00013,0.5,1,0
338.34,0.03139,0.006093,0.5,1,0
345.9,0.03392,0.0161,0.5,1,0
363.68,0.03883,0.03221,0.5,1,0
371.92,0.03037,0.01371,0.5,1,0
393.04,0.0318,0.00015,0.5,1,0
404.9,0.03241,0.1062,0.5,1,0
418.86,0.03091,0.006123,0.5,1,0
445.71,0.03137,0.001848,0.5,1,0
449.72,0.03218,0.0163,0.5,1,0
466.45,0.03291,0.002782,0.5,1,0
473.28,0.0307,0.004146,0.5,1,0
