energy,Ce143 + photon [inclusive] width,n + Ce142 width,J,Pi,L
-2189734.0,0.04375328,1820.293,0.5,1,0
-8629.356,0.0008180498,1318.606,0.5,1,0
-79.06954,0.0214353,0.3167599,0.5,1,0
1277.78,0.08428416,69.08642,0.5,1,0
2794.862,0.08392972,16.9904,0.5,1,0
3838.334,0.1174846,38.64482,0.5,1,0
4524.799,0.03831409,0.6164251,0.5,1,0
5621.952,0.04742965,1.290664,0.5,1,0
8404.316,0.07849508,21.35968,0.5,1,0
10923.26,0.02733239,1.402399,0.5,1,0
11182.08,0.04798517,10.61419,0.5,1,0
11323.1,0.04022858,1.967527,0.5,1,0
11975.13,0.08930395,3.771634,0.5,1,0
12782.27,0.07726721,34.01108,0.5,1,0
13977.6,0.06104062,2.146375,0.5,1,0
15240.0,0.1154275,99.14806,0.5,1,0
16641.41,0.03727114,3.11688,0.5,1,0
17827.83,0.03868412,3.95656,0.5,1,0
19401.51,0.03944848,1.609573,0.5,1,0
24737.43,0.08221491,70.82995,0.5,1,0
25407.13,0.3188298,401.7671,0.5,1,0
29324.12,0.07061497,39.38835,0.5,1,0
30891.96,0.09357262,32.51382,0.5,1,0
38193.85,0.1443166,118.5396,0.5,1,0
38870.49,0.06963531,14.91204,0.5,1,0
39700.46,0.03967535,35.25331,0.5,1,0
42749.52,0.09287259,41.9943,0.5,1,0
43408.6,0.7311402,377.6422,0.5,1,0
49301.21,0.2120971,92.78407,0.5,1,0
52860.07,0.3049744,149.2747,0.5,1,0
54939.07,0.3205939,175.5141,0.5,1,0
56070.71,0.09953135,24.81862,0.5,1,0
56753.5,0.3271458,48.64018,0.5,1,0
58473.08,0.1337291,12.02107,0.5,1,0
60665.15,0.1757873,111.6272,0.5,1,0
62875.05,0.1989903,179.9791,0.5,1,0
65974.1,0.2147255,18.21671,0.5,1,0
66859.61,0.1677871,24.75798,0.5,1,0
69806.2,0.1403331,133.9848,0.5,1,0
75982.58,0.5358239,706.1184,0.5,1,0
77003.81,0.1646448,79.37308,0.5,1,0
77858.31,0.1972473,77.91442,0.5,1,0
79168.72,0.2060727,42.66871,0.5,1,0
81030.85,0.7278877,256.8439,0.5,1,0
87341.74,0.1708494,30.33026,0.5,1,0
90238.3,0.527735,255.3263,0.5,1,0
90872.11,0.05536514,157.0289,0.5,1,0
93144.99,1.526541,721.7459,0.5,1,0
96348.34,0.04434207,4.299822,0.5,1,0
97189.93,0.03760968,139.8024,0.5,1,0
100376.8,0.03380397,293.4513,0.5,1,0
104545.5,0.03144041,597.8095,0.5,1,0
107354.1,0.03302778,286.145,0.5,1,0
110982.1,0.03544307,370.5222,0.5,1,0
113661.7,0.03215682,111.3494,0.5,1,0
124509.3,0.06346415,144.5415,0.5,1,0
128288.2,0.0931552,242.5336,0.5,1,0
130948.0,0.7000623,102.8396,0.5,1,0
133256.6,0.1890368,9.838642,0.5,1,0
140299.2,0.3536916,131.1467,0.5,1,0
145798.0,0.5726646,27.63977,0.5,1,0
156923.7,1.022849,126.4427,0.5,1,0
165903.9,0.5153235,53.24632,0.5,1,0
166906.8,0.7865515,35.85997,0.5,1,0
175281.5,2.855248,507.3101,0.5,1,0
181023.2,0.7061088,298.8636,0.5,1,0
241786.9,0.04331285,170.782,0.5,1,0
409872.2,0.04318115,574.4291,0.5,1,0
