energy,Cr55 + photon [inclusive] width,n + Cr54 width,J,Pi,L
-11600.0,1.732839,724.2724,0.5,1,0
23148.86,0.19,750.7058,0.5,1,0
119212.6,4.6,5378.762,0.5,1,0
131454.7,2.5,321.1399,0.5,1,0
176590.8,1.0,2084.955,0.5,1,0
284097.8,3.0,10515.76,0.5,1,0
329778.4,2.5,12133.01,0.5,1,0
352776.7,2.5,405.3895,0.5,1,0
486992.6,2.5,25562.49,0.5,1,0
553112.1,2.5,2399.19,0.5,1,0
602526.3,2.5,119917.6,0.5,1,0
664034.1,2.0,10237.84,0.5,1,0
731846.5,1.6,904.6989,0.5,1,0
742250.7,2.5,6197.231,0.5,1,0
755621.9,2.5,14279.56,0.5,1,0
808008.8,1.6,80.35296,0.5,1,0
819159.0,1.6,88388.5,0.5,1,0
849289.1,1.6,87.76238,0.5,1,0
853109.6,1.6,176.1602,0.5,1,0
1231302.0,0.68,3675.808,0.5,1,0
10269.32,0.9246432,0.1315059,0.5,-1,1
14445.07,0.2846097,6.574268,0.5,-1,1
14822.65,0.4604685,0.03868104,0.5,-1,1
19210.0,0.28,0.3356366,0.5,-1,1
54961.39,0.3,78.36427,0.5,-1,1
67426.41,0.58,8.377395,0.5,-1,1
76360.85,0.43,17.11775,0.5,-1,1
94687.27,0.46,94.37711,0.5,-1,1
95851.69,0.46,42.26376,0.5,-1,1
203845.9,0.68,84.34024,0.5,-1,1
274907.4,0.68,21.72667,0.5,-1,1
376983.9,0.68,73.90096,0.5,-1,1
397258.9,0.68,2805.198,0.5,-1,1
505580.4,0.68,525.5087,0.5,-1,1
666952.7,0.46,1852.381,0.5,-1,1
51144.95,0.16,0.2148204,1.5,-1,1
101350.9,0.68,18.95835,1.5,-1,1
129190.5,0.68,13.5356,1.5,-1,1
136003.9,0.68,81.56842,1.5,-1,1
164829.5,0.88,17.21434,1.5,-1,1
170425.0,0.88,106.8941,1.5,-1,1
183851.5,0.68,2.550792,1.5,-1,1
248868.6,1.2,274.3162,1.5,-1,1
267131.6,0.68,63.91242,1.5,-1,1
315030.9,0.68,83.682,1.5,-1,1
332543.8,0.68,63.42119,1.5,-1,1
456839.5,0.68,135.5531,1.5,-1,1
460554.5,0.68,196.6038,1.5,-1,1
498874.8,0.68,77.20551,1.5,-1,1
525683.2,0.68,98.52976,1.5,-1,1
568181.9,0.68,456.0015,1.5,-1,1
586691.6,0.68,285.0932,1.5,-1,1
613204.1,0.68,57.98865,1.5,-1,1
621121.4,0.68,17.19892,1.5,-1,1
625503.0,1.6,717.973,1.5,-1,1
651636.6,0.68,60.55413,1.5,-1,1
686597.9,0.46,249.2744,1.5,-1,1
705974.0,0.68,227.0809,1.5,-1,1
730958.5,0.68,1449.328,1.5,-1,1
734460.4,1.6,2828.488,1.5,-1,1
776875.8,0.68,418.5689,1.5,-1,1
786230.3,1.6,1592.328,1.5,-1,1
795004.9,1.6,2605.422,1.5,-1,1
812038.5,1.6,164.8846,1.5,-1,1
816421.6,1.6,1417.784,1.5,-1,1
156800.4,0.68,40.04479,1.5,1,2
210035.3,1.6,46.8656,1.5,1,2
276496.1,1.6,15.09883,1.5,1,2
305300.3,1.6,42.32895,1.5,1,2
385979.4,1.6,28.3598,1.5,1,2
420852.5,1.6,57.64212,1.5,1,2
490991.6,1.6,726.6394,1.5,1,2
572963.9,1.6,129.9861,1.5,1,2
577933.6,1.6,83.13085,1.5,1,2
603678.1,0.68,27.33917,1.5,1,2
615001.9,1.6,129.5475,1.5,1,2
623965.6,1.6,13.54876,1.5,1,2
669715.5,0.68,113.73,1.5,1,2
744613.6,1.6,174.192,1.5,1,2
761737.2,1.6,141.7825,1.5,1,2
772548.4,1.6,5.929204,1.5,1,2
824686.3,1.6,59.86485,1.5,1,2
842060.9,1.6,908.1202,1.5,1,2
190634.4,0.68,61.24003,2.5,1,2
225825.9,2.35,11.08407,2.5,1,2
249798.5,1.6,7.085255,2.5,1,2
250992.0,1.6,16.94733,2.5,1,2
296262.8,1.6,13.60024,2.5,1,2
321308.2,1.6,74.12468,2.5,1,2
333681.1,1.6,132.0847,2.5,1,2
358816.5,1.6,404.5461,2.5,1,2
380477.9,1.6,121.7778,2.5,1,2
387799.8,0.68,682.8666,2.5,1,2
398022.2,0.68,55.27096,2.5,1,2
426944.7,1.6,41.46006,2.5,1,2
431403.2,0.68,134.4876,2.5,1,2
436192.8,1.6,46.91818,2.5,1,2
442125.5,1.6,313.6101,2.5,1,2
454043.9,1.6,628.0347,2.5,1,2
457995.2,0.68,26.92915,2.5,1,2
471336.9,0.68,279.0613,2.5,1,2
477704.3,1.6,8.467146,2.5,1,2
487058.9,0.68,50.11176,2.5,1,2
531464.3,1.6,237.0562,2.5,1,2
538427.1,1.6,390.6921,2.5,1,2
552515.3,1.6,119.3064,2.5,1,2
630720.1,1.6,1058.487,2.5,1,2
632089.5,1.6,495.3977,2.5,1,2
649026.8,1.6,1561.93,2.5,1,2
690096.1,1.6,87.55954,2.5,1,2
708335.4,0.68,282.0437,2.5,1,2
736087.7,0.68,75.55833,2.5,1,2
750542.0,1.6,1114.585,2.5,1,2
755267.6,1.6,746.2828,2.5,1,2
779898.7,0.68,32.62743,2.5,1,2
803099.4,1.6,140.4654,2.5,1,2
813968.0,1.6,279.3034,2.5,1,2
838436.6,0.68,16.31403,2.5,1,2
