energy,Gd161 + photon [inclusive] width,n + Gd160 width,J,Pi,L
-326.0,0.088,6.374,0.5,1,0
222.0,0.12,0.05,0.5,1,0
447.9,0.088,0.019,0.5,1,0
478.9,0.125,0.345,0.5,1,0
904.9,0.105,3.5,0.5,1,0
1240.9,0.091,3.05,0.5,1,0
1417.9,0.1,0.88,0.5,1,0
1808.4,0.088,6.9,0.5,1,0
1828.9,0.088,0.2,0.5,1,0
1957.8,0.088,0.25,0.5,1,0
2268.9,0.088,1.45,0.5,1,0
2396.3,0.088,0.602,0.5,1,0
2516.9,0.088,4.5,0.5,1,0
2640.2,0.088,3.2,0.5,1,0
2813.2,0.088,0.51,0.5,1,0
3454.7,0.088,0.2,0.5,1,0
3717.9,0.088,1.4,0.5,1,0
3870.2,0.088,1.29,0.5,1,0
3931.6,0.088,0.55,0.5,1,0
4517.8,0.08799999,6.100001,0.5,1,0
4794.0,0.08800004,0.24,0.5,1,0
5018.2,0.08800004,1.979998,0.5,1,0
5251.9,0.08800004,1.2,0.5,1,0
5836.5,0.08800003,1.9,0.5,1,0
5927.9,0.08800001,3.469999,0.5,1,0
6390.8,0.08800002,2.6,0.5,1,0
6504.2,0.08799996,11.5,0.5,1,0
6792.1,0.088,6.300001,0.5,1,0
6832.1,0.08800002,1.5,0.5,1,0
6900.6,0.08800002,0.4,0.5,1,0
7303.6,0.08800002,2.0,0.5,1,0
7379.4,0.08800001,5.600002,0.5,1,0
7691.0,0.08800001,4.300001,0.5,1,0
7841.0,0.08800001,3.100001,0.5,1,0
8305.0,0.08800001,3.200001,0.5,1,0
8465.0,0.08800001,2.5,0.5,1,0
8694.0,0.08800001,2.7,0.5,1,0
9096.0,0.08800001,3.700001,0.5,1,0
9518.0,0.08800001,2.3,0.5,1,0
9662.0,0.08800001,2.2,0.5,1,0
984.0,0.089,0.0046,0.5,-1,1
1025.0,0.089,0.0028,0.5,-1,1
2555.0,0.088,0.0165,0.5,-1,1
3174.0,0.088,0.028,0.5,-1,1
4667.0,0.088,0.015,0.5,-1,1
421.9,0.088,0.00075,1.5,-1,1
571.8,0.088,0.003,1.5,-1,1
707.5,0.089,0.0019,1.5,-1,1
752.6,0.088,0.00245,1.5,-1,1
1291.0,0.089,0.0025,1.5,-1,1
1632.0,0.089,0.00165,1.5,-1,1
1695.0,0.088,0.003,1.5,-1,1
1874.0,0.088,0.0025,1.5,-1,1
2899.0,0.088,0.025,1.5,-1,1
3343.0,0.08800001,0.01245,1.5,-1,1
3563.0,0.088,0.02,1.5,-1,1
3598.0,0.08799999,0.0225,1.5,-1,1
4639.0,0.08800002,0.05100002,1.5,-1,1
