energy,Gd155 + photon [inclusive] width,n + Gd154 width,J,Pi,L
-2.200001,0.07389045,0.001970256,0.5,1,0
11.58,0.07393447,0.0003497889,0.5,1,0
22.33,0.07390026,0.01199996,0.5,1,0
47.07,0.08800003,0.003199999,0.5,1,0
49.5,0.08800001,0.001799999,0.5,1,0
65.06,0.05699999,0.024,0.5,1,0
76.12,0.08799999,0.0011,0.5,1,0
100.7,0.08199993,0.03200002,0.5,1,0
105.6,0.08799999,0.004799999,0.5,1,0
124.0,0.08499994,0.1240001,0.5,1,0
139.2,0.09099994,0.124,0.5,1,0
148.4,0.08799997,0.038,0.5,1,0
164.5,0.07699995,0.105,0.5,1,0
170.4,0.08799999,0.004999999,0.5,1,0
201.6,0.08799997,0.012,0.5,1,0
211.0,0.08799996,0.03500001,0.5,1,0
224.0,0.08799997,0.018,0.5,1,0
252.8,0.08799998,0.012,0.5,1,0
257.5,0.08799996,0.034,0.5,1,0
269.2,0.08799997,0.028,0.5,1,0
331.7,0.08799997,0.014,0.5,1,0
333.8,0.08799997,0.014,0.5,1,0
364.8,0.08799997,0.008,0.5,1,0
396.5,0.06499996,0.09400002,0.5,1,0
407.6,0.08799995,0.04400001,0.5,1,0
444.7,0.07599996,0.12,0.5,1,0
447.1,0.06899995,0.09300002,0.5,1,0
468.0,0.08599995,0.123,0.5,1,0
486.77,0.07499995,0.06000001,0.5,1,0
491.89,0.0739,0.005299999,0.5,1,0
511.9,0.08299995,0.09100003,0.5,1,0
516.7,0.07999997,0.044,0.5,1,0
552.26,0.06599996,0.04700001,0.5,1,0
565.5,0.07389998,0.012,0.5,1,0
590.51,0.06199997,0.155,0.5,1,0
593.29,0.07389997,0.016,0.5,1,0
605.28,0.07389999,0.003099999,0.5,1,0
626.07,0.06199997,0.237,0.5,1,0
640.81,0.07389997,0.043,0.5,1,0
652.4,0.07389999,0.009899999,0.5,1,0
685.27,0.07389998,0.0267,0.5,1,0
687.95,0.07389997,0.04000001,0.5,1,0
696.78,0.07389999,0.0116,0.5,1,0
721.81,0.07389999,0.0144,0.5,1,0
749.22,0.07389997,0.0288,0.5,1,0
774.89,0.05799997,0.103,0.5,1,0
795.91,0.07389997,0.03900001,0.5,1,0
809.78,0.06499998,0.199,0.5,1,0
812.46,0.07389995,0.05400001,0.5,1,0
837.35,0.07399997,0.541,0.5,1,0
846.3,0.07299997,0.286,0.5,1,0
859.97,0.07199997,0.321,0.5,1,0
880.22,0.07389997,0.024,0.5,1,0
898.12,0.06599997,0.323,0.5,1,0
911.48,0.07199995,0.07200001,0.5,1,0
917.8,0.07499997,0.417,0.5,1,0
929.22,0.07389997,0.021,0.5,1,0
967.77,0.06799997,0.272,0.5,1,0
973.94,0.07389996,0.038,0.5,1,0
986.2,0.07399996,0.157,0.5,1,0
1006.9,0.07389997,0.04200001,0.5,1,0
1010.3,0.07389996,0.04800001,0.5,1,0
1030.5,0.07399997,0.327,0.5,1,0
1034.4,0.07389996,0.058,0.5,1,0
1052.1,0.07389997,0.08200001,0.5,1,0
1072.7,0.06399997,0.218,0.5,1,0
1084.0,0.07389997,0.06300001,0.5,1,0
1106.2,0.0739,0.011,0.5,1,0
1111.4,0.07389998,0.021,0.5,1,0
1130.6,0.07389999,0.017,0.5,1,0
1158.6,0.07389999,0.011,0.5,1,0
1183.0,0.06299998,0.476,0.5,1,0
1193.3,0.07389997,0.025,0.5,1,0
1219.0,0.07389997,0.044,0.5,1,0
1247.1,0.07389998,0.03,0.5,1,0
1258.0,0.07389997,0.06400001,0.5,1,0
1265.7,0.07389997,0.115,0.5,1,0
1274.0,0.07389997,0.107,0.5,1,0
1295.2,0.07389997,0.07600001,0.5,1,0
1314.3,0.07389997,0.05700001,0.5,1,0
1359.9,0.07389997,0.09000002,0.5,1,0
1368.4,0.07389997,0.009299999,0.5,1,0
1374.0,0.07389997,0.038,0.5,1,0
1393.5,0.07389997,0.07900001,0.5,1,0
1402.4,0.07389997,0.09000001,0.5,1,0
1423.4,0.07389997,0.05100001,0.5,1,0
1442.3,0.07389997,0.06800001,0.5,1,0
1452.0,0.07389997,0.08800001,0.5,1,0
1461.4,0.07389997,0.07600001,0.5,1,0
1474.2,0.07389999,0.011,0.5,1,0
1493.7,0.07389998,0.04,0.5,1,0
1520.5,0.07389999,0.011,0.5,1,0
