energy,Cd107 + photon [inclusive] width,n + Cd106 width,J,Pi,L
-97.42451,0.16,0.1297,0.5,1,0
456.657,0.15,0.102,0.5,1,0
635.087,0.11,0.7937,0.5,1,0
2809.866,0.15,0.2869,0.5,1,0
3010.928,0.1507,1.0,0.5,1,0
3143.969,0.1511,0.7999,0.5,1,0
3335.028,0.1284,2.501,0.5,1,0
3433.058,0.1802,1.0,0.5,1,0
3438.06,0.15,0.6872,0.5,1,0
3841.184,0.16,0.9999,0.5,1,0
4096.263,0.1518,1.3,0.5,1,0
4309.329,0.1721,0.5,0.5,1,0
4332.335,0.196,1.5,0.5,1,0
4498.387,0.2005,2.0,0.5,1,0
4625.426,0.1954,0.8999,0.5,1,0
4817.485,0.1312,2.0,0.5,1,0
5027.55,0.1412,1.5,0.5,1,0
497.0,0.1725,0.001,1.5,-1,1
2647.816,0.1578,0.3,1.5,-1,1
2678.826,0.1725,0.00507,1.5,-1,1
2766.853,0.1725,0.009345,1.5,-1,1
2855.88,0.1725,0.02099,1.5,-1,1
2942.907,0.1725,0.02224,1.5,-1,1
2965.914,0.1725,0.0478,1.5,-1,1
3072.948,0.1725,0.011,1.5,-1,1
3106.958,0.1725,0.005593,1.5,-1,1
3336.029,0.1725,0.03783,1.5,-1,1
3380.042,0.1725,0.02287,1.5,-1,1
3670.132,0.1725,0.02674,1.5,-1,1
3843.185,0.1725,0.01976,1.5,-1,1
3916.207,0.1725,0.03931,1.5,-1,1
4001.234,0.1725,0.02478,1.5,-1,1
4014.238,0.1725,0.03931,1.5,-1,1
4055.25,0.1725,0.01499,1.5,-1,1
4157.282,0.1725,0.01212,1.5,-1,1
4167.285,0.1725,0.04621,1.5,-1,1
4282.32,0.1725,0.03283,1.5,-1,1
4499.387,0.1725,0.06328,1.5,-1,1
4597.417,0.1725,0.0294,1.5,-1,1
4601.418,0.1725,0.1248,1.5,-1,1
4697.448,0.1725,0.03076,1.5,-1,1
4830.489,0.1725,0.011,1.5,-1,1
4936.522,0.1725,0.08764,1.5,-1,1
4950.526,0.1725,0.009894,1.5,-1,1
5078.566,0.1725,0.1401,1.5,-1,1
5174.595,0.1725,0.02414,1.5,-1,1
5226.611,0.1725,0.1519,1.5,-1,1
5289.631,0.1725,0.0699,1.5,-1,1
5342.647,0.1725,0.009894,1.5,-1,1
5594.725,0.1725,0.1056,1.5,-1,1
5601.727,0.1725,0.01915,1.5,-1,1
5630.736,0.1725,0.7127,1.5,-1,1
5680.751,0.1725,0.03566,1.5,-1,1
5854.805,0.1725,0.01441,1.5,-1,1
5865.809,0.1725,0.08542,1.5,-1,1
5882.813,0.1725,0.1095,1.5,-1,1
