energy,Pb209 + photon [inclusive] width,n + Pb208 width,J,Pi,L
-1910000.0,0.0914,273070.0,0.5,1,0
506000.0,0.166,53590.0,0.5,1,0
888200.0,0.166,5490.0,0.5,1,0
998058.5,0.166,2653.99,0.5,1,0
1072400.0,0.166,4322.564,0.5,1,0
1109920.0,0.166,2680.318,0.5,1,0
1243798.0,0.00186,1157.726,0.5,1,0
1363123.0,0.00186,616.568,0.5,1,0
8000000.0,0.166,445770.0,0.5,1,0
-4000000.0,0.286,5009300.0,0.5,-1,1
86560.0,0.0152,75.4,0.5,-1,1
277990.0,0.168,315.0,0.5,-1,1
489000.0,0.8,2992.0,0.5,-1,1
563900.0,0.286,531.0,0.5,-1,1
814400.0,0.286,375.0,0.5,-1,1
884800.0,0.286,4779.0,0.5,-1,1
910600.0,0.286,422.0,0.5,-1,1
927000.0,0.286,192.0,0.5,-1,1
947200.0,0.286,1336.0,0.5,-1,1
1214998.0,0.00186,2682.415,0.5,-1,1
1248171.0,0.00186,666.2461,0.5,-1,1
8000000.0,0.286,33064000.0,0.5,-1,1
-4000000.0,0.286,6681200.0,1.5,-1,1
43290.0,0.18,0.015,1.5,-1,1
71210.0,0.0124,101.0,1.5,-1,1
78250.0,0.125,958.0,1.5,-1,1
117220.0,0.027,317.0,1.5,-1,1
153250.0,0.286,10.5,1.5,-1,1
163500.0,0.286,8.2,1.5,-1,1
168530.0,0.286,28.4,1.5,-1,1
324230.0,0.05,135.0,1.5,-1,1
407100.0,0.286,222.0,1.5,-1,1
418500.0,0.186,76.0,1.5,-1,1
505700.0,0.286,194.0,1.5,-1,1
721700.0,0.286,564.0,1.5,-1,1
764300.0,2.091,2643.0,1.5,-1,1
877800.0,0.286,484.0,1.5,-1,1
947900.0,0.286,1490.0,1.5,-1,1
974500.0,0.286,1947.0,1.5,-1,1
984200.0,0.286,3384.0,1.5,-1,1
1103111.0,0.00186,3964.754,1.5,-1,1
1129368.0,0.00186,1094.463,1.5,-1,1
1136686.0,0.00186,3602.002,1.5,-1,1
1150382.0,0.00186,3585.501,1.5,-1,1
1224270.0,0.00186,978.6073,1.5,-1,1
1234818.0,0.00186,6560.115,1.5,-1,1
1326532.0,0.00186,589.0332,1.5,-1,1
1342373.0,0.00186,1184.663,1.5,-1,1
8000000.0,0.286,44524000.0,1.5,-1,1
-1400000.0,1.052,2582200.0,1.5,1,2
47260.0,0.18,0.02,1.5,1,2
169380.0,0.086,21.9,1.5,1,2
270100.0,0.09,120.0,1.5,1,2
354100.0,1.28,4989.0,1.5,1,2
570800.0,1.052,9.9,1.5,1,2
850500.0,1.052,4074.0,1.5,1,2
944400.0,1.052,3213.0,1.5,1,2
1007900.0,0.166,271.8284,1.5,1,2
