energy,Cr53 + photon [inclusive] width,n + Cr52 width,J,Pi,L
-820520.0,0.24,100.65,0.5,1,0
-801870.0,0.49,7690.2,0.5,1,0
-755490.0,5.2,21505.0,0.5,1,0
-730240.0,1.0,2003.2,0.5,1,0
-711550.0,0.8,16287.0,0.5,1,0
-587070.0,0.21,383.96,0.5,1,0
-526020.0,1.32,10840.0,0.5,1,0
-485280.0,1.32,5651.2,0.5,1,0
-449680.0,1.32,20729.0,0.5,1,0
-429370.0,1.32,2289.9,0.5,1,0
-388750.0,1.32,14441.0,0.5,1,0
-358450.0,1.32,166.01,0.5,1,0
-318900.0,1.32,4766.7,0.5,1,0
-239460.0,1.32,13191.0,0.5,1,0
-139910.0,1.32,2641.7,0.5,1,0
-113710.0,1.32,10294.0,0.5,1,0
-79699.0,1.32,1756.5,0.5,1,0
-30068.18,9.44558,1763.622,0.5,1,0
31638.29,0.2205548,26.10144,0.5,1,0
50325.64,0.49,1620.0,0.5,1,0
96693.42,5.2,6467.464,0.5,1,0
121940.0,0.9518178,640.199,0.5,1,0
140589.4,1.323186,6055.754,0.5,1,0
265141.5,0.2100009,220.3088,0.5,1,0
326185.9,0.3700138,8380.083,0.5,1,0
366674.9,1.324447,6152.048,0.5,1,0
402369.6,1.320043,20685.05,0.5,1,0
422899.7,1.090552,2829.638,0.5,1,0
463315.6,1.674477,11757.05,0.5,1,0
493938.2,0.7279721,279.3019,0.5,1,0
501164.2,1.109676,12.33569,0.5,1,0
532977.1,1.432645,6040.363,0.5,1,0
612861.0,1.32,20061.0,0.5,1,0
712235.9,1.32,6105.0,0.5,1,0
738170.3,1.32,29883.0,0.5,1,0
772459.0,1.32,5686.0,0.5,1,0
794871.8,1.32,17622.0,0.5,1,0
841992.5,1.32,1847.8,0.5,1,0
870783.0,1.32,11836.0,0.5,1,0
878190.7,1.32,636.67,0.5,1,0
892402.8,1.32,15207.0,0.5,1,0
917855.1,1.32,4881.9,0.5,1,0
937527.1,1.32,1889.9,0.5,1,0
956848.4,1.32,35702.0,0.5,1,0
986439.9,1.32,3369.2,0.5,1,0
1004228.0,1.32,854.69,0.5,1,0
1030870.0,1.32,12431.0,0.5,1,0
1037604.0,1.32,2160.0,0.5,1,0
1044527.0,1.32,12743.0,0.5,1,0
1071402.0,1.32,6138.7,0.5,1,0
1106665.0,1.32,725.72,0.5,1,0
1118313.0,1.32,3046.2,0.5,1,0
1145524.0,1.32,9220.1,0.5,1,0
1179177.0,1.32,28260.0,0.5,1,0
1200441.0,1.32,47583.0,0.5,1,0
1224046.0,1.32,2851.0,0.5,1,0
1248484.0,1.32,7866.0,0.5,1,0
1275776.0,1.32,1950.3,0.5,1,0
1289038.0,1.32,16068.0,0.5,1,0
1319688.0,1.32,2697.7,0.5,1,0
1344005.0,1.32,239.25,0.5,1,0
1350744.0,1.32,149.9,0.5,1,0
1384610.0,1.32,1213.2,0.5,1,0
1405000.0,1.32,86890.24,0.5,1,0
1433000.0,1.32,36115.23,0.5,1,0
1448000.0,1.32,53340.8,0.5,1,0
1461000.0,1.32,37123.0,0.5,1,0
1481000.0,1.32,12705.0,0.5,1,0
1497400.0,1.32,135.97,0.5,1,0
1516000.0,1.32,10574.0,0.5,1,0
1562400.0,1.32,30926.0,0.5,1,0
1587700.0,1.32,2953.7,0.5,1,0
1606400.0,1.32,24472.0,0.5,1,0
1730900.0,1.32,659.3,0.5,1,0
1791900.0,1.32,20007.0,0.5,1,0
1832600.0,1.32,10982.0,0.5,1,0
1868200.0,1.32,42254.0,0.5,1,0
1888500.0,1.32,4802.5,0.5,1,0
1929200.0,1.32,32169.0,0.5,1,0
1959500.0,1.32,388.14,0.5,1,0
1999000.0,1.32,11934.0,0.5,1,0
2078500.0,1.32,38861.0,0.5,1,0
2178000.0,1.32,10423.0,0.5,1,0
2204200.0,1.32,45323.0,0.5,1,0
2238200.0,1.32,9308.3,0.5,1,0
2260900.0,1.32,28648.0,0.5,1,0
2307700.0,1.32,2738.4,0.5,1,0
