energy,Si30 + photon [inclusive] width,n + Si29 width,J,Pi,L
-2041700.0,70.94582,2061100.0,0,1,0
-859350.0,9.908663,31472.0,0,1,0
-431280.0,6.004819,401.8,0,1,0
1769073.0,3.0,32.136,0,1,0
2248487.0,3.0,169.32,0,1,0
384221.9,5.173,8910.4,1,1,0
1183602.0,3.0,8295.9,1,1,0
15294.11,1.2652,5.0115,1,-1,1
159877.2,2.6884,1202.3,1,-1,1
184593.8,2.6449,136.87,1,-1,1
389161.7,5.8045,24.151,1,-1,1
715064.6,0.3,978.57,1,-1,1
872483.5,0.3,16002.0,1,-1,1
1113808.0,0.3,67644.0,1,-1,1
1240000.0,0.3,9924.2,1,-1,1
374032.0,4.6232,107220.0,0,-1,1
480663.9,6.3051,20767.0,0,-1,1
600718.2,2.0,38856.0,0,-1,1
565000.0,4.1927,66556.0,1,-1,1
652521.8,7.59,30674.0,1,-1,1
1192268.0,0.3,375.06,1,-1,1
38833.77,2.2409,87.755,2,-1,1
336936.0,0.7039,1208.5,2,-1,1
553200.8,2.8336,1299.1,2,-1,1
650300.7,0.74142,1108.9,2,-1,1
955891.2,0.3,982.89,2,-1,1
1120279.0,0.3,4881.6,2,-1,1
1207629.0,0.3,29571.0,2,-1,1
1098426.0,3.0,57.787,1,1,2
1388859.0,3.0,4271.4,1,1,2
620352.9,1.5944,843.2,3,1,2
