energy,Gd158 + photon [inclusive] width,n + Gd157 width,J,Pi,L
16.24,0.09099999,0.0004,1,1,0
23.33,0.121,0.0008133335,1,1,0
40.17,0.11,0.001306667,1,1,0
66.65,0.067,0.01466667,1,1,0
81.48,0.108,0.02,1,1,0
96.59,0.11,0.02026667,1,1,0
100.2,0.09400001,0.04666668,1,1,0
105.3,0.07000001,0.05733335,1,1,0
148.4,0.085,0.024,1,1,0
164.83,0.1,0.03426668,1,1,0
171.18,0.085,0.04400001,1,1,0
183.76,0.08500001,0.02933334,1,1,0
190.58,0.08500001,0.028,1,1,0
202.69,0.085,0.009600002,1,1,0
216.9,0.085,0.008000002,1,1,0
220.65,0.085,0.004000001,1,1,0
239.3,0.08500002,0.2533333,1,1,0
244.6,0.08500001,0.004400001,1,1,0
250.2,0.085,0.005733335,1,1,0
260.05,0.08500001,0.02186667,1,1,0
281.02,0.08500002,0.064,1,1,0
290.8,0.08500003,0.06533332,1,1,0
293.7,0.08500005,0.06133332,1,1,0
300.9,0.0850003,0.0533333,1,1,0
0.0314,0.1072,0.000474,2,1,0
2.825,0.097,0.0003448001,2,1,0
16.77,0.0805,0.0128,2,1,0
20.56,0.088,0.01136,2,1,0
21.65,0.114,0.0003760001,2,1,0
25.4,0.085,0.00184,2,1,0
44.22,0.09600001,0.008960001,2,1,0
48.8,0.09,0.024,2,1,0
58.38,0.101,0.028,2,1,0
82.3,0.08500001,0.006160001,2,1,0
87.46,0.128,0.01016,2,1,0
107.7,0.085,0.005600001,2,1,0
110.5,0.085,0.04240001,2,1,0
115.4,0.112,0.0192,2,1,0
120.9,0.09100001,0.132,2,1,0
135.19,0.08500003,0.0008800002,2,1,0
137.9,0.08499999,0.0472,2,1,0
138.8,0.08600005,0.04960001,2,1,0
139.3,0.08499993,0.005999998,2,1,0
143.54,0.088,0.06000001,2,1,0
156.38,0.09100001,0.01976,2,1,0
167.88,0.08500002,0.002,2,1,0
169.5182,0.085,0.003280001,2,1,0
178.48,0.145,0.016,2,1,0
194.37,0.08500001,0.04480001,2,1,0
205.35,0.08500001,0.0009760002,2,1,0
206.9,0.08499999,0.00136,2,1,0
208.5,0.114,0.108,2,1,0
228.05,0.085,0.006560001,2,1,0
246.39,0.085,0.009280002,2,1,0
255.0,0.085,0.00216,2,1,0
255.2,0.085,0.002240001,2,1,0
265.8,0.08500001,0.006400001,2,1,0
268.02,0.08500001,0.01048,2,1,0
287.6,0.08499999,0.01424,2,1,0
306.4,0.08499751,0.002799681,2,1,0
