energy,Cr54 + photon [inclusive] width,n + Cr53 width,J,Pi,L
-7284.771,15.27514,883.469,1,1,0
4138.91,5.03804,1408.14,1,1,0
6779.2,4.143858,956.6001,1,1,0
27231.21,2.419724,859.5709,1,1,0
73400.0,0.6610435,819.0808,1,1,0
87855.66,8.532719,5831.536,1,1,0
93596.88,2.508537,78.53355,1,1,0
123895.0,2.255666,3687.368,1,1,0
134747.0,27.48703,19231.97,1,1,0
147651.9,1.677961,1087.683,1,1,0
174246.9,1.102222,5096.876,1,1,0
183108.1,4.039301,2688.584,1,1,0
241697.5,4.418945,13170.12,1,1,0
249073.8,2.360619,216.178,1,1,0
265280.1,2.149202,1005.158,1,1,0
270134.9,2.151079,87.39603,1,1,0
294575.5,1.788543,37682.47,1,1,0
310823.9,1.891953,50257.61,1,1,0
321729.0,1.000335,447.2546,1,1,0
324498.6,1.82112,1194.948,1,1,0
328713.1,0.7777073,231.0217,1,1,0
336197.7,0.785258,531.8894,1,1,0
341830.6,2.367161,3552.212,1,1,0
359517.1,1.529748,2145.764,1,1,0
368575.6,1.216208,108.7663,1,1,0
377785.4,1.753577,883.792,1,1,0
379699.9,1.640787,8073.394,1,1,0
421708.9,1.948638,2801.376,1,1,0
424915.0,1.098252,1141.115,1,1,0
429186.4,2.102456,8383.491,1,1,0
454931.5,0.8555771,92.03775,1,1,0
454975.6,0.8163559,278.0396,1,1,0
457482.4,4.807373,897.369,1,1,0
480545.5,3.413384,38525.93,1,1,0
494293.0,0.9960711,614.5578,1,1,0
503253.6,1.978117,17.24105,1,1,0
517921.7,1.738309,16012.17,1,1,0
535003.8,1.37104,167.7842,1,1,0
540033.3,4.580509,1808.8,1,1,0
575314.8,1.209015,30053.68,1,1,0
-55233.2,0.05231672,29735.11,2,1,0
5675.13,0.7871651,201.8898,2,1,0
8191.445,3.35259,1313.308,2,1,0
19702.92,1.295881,104.071,2,1,0
25895.61,0.7580453,205.1323,2,1,0
29476.25,1.480781,374.0069,2,1,0
65600.0,3.286907,4017.478,2,1,0
72433.48,1.493176,0.02777568,2,1,0
74298.27,1.943019,1047.367,2,1,0
94561.63,1.100359,538.079,2,1,0
107478.2,2.256215,1103.262,2,1,0
124607.7,1.301281,340.7815,2,1,0
127514.9,2.013116,379.7191,2,1,0
145801.0,0.9923716,1398.94,2,1,0
148762.3,0.8099746,50.9454,2,1,0
157766.7,1.851706,3006.991,2,1,0
159052.5,0.8884892,3173.751,2,1,0
172925.7,2.760356,666.6524,2,1,0
186354.6,4.028314,827.5562,2,1,0
195899.7,0.5221957,928.7558,2,1,0
201706.7,2.335188,402.3637,2,1,0
228018.5,1.222418,876.8949,2,1,0
238848.5,4.395109,680.1251,2,1,0
246276.1,1.975475,696.558,2,1,0
264530.1,0.302446,126.6091,2,1,0
292278.1,0.2785903,2.778907,2,1,0
300356.7,1.489349,148.6185,2,1,0
305607.0,1.803285,2893.265,2,1,0
315245.9,1.880322,61.09668,2,1,0
316824.2,1.379753,288.0091,2,1,0
328827.2,1.497715,108.5958,2,1,0
338512.4,3.224676,4432.423,2,1,0
342514.5,3.909224,3986.639,2,1,0
357457.3,4.181943,11206.01,2,1,0
374684.3,1.638341,268.9235,2,1,0
380756.8,1.021491,52.48761,2,1,0
409402.5,13.19198,10144.34,2,1,0
411948.7,0.5271639,238.5562,2,1,0
421720.4,0.4890047,285.9984,2,1,0
444223.1,0.8257568,1164.723,2,1,0
459996.2,1.609896,14162.64,2,1,0
462883.3,1.220642,16056.09,2,1,0
479634.7,6.099235,4594.261,2,1,0
487336.5,1.72071,6048.046,2,1,0
492207.5,0.2567248,1009.956,2,1,0
501102.8,3.437439,247.8435,2,1,0
509645.3,3.919235,2121.23,2,1,0
514695.9,1.187349,419.2412,2,1,0
526205.3,0.4279124,98.146,2,1,0
533579.8,0.9933881,12.37426,2,1,0
536788.0,0.6842133,115.5286,2,1,0
541701.1,6.191848,1701.508,2,1,0
548680.8,2.482825,793.9593,2,1,0
549868.4,1.102856,146.1637,2,1,0
666574.8,1.1,282034.3,2,1,0
24332.39,0.7654425,0.8311321,0,-1,1
28881.21,3.966622,4.42974,0,-1,1
41943.22,0.7902586,0.08072199,0,-1,1
55269.44,1.357642,31.1272,0,-1,1
55865.77,1.045068,48.51012,0,-1,1
86650.05,0.697871,1.765675,0,-1,1
93125.36,0.5317965,0.8549075,0,-1,1
95979.48,3.261033,33445.98,0,-1,1
201869.8,0.3528707,382.3664,0,-1,1
294705.8,1.586752,6749.397,0,-1,1
346632.0,1.591779,2.444645,0,-1,1
453834.3,1.698755,621.7791,0,-1,1
14657.0,0.6680344,1.396281,1,-1,1
16028.56,0.05982326,0.3927575,1,-1,1
28777.51,6.36945,0.4543867,1,-1,1
42444.36,1.001297,24.96211,1,-1,1
45879.09,1.196875,0.0224259,1,-1,1
47192.88,1.502322,38.44547,1,-1,1
49940.42,1.224429,28.14908,1,-1,1
51039.28,0.9283016,88.83401,1,-1,1
53614.63,1.894815,45.12136,1,-1,1
62386.66,0.5888318,1.210302,1,-1,1
62608.01,2.098569,4.817753,1,-1,1
69500.0,2.232221,169.2554,1,-1,1
69690.0,0.439664,0.1521912,1,-1,1
72979.78,1.572552,180.1596,1,-1,1
76635.98,2.385309,0.3482641,1,-1,1
85734.63,2.280068,3.271517,1,-1,1
100624.8,1.727971,7.222871,1,-1,1
108870.6,1.601566,101.0941,1,-1,1
112536.5,1.103849,8.7568,1,-1,1
118659.9,1.369031,40.13107,1,-1,1
126654.8,2.344518,70.44683,1,-1,1
129897.2,1.057925,197.5681,1,-1,1
134511.5,1.722107,9.081924,1,-1,1
141096.1,0.5106176,38.67061,1,-1,1
141841.3,0.3773389,4.640784,1,-1,1
147063.9,0.7084571,253.696,1,-1,1
150660.9,0.6587285,26.13083,1,-1,1
153953.3,3.798209,153.0011,1,-1,1
157502.8,0.5384363,0.2045655,1,-1,1
159232.8,1.431958,11.16294,1,-1,1
162887.1,3.967217,29.87336,1,-1,1
163665.3,3.595557,47.93796,1,-1,1
168585.5,2.765661,8.134453,1,-1,1
175985.6,1.004366,8.529238,1,-1,1
177746.0,0.8943757,309.3569,1,-1,1
182359.5,1.824941,25.73706,1,-1,1
184348.1,3.031789,281.2835,1,-1,1
203806.0,1.740082,208.6224,1,-1,1
209022.5,1.158799,1.069827,1,-1,1
215854.9,0.3196963,146.3623,1,-1,1
220176.5,2.232074,166.7231,1,-1,1
221819.2,8.699173,583.2148,1,-1,1
221943.0,0.0007837402,58.52909,1,-1,1
223789.9,1.528941,63.63158,1,-1,1
224842.5,0.9080702,358.9903,1,-1,1
228668.2,5.689143,9.536084,1,-1,1
237337.4,0.4640996,33.7958,1,-1,1
257234.5,2.082095,15.25803,1,-1,1
264225.0,1.720749,204.3292,1,-1,1
269250.1,1.37638,1.043002,1,-1,1
278967.3,2.075896,3.20943,1,-1,1
279310.3,1.583607,36.3316,1,-1,1
281081.2,2.567364,122.4097,1,-1,1
296902.6,2.775753,6336.535,1,-1,1
319408.9,2.548566,8844.933,1,-1,1
353641.3,1.569773,39.36736,1,-1,1
362357.7,3.755167,68.46396,1,-1,1
362713.2,1.315427,201.4581,1,-1,1
375636.4,1.533713,905.9087,1,-1,1
382650.5,0.9357916,432.2116,1,-1,1
393185.0,3.61793,228.123,1,-1,1
397744.1,0.872283,146.9219,1,-1,1
399847.5,1.115892,127.7397,1,-1,1
400763.2,0.2554549,440.2548,1,-1,1
413526.5,2.268618,102.3695,1,-1,1
423912.9,1.302253,120.552,1,-1,1
425497.1,0.5271275,94.31484,1,-1,1
426175.3,2.007717,4325.087,1,-1,1
430487.5,2.241757,760.6268,1,-1,1
436331.5,12.35824,1296.535,1,-1,1
440712.0,2.869383,103.6205,1,-1,1
448175.1,6.512184,221.3422,1,-1,1
459158.5,7.210148,2527.313,1,-1,1
471252.3,2.958642,170.1926,1,-1,1
479146.8,0.7893294,49.90882,1,-1,1
482983.6,1.381131,3129.389,1,-1,1
486311.6,0.5895286,1066.538,1,-1,1
504373.8,3.23746,126.9952,1,-1,1
507192.9,2.700411,84.62741,1,-1,1
516063.8,0.6885634,48.29947,1,-1,1
521592.8,5.414816,231.5884,1,-1,1
526084.0,0.9844545,716.8343,1,-1,1
526636.2,2.092813,2962.635,1,-1,1
529000.4,5.080546,130.3558,1,-1,1
531380.3,7.935942,1852.305,1,-1,1
533742.7,1.073197,434.7428,1,-1,1
544682.2,3.743452,616.9917,1,-1,1
547000.2,1.183006,6.169007,1,-1,1
551463.9,1.0,97.49235,1,-1,1
560377.5,1.0,92.93119,1,-1,1
562412.1,1.0,1285.44,1,-1,1
207585.4,0.7492019,9.710144,1,-1,1
282568.1,0.1765143,2.991462,1,-1,1
287595.4,2.478887,386.7941,1,-1,1
319717.7,0.7097742,117.0479,1,-1,1
381953.3,0.9772278,228.8492,1,-1,1
383534.3,0.8998791,82.26272,1,-1,1
439613.7,1.994434,99.67909,1,-1,1
493007.4,0.1651716,32.82374,1,-1,1
497285.4,1.378157,44.89892,1,-1,1
513082.0,1.641316,15.9099,1,-1,1
525909.8,1.958466,586.3605,1,-1,1
214065.3,0.2002842,39.90387,2,-1,1
239406.7,0.1468043,183.374,2,-1,1
258505.3,0.9303705,179.5122,2,-1,1
258777.3,0.2854562,135.8825,2,-1,1
271532.4,4.544052,1184.391,2,-1,1
282235.3,0.3948761,705.139,2,-1,1
291649.6,0.5516605,41.62628,2,-1,1
294904.1,1.785267,138.2762,2,-1,1
296185.7,1.191034,118.4263,2,-1,1
297891.5,2.299759,51.25594,2,-1,1
301546.2,1.280926,18.03925,2,-1,1
302217.4,1.495103,58.85862,2,-1,1
309313.2,1.889632,125.7743,2,-1,1
319181.2,1.301852,111.445,2,-1,1
320225.2,1.121255,217.577,2,-1,1
320760.9,2.165892,202.1596,2,-1,1
322587.3,0.9577292,70.182,2,-1,1
337370.8,0.9445142,100.6644,2,-1,1
341217.4,1.048082,149.7853,2,-1,1
341382.0,0.8716091,54.9062,2,-1,1
357328.0,0.8978289,78.75897,2,-1,1
367632.9,3.941501,125.2543,2,-1,1
379762.0,1.363,221.5612,2,-1,1
384318.9,2.13466,434.1769,2,-1,1
386787.4,2.746709,188.0233,2,-1,1
390351.2,0.9690081,100.9849,2,-1,1
404061.8,1.34798,199.1996,2,-1,1
407981.0,2.546748,43.52087,2,-1,1
410388.9,0.8243357,185.0874,2,-1,1
418588.9,3.280871,388.244,2,-1,1
418920.5,0.7581596,190.551,2,-1,1
483517.7,0.9663191,958.684,2,-1,1
488734.9,2.648982,285.7661,2,-1,1
501330.2,0.9414867,48.25285,2,-1,1
505931.7,1.479491,304.6308,2,-1,1
12103.26,0.6273192,4.120154,2,-1,1
12953.73,0.3272921,0.5149446,2,-1,1
22479.36,4.10092,0.2601834,2,-1,1
35028.79,0.5679117,11.01446,2,-1,1
37824.43,0.827272,1.815764,2,-1,1
64800.77,1.179382,4.657741,2,-1,1
67123.13,0.6801089,15.02983,2,-1,1
69794.65,2.728422,3.11235,2,-1,1
75650.0,2.101502,0.183734,2,-1,1
79516.14,0.7563007,0.04188837,2,-1,1
89501.15,1.215092,0.4775377,2,-1,1
98347.82,1.862586,21.47214,2,-1,1
100037.3,0.6556532,144.0134,2,-1,1
104224.8,2.841941,28.35568,2,-1,1
108331.5,0.9538879,31.95233,2,-1,1
108580.2,0.9601451,26.15584,2,-1,1
116851.9,1.76634,0.9444988,2,-1,1
135044.0,0.7941876,51.87479,2,-1,1
137437.5,1.167445,7.190243,2,-1,1
144094.3,0.6882336,69.00954,2,-1,1
145114.7,1.504114,1.472897,2,-1,1
145586.8,1.662294,1.203828,2,-1,1
156244.5,0.8353864,19.7164,2,-1,1
170664.6,1.580937,19.54626,2,-1,1
176182.0,1.294605,34.22433,2,-1,1
179238.6,1.593242,160.3778,2,-1,1
185561.5,0.3506364,143.8256,2,-1,1
195218.8,1.040728,283.6083,2,-1,1
199615.8,1.510051,146.26,2,-1,1
201175.3,2.204246,2.335747,2,-1,1
203045.2,2.677853,42.65236,2,-1,1
209323.4,0.6305192,132.154,2,-1,1
215330.8,0.3884352,1.986217,2,-1,1
216289.1,1.753229,14.78624,2,-1,1
219540.3,1.448983,0.5945012,2,-1,1
223227.3,0.9214558,3464.653,2,-1,1
227635.3,1.509072,2.462036,2,-1,1
232257.8,0.5122669,70.4909,2,-1,1
236319.4,1.658974,8.337471,2,-1,1
248016.6,2.240324,62.97779,2,-1,1
251776.7,1.539017,11.93788,2,-1,1
264005.0,4.160423,2.043002,2,-1,1
280459.8,1.525099,2.343527,2,-1,1
423246.0,0.8830539,37.38371,2,-1,1
428742.5,2.001835,38.36611,2,-1,1
434764.8,4.508177,1001.187,2,-1,1
447380.1,10.46016,4128.314,2,-1,1
485132.1,0.7352966,0.317713,2,-1,1
512022.8,1.346076,485.57,2,-1,1
554361.4,1.0,1271.252,2,-1,1
559093.2,1.0,1826.01,2,-1,1
20221.57,0.67863,3.825658,3,-1,1
31592.29,0.50727,8.751713,3,-1,1
32152.83,0.427723,3.955326,3,-1,1
43279.71,0.4691507,3.781407,3,-1,1
47747.53,2.536092,0.02462167,3,-1,1
66459.35,0.4256917,13.69811,3,-1,1
74402.21,1.204119,2.03941,3,-1,1
113401.4,1.670444,0.4138635,3,-1,1
136774.6,0.4222954,59.2918,3,-1,1
159471.2,0.2636446,31.9596,3,-1,1
168994.0,0.2902721,5.738041,3,-1,1
181073.3,0.4811551,76.43528,3,-1,1
192538.7,2.140488,289.8326,3,-1,1
217240.4,0.7539479,0.6945012,3,-1,1
233719.8,3.407306,110.9206,3,-1,1
234135.2,0.4206786,8.150735,3,-1,1
272132.4,0.7113023,0.7883318,3,-1,1
275616.2,0.5949309,138.3218,3,-1,1
284655.0,0.964302,1.85191,3,-1,1
285673.7,0.7247129,48.55541,3,-1,1
290138.2,3.066729,115.3789,3,-1,1
304230.4,1.217987,83.54742,3,-1,1
305562.0,1.526516,41.86271,3,-1,1
327362.8,1.689253,70.69184,3,-1,1
328941.8,1.068926,321.5094,3,-1,1
333894.0,2.418106,188.8394,3,-1,1
350428.5,1.556853,111.9698,3,-1,1
351238.8,1.061672,118.8804,3,-1,1
352001.1,1.463963,37.29329,3,-1,1
363780.1,0.2142382,105.7901,3,-1,1
367997.8,0.3301321,264.6381,3,-1,1
378943.0,1.356145,167.6026,3,-1,1
389841.3,1.923142,268.3104,3,-1,1
396400.5,1.25318,222.8149,3,-1,1
398640.9,0.7921528,126.2051,3,-1,1
399008.2,0.9026717,330.7509,3,-1,1
401636.7,0.9295564,23.77226,3,-1,1
411278.6,0.153719,26.02508,3,-1,1
414892.9,1.001059,91.59136,3,-1,1
423968.6,1.453751,94.80215,3,-1,1
426685.1,0.6566275,168.5953,3,-1,1
452666.2,0.6284065,11.2649,3,-1,1
462651.3,1.038387,47.52751,3,-1,1
465104.9,0.5227296,100.6649,3,-1,1
467721.0,6.896085,3033.887,3,-1,1
474444.4,2.442591,368.9124,3,-1,1
491463.6,2.762313,223.7223,3,-1,1
495198.7,1.943343,204.1694,3,-1,1
510356.8,0.719356,270.0989,3,-1,1
517568.0,4.952951,717.7731,3,-1,1
519857.1,1.479653,80.4364,3,-1,1
527101.7,0.2157509,64.17157,3,-1,1
535652.2,2.041056,86.63218,3,-1,1
537542.4,0.721279,186.9724,3,-1,1
555940.3,1.0,334.3589,3,-1,1
565024.3,1.0,136.611,3,-1,1
