energy,Fe55 + photon [inclusive] width,n + Fe54 width,J,Pi,L
-1223300.0,1.0,961108.6,0.5,1,0
-25000.0,1.798017,10326.62,0.5,1,0
7788.0,1.455,1187.354,0.5,1,0
52872.0,2.0,2000.345,0.5,1,0
71905.0,2.0,1781.791,0.5,1,0
98813.0,2.0,555.168,0.5,1,0
130170.0,3.0,3109.384,0.5,1,0
147540.0,2.6,3083.417,0.5,1,0
174300.0,2.0,4114.302,0.5,1,0
188700.0,2.0,36849.75,0.5,1,0
206780.0,0.4,13.296,0.5,1,0
223620.0,0.6,898.4901,0.5,1,0
244150.0,2.0,19902.0,0.5,1,0
257390.0,0.4,401.08,0.5,1,0
292200.0,1.1,931.7101,0.5,1,0
307240.0,0.4,7319.5,0.5,1,0
320140.0,0.4,24208.0,0.5,1,0
331630.0,0.4,3519.4,0.5,1,0
363710.0,0.4,381.15,0.5,1,0
371230.0,0.4,4752.1,0.5,1,0
410020.0,0.4,101.07,0.5,1,0
411210.0,0.4,34353.0,0.5,1,0
425480.0,0.4,14630.0,0.5,1,0
430230.0,0.4,3839.6,0.5,1,0
455650.0,0.4,679.42,0.5,1,0
483230.0,0.4,22276.0,0.5,1,0
485220.0,0.4,456.23,0.5,1,0
504197.9,0.4,3716.947,0.5,1,0
510604.7,0.4,20392.19,0.5,1,0
526839.3,0.4,9.906387,0.5,1,0
541376.3,0.4,73.50561,0.5,1,0
558726.3,0.4,6587.169,0.5,1,0
560691.5,0.4,3444.498,0.5,1,0
592831.0,0.4,2908.803,0.5,1,0
608928.9,0.4,2814.805,0.5,1,0
642091.3,0.4,1435.638,0.5,1,0
661227.0,0.4,726.989,0.5,1,0
672638.6,0.4,2202.403,0.5,1,0
689335.2,0.4,7337.199,0.5,1,0
705695.1,0.4,0.01145771,0.5,1,0
719725.9,0.4,524.1748,0.5,1,0
736543.0,0.4,10960.2,0.5,1,0
748431.7,0.4,158.3502,0.5,1,0
762593.4,0.4,2142.637,0.5,1,0
793428.3,0.4,3224.649,0.5,1,0
815531.1,0.4,262.4618,0.5,1,0
819129.3,0.4,343.6016,0.5,1,0
833811.1,0.4,19880.1,0.5,1,0
844018.0,0.4,7598.592,0.5,1,0
861088.0,0.4,3.754241,0.5,1,0
871249.8,0.4,4100.152,0.5,1,0
875782.0,0.4,111.8407,0.5,1,0
877012.4,0.4,0.1126387,0.5,1,0
894513.0,0.4,1872.254,0.5,1,0
900539.5,0.4,0.09809761,0.5,1,0
904539.2,0.4,49662.68,0.5,1,0
920836.1,0.4,11024.48,0.5,1,0
927052.2,0.4,54.0146,0.5,1,0
952110.9,0.4,14304.73,0.5,1,0
960176.6,0.4,305.7673,0.5,1,0
974603.5,0.4,1702.876,0.5,1,0
983614.3,0.4,0.3736347,0.5,1,0
992509.1,0.4,21680.22,0.5,1,0
998994.0,0.4,3905.539,0.5,1,0
1006835.0,0.7,3.493911,0.5,1,0
1007882.0,0.7,185.7533,0.5,1,0
1007962.0,0.7,1.261542,0.5,1,0
1012074.0,0.7,44080.87,0.5,1,0
1015771.0,0.7,121.1998,0.5,1,0
1016541.0,0.7,72.75909,0.5,1,0
1016807.0,0.7,8.587253,0.5,1,0
1023773.0,0.4,138.2577,0.5,1,0
1029100.0,0.4,17604.86,0.5,1,0
1030373.0,0.7,18.78123,0.5,1,0
1036413.0,0.4,170.5277,0.5,1,0
1036500.0,0.4,119690.4,0.5,1,0
1044895.0,0.7,23.87808,0.5,1,0
1048513.0,0.7,28659.25,0.5,1,0
1050702.0,0.7,4321.734,0.5,1,0
1053288.0,0.7,166.8717,0.5,1,0
1072431.0,0.7,103.7008,0.5,1,0
1073040.0,0.7,475.6084,0.5,1,0
1074304.0,0.7,258.1614,0.5,1,0
1076827.0,0.7,25.61767,0.5,1,0
1092165.0,0.7,5178.618,0.5,1,0
1094301.0,0.7,40.02575,0.5,1,0
1100703.0,0.7,8.000866,0.5,1,0
1101455.0,0.7,16.29439,0.5,1,0
1102090.0,0.7,7.044857,0.5,1,0
1105549.0,0.7,28.26743,0.5,1,0
