energy,Cd109 + photon [inclusive] width,n + Cd108 width,J,Pi,L
-11.78006,0.112,0.0004485,0.5,1,0
233.6,0.153,0.349,0.5,1,0
311.657,0.145,0.5386,0.5,1,0
2590.799,0.1273,0.5,0.5,1,0
2651.818,0.1273,0.5,0.5,1,0
2850.679,0.1172,0.4,0.5,1,0
3084.951,0.1151,1.25,0.5,1,0
3340.03,0.0665,1.2,0.5,1,0
3524.086,0.1117,1.0,0.5,1,0
3692.138,0.0729,1.0,0.5,1,0
3881.197,0.1105,1.0,0.5,1,0
3960.221,0.1304,0.5,0.5,1,0
4243.308,0.0595,1.0,0.5,1,0
4481.382,0.1233,7.0,0.5,1,0
4591.416,0.1077,1.5,0.5,1,0
4980.536,0.1117,1.0,0.5,1,0
5120.579,0.1361,2.5,0.5,1,0
5273.626,0.0953,1.5,0.5,1,0
5390.662,0.1069,2.0,0.5,1,0
5971.841,0.1079,2.5,0.5,1,0
54.2,0.115,0.0001575,1.5,-1,1
337.5,0.098,0.001075,1.5,-1,1
2721.839,0.123,0.04238,1.5,-1,1
2792.861,0.123,0.02703,1.5,-1,1
2896.893,0.123,0.01679,1.5,-1,1
3045.939,0.123,0.03975,1.5,-1,1
3170.978,0.123,0.01679,1.5,-1,1
3213.991,0.123,0.00407,1.5,-1,1
3224.994,0.123,0.003547,1.5,-1,1
3250.002,0.123,0.01071,1.5,-1,1
3431.058,0.123,0.02487,1.5,-1,1
3704.142,0.123,0.00513,1.5,-1,1
3715.146,0.123,0.00513,1.5,-1,1
3742.154,0.123,0.04062,1.5,-1,1
3771.163,0.097,0.5009,1.5,-1,1
3776.164,0.123,0.02926,1.5,-1,1
3856.189,0.123,0.006754,1.5,-1,1
4106.266,0.123,0.02777,1.5,-1,1
4111.268,0.123,0.0984,1.5,-1,1
4208.297,0.123,0.01188,1.5,-1,1
4300.326,0.123,0.02487,1.5,-1,1
4348.341,0.123,0.02487,1.5,-1,1
4417.362,0.123,0.008419,1.5,-1,1
4426.365,0.123,0.1119,1.5,-1,1
4481.382,0.123,0.03002,1.5,-1,1
4632.428,0.123,0.0693,1.5,-1,1
4960.529,0.123,0.03889,1.5,-1,1
5006.543,0.123,0.01938,1.5,-1,1
5037.553,0.123,0.02139,1.5,-1,1
5141.585,0.123,0.01248,1.5,-1,1
5221.61,0.123,0.04982,1.5,-1,1
5361.653,0.123,0.01679,1.5,-1,1
5373.657,0.123,0.007304,1.5,-1,1
5423.672,0.123,0.04238,1.5,-1,1
5479.689,0.123,0.2721,1.5,-1,1
5521.702,0.123,0.1978,1.5,-1,1
5551.711,0.123,0.06234,1.5,-1,1
5697.757,0.123,0.03975,1.5,-1,1
5716.763,0.123,0.008984,1.5,-1,1
5743.771,0.123,0.2193,1.5,-1,1
5829.797,0.123,0.1471,1.5,-1,1
5848.803,0.123,0.03393,1.5,-1,1
5875.812,0.123,0.0451,1.5,-1,1
5885.814,0.123,0.0646,1.5,-1,1
5889.816,0.123,0.01129,1.5,-1,1
