energy,Ni59 + photon [inclusive] width,n + Ni58 width,J,Pi,L
379945.8,0.4154496,231.8433,0.5,-1,1
395634.7,0.3763459,14.09906,0.5,-1,1
397841.4,0.5517199,326.0965,0.5,-1,1
408230.0,0.3713753,3.391672,0.5,-1,1
409550.0,0.5611254,74.26553,0.5,-1,1
425962.4,0.7601905,21.73014,0.5,-1,1
435018.1,0.840532,391.6122,0.5,-1,1
455045.9,1.000038,7.78139,0.5,-1,1
477282.8,2.254062,170.7508,0.5,-1,1
487629.7,1.811695,14.00666,0.5,-1,1
493186.4,0.9200186,377.1558,0.5,-1,1
496371.4,0.4489482,12.38785,0.5,-1,1
496861.0,0.4755811,232.7283,0.5,-1,1
507602.7,1.069239,21.76801,0.5,-1,1
520807.1,1.371234,10.49582,0.5,-1,1
521712.1,0.8390347,117.8814,0.5,-1,1
540499.1,0.6823389,14.1123,0.5,-1,1
545817.0,0.8195164,29.7489,0.5,-1,1
552147.9,1.859657,25.16,0.5,-1,1
560448.8,1.652709,354.817,0.5,-1,1
567638.0,1.561238,9.971418,0.5,-1,1
567940.1,0.5216341,4.741297,0.5,-1,1
575906.5,2.169489,539.7515,0.5,-1,1
585563.8,1.86186,173.8732,0.5,-1,1
600081.6,0.9621296,14.19446,0.5,-1,1
613215.1,1.619023,41.00213,0.5,-1,1
613567.1,1.340342,25.56312,0.5,-1,1
614215.2,0.9157077,24.27912,0.5,-1,1
617208.4,1.353534,16.25408,0.5,-1,1
628400.6,1.548783,482.1992,0.5,-1,1
631879.6,0.880783,552.655,0.5,-1,1
646062.3,0.5642003,168.369,0.5,-1,1
650972.0,0.8219089,173.3892,0.5,-1,1
651290.3,0.8122634,90.04025,0.5,-1,1
661138.4,1.208138,550.0032,0.5,-1,1
686750.1,1.801583,217.2284,0.5,-1,1
692625.7,0.7044918,60.43159,0.5,-1,1
703137.2,0.977,1118.766,0.5,-1,1
705512.5,0.977,398.1495,0.5,-1,1
712371.4,0.977,102.8201,0.5,-1,1
713023.5,0.977,17.45898,0.5,-1,1
732577.7,0.977,31.63214,0.5,-1,1
735353.4,0.977,23.20637,0.5,-1,1
740939.7,0.977,288.9305,0.5,-1,1
759021.0,0.977,117.0221,0.5,-1,1
759949.2,0.977,40.46128,0.5,-1,1
762305.5,0.977,247.6077,0.5,-1,1
784035.3,0.977,492.4085,0.5,-1,1
795851.9,0.977,38.6824,0.5,-1,1
811083.0,0.977,41.14097,0.5,-1,1
13636.92,0.404583,1.118493,1.5,-1,1
21143.91,0.4162582,2.097117,1.5,-1,1
26070.57,1.970894,0.1355622,1.5,-1,1
26644.13,0.5507428,1.457051,1.5,-1,1
34236.86,0.5095933,0.9686576,1.5,-1,1
47905.37,0.6523135,4.759945,1.5,-1,1
58708.72,0.3821908,1.442304,1.5,-1,1
60156.36,0.349887,15.76081,1.5,-1,1
66496.7,0.8884783,0.4130181,1.5,-1,1
82885.4,0.9747738,41.32505,1.5,-1,1
90014.11,0.3893526,5.393622,1.5,-1,1
110740.8,0.4313643,4.276153,1.5,-1,1
117895.7,0.5079411,7.846153,1.5,-1,1
129979.3,0.3337624,11.2669,1.5,-1,1
132843.0,0.5684472,0.7973099,1.5,-1,1
133705.8,0.8981785,7.769435,1.5,-1,1
137150.0,0.5017196,0.09979466,1.5,-1,1
145249.7,1.328014,82.12569,1.5,-1,1
148810.4,0.3840358,74.31796,1.5,-1,1
156998.0,0.4767844,32.27707,1.5,-1,1
168611.7,0.4027789,9.165588,1.5,-1,1
175237.3,0.5123606,42.86086,1.5,-1,1
184629.3,0.6717237,101.083,1.5,-1,1
186024.5,0.466412,23.82716,1.5,-1,1
194000.4,0.4974672,0.6713537,1.5,-1,1
196346.0,0.3486993,8.585559,1.5,-1,1
201498.1,0.3829351,5.416623,1.5,-1,1
207263.0,0.545798,168.2725,1.5,-1,1
216404.4,0.9469877,2.39543,1.5,-1,1
218124.8,0.5812662,17.99245,1.5,-1,1
231104.0,0.4860974,46.59498,1.5,-1,1
234139.9,0.5929035,23.25067,1.5,-1,1
242772.9,0.4765484,27.1785,1.5,-1,1
245252.3,0.2486982,16.57346,1.5,-1,1
249548.7,0.2371287,169.9914,1.5,-1,1
255088.6,0.9219851,7.501262,1.5,-1,1
265589.5,0.6054085,10.58107,1.5,-1,1
269498.4,0.4920593,33.41056,1.5,-1,1
278641.1,0.5175555,78.96036,1.5,-1,1
281211.2,0.5961552,1.29225,1.5,-1,1
284736.8,0.6948078,2.958599,1.5,-1,1
289493.5,0.7612242,109.0244,1.5,-1,1
301338.1,0.5470115,23.67926,1.5,-1,1
317202.3,0.6056279,39.45791,1.5,-1,1
325175.4,0.8739827,5.357384,1.5,-1,1
325883.8,0.5714722,21.24591,1.5,-1,1
329647.7,0.4929316,21.45046,1.5,-1,1
333094.0,0.691081,0.3669832,1.5,-1,1
334894.2,0.4448161,322.6766,1.5,-1,1
343571.5,0.408302,100.7362,1.5,-1,1
357786.6,0.2720018,162.0839,1.5,-1,1
360627.3,0.9850747,29.6101,1.5,-1,1
365370.5,0.6010759,35.08914,1.5,-1,1
371217.0,0.6173276,55.17983,1.5,-1,1
374040.4,0.4782273,1.755489,1.5,-1,1
377138.9,0.4909517,38.21109,1.5,-1,1
390028.6,0.7879386,8.030298,1.5,-1,1
397401.6,0.6360379,128.7887,1.5,-1,1
405950.0,0.5790027,18.60068,1.5,-1,1
413551.0,0.5979516,103.7029,1.5,-1,1
416319.0,1.427434,264.604,1.5,-1,1
420640.2,0.294447,37.43041,1.5,-1,1
433098.1,0.4256878,115.261,1.5,-1,1
436603.2,0.9264861,117.3972,1.5,-1,1
441772.1,0.2363887,3.159158,1.5,-1,1
452188.2,1.596943,188.0539,1.5,-1,1
455542.7,0.6591689,29.75017,1.5,-1,1
459667.7,1.681947,295.2113,1.5,-1,1
466166.7,0.7636709,20.16123,1.5,-1,1
469260.6,2.52031,177.2049,1.5,-1,1
491481.1,0.9841165,90.48045,1.5,-1,1
498926.4,1.074927,25.87556,1.5,-1,1
508845.8,1.122099,69.17372,1.5,-1,1
511220.4,0.4523328,146.7093,1.5,-1,1
513374.8,0.7632037,177.8734,1.5,-1,1
529466.5,0.6056141,72.92382,1.5,-1,1
541895.8,0.4332584,48.16643,1.5,-1,1
547889.8,2.115273,46.60209,1.5,-1,1
552551.4,1.825931,76.18052,1.5,-1,1
555579.6,1.199874,64.73745,1.5,-1,1
591858.9,0.5598659,40.75579,1.5,-1,1
595617.6,1.351141,126.3072,1.5,-1,1
625090.7,2.425759,104.6495,1.5,-1,1
629599.4,1.173369,98.49842,1.5,-1,1
631761.3,0.8429811,43.25475,1.5,-1,1
632996.4,0.9636117,63.14589,1.5,-1,1
635740.4,0.9756622,77.6638,1.5,-1,1
644321.2,0.936614,20.58317,1.5,-1,1
650480.6,0.4388234,358.2846,1.5,-1,1
665524.8,0.6991944,229.2647,1.5,-1,1
668524.9,0.703424,17.11847,1.5,-1,1
672818.2,0.6266856,225.0452,1.5,-1,1
681626.3,0.8331236,53.42671,1.5,-1,1
690334.0,3.583127,58.44561,1.5,-1,1
696193.3,0.7902888,394.6803,1.5,-1,1
707102.2,0.977,328.3811,1.5,-1,1
712770.1,0.977,11.55926,1.5,-1,1
715728.7,0.977,139.59,1.5,-1,1
720939.9,0.977,90.14043,1.5,-1,1
744434.9,0.977,17.11528,1.5,-1,1
750003.3,0.977,151.6533,1.5,-1,1
765059.0,0.977,62.55312,1.5,-1,1
793415.0,0.977,78.56717,1.5,-1,1
796428.2,0.977,71.88678,1.5,-1,1
804799.9,0.977,40.41672,1.5,-1,1
806954.4,0.977,48.83112,1.5,-1,1
39559.98,0.7406257,0.7007023,1.5,1,2
52230.69,0.9445274,0.8792293,1.5,1,2
54800.4,0.4813815,0.157127,1.5,1,2
68696.01,0.4098338,0.1819585,1.5,1,2
81344.0,1.688951,0.6807976,1.5,1,2
83971.84,2.029836,0.4452693,1.5,1,2
84913.52,0.2761572,0.1282792,1.5,1,2
105461.7,1.066409,10.45809,1.5,1,2
107813.5,0.699024,4.59765,1.5,1,2
121437.5,0.7522398,7.561902,1.5,1,2
124057.8,0.9329747,2.038625,1.5,1,2
136653.6,0.8013892,2.315546,1.5,1,2
140026.6,0.6200627,1.958069,1.5,1,2
149171.0,0.6990479,2.786482,1.5,1,2
159858.6,1.210165,4.395009,1.5,1,2
167099.7,0.8852168,12.89789,1.5,1,2
180683.1,0.4809927,17.84078,1.5,1,2
183954.2,0.8306572,4.200016,1.5,1,2
189455.7,1.20894,0.7995923,1.5,1,2
191496.9,0.7058365,3.793464,1.5,1,2
192650.2,0.0008793888,0.1805783,1.5,1,2
209287.9,0.928521,1.152314,1.5,1,2
216547.4,0.7312331,4.293233,1.5,1,2
217927.1,0.4235833,5.612561,1.5,1,2
224348.7,0.6978024,1.690391,1.5,1,2
232524.9,0.4254588,7.395476,1.5,1,2
237022.5,0.2814042,0.6519599,1.5,1,2
245639.8,0.627123,11.24479,1.5,1,2
245882.4,0.3201708,3.567723,1.5,1,2
250793.0,0.6007116,34.83934,1.5,1,2
257655.1,0.7462954,11.64339,1.5,1,2
273660.3,1.160776,25.92581,1.5,1,2
277502.3,0.5158229,37.21079,1.5,1,2
