energy,Cd117 + photon [inclusive] width,n + Cd116 width,J,Pi,L
-195.8556,0.05034,0.177,0.5,1,0
889.23,0.07255,0.05368,0.5,1,0
1048.8,0.0472,0.5116,0.5,1,0
1384.542,0.215,0.1191,0.5,1,0
1567.0,0.0472,0.09499,0.5,1,0
1969.128,0.0472,0.2307,0.5,1,0
2363.0,0.0472,1.409,0.5,1,0
3359.071,0.06649,0.2376,0.5,1,0
3653.765,0.05156,0.6706,0.5,1,0
4875.355,0.04424,0.7471,0.5,1,0
5302.191,0.03753,1.606,0.5,1,0
8825.015,0.04539,3.587,0.5,1,0
28.97924,0.07,2.691e-05,1.5,-1,1
676.6905,0.07,0.01053,1.5,-1,1
1122.758,0.07,0.009548,1.5,-1,1
1858.293,0.07,0.03879,1.5,-1,1
2542.011,0.07,0.0121,1.5,-1,1
2652.446,0.0787,0.1158,1.5,-1,1
3051.404,0.07,0.05192,1.5,-1,1
3109.412,0.07,0.0055,1.5,-1,1
3265.432,0.07,0.00859,1.5,-1,1
3684.488,0.07,0.02125,1.5,-1,1
4208.042,0.0618,0.07131,1.5,-1,1
4228.56,0.07,0.02774,1.5,-1,1
4616.772,0.0783,0.08496,1.5,-1,1
4758.63,0.07,0.04003,1.5,-1,1
4843.642,0.07,0.03757,1.5,-1,1
4983.66,0.07,0.02874,1.5,-1,1
5074.118,0.048,0.3216,1.5,-1,1
5624.745,0.07,0.08166,1.5,-1,1
5909.783,0.07,0.00609,1.5,-1,1
5957.789,0.07,0.05266,1.5,-1,1
5995.794,0.07,0.2807,1.5,-1,1
6350.841,0.07,0.04671,1.5,-1,1
6455.855,0.07,0.01123,1.5,-1,1
6558.869,0.07,0.08919,1.5,-1,1
6670.883,0.07,0.008576,1.5,-1,1
7005.928,0.07,0.01791,1.5,-1,1
7055.935,0.07,0.06468,1.5,-1,1
7349.444,0.0813,0.7497,1.5,-1,1
7694.019,0.07,0.008576,1.5,-1,1
7914.048,0.07,0.187,1.5,-1,1
8031.063,0.07,0.01481,1.5,-1,1
8124.076,0.07,0.05111,1.5,-1,1
8164.081,0.07,0.06282,1.5,-1,1
8479.123,0.07,0.02874,1.5,-1,1
8531.13,0.07,0.1679,1.5,-1,1
8561.134,0.07,0.01955,1.5,-1,1
