energy,Pb208 + photon [inclusive] width,n + Pb207 width,J,Pi,L
-70400.0,3.957,1758.0,0,1,0
228490.0,7.33,9223.934,0,1,0
374580.0,7.33,2220.0,0,1,0
470000.0,7.33,50000.0,0,1,0
478500.0,7.33,20000.0,0,1,0
652540.0,7.33,2924.0,0,1,0
659938.0,7.33,823.3863,0,1,0
750000.0,15.04,17259.0,0,1,0
5000000.0,15.04,54561.0,0,1,0
-4252000.0,4417.0,78.365,1,1,0
-1252000.0,451.7,783650.0,1,1,0
41149.71,3.996078,1219.21,1,1,0
101800.0,0.34,73.147,1,1,0
181510.0,14.709,57.3,1,1,0
256430.0,12.74,1890.783,1,1,0
316980.7,6.674686,788.7161,1,1,0
330130.0,15.04,2789.1,1,1,0
445350.0,15.04,16939.0,1,1,0
463239.6,15.04,7622.089,1,1,0
493843.7,7.33,1599.016,1,1,0
538840.0,7.33,117.33,1,1,0
542509.1,4.29,1611.99,1,1,0
554052.3,7.33,1582.81,1,1,0
594787.3,7.33,306.5571,1,1,0
616130.0,7.33,100.0,1,1,0
653540.0,7.33,224.0,1,1,0
691360.0,0.567,3040.0,1,1,0
737000.0,15.04,160030.0,1,1,0
5000000.0,15.04,6249.8,1,1,0
82097.64,0.567,95.91556,0,-1,1
103580.6,0.567,239.8914,0,-1,1
135263.2,0.567,121.8911,0,-1,1
156707.9,0.567,43.99628,0,-1,1
179230.0,0.46988,87.38,0,-1,1
182100.0,0.46988,41.954,0,-1,1
197010.0,0.46988,28.073,0,-1,1
199516.2,0.567,61.99876,0,-1,1
200989.8,0.567,31.99997,0,-1,1
207620.6,0.567,237.8476,0,-1,1
269449.3,0.43,51.99988,0,-1,1
276445.0,0.567,76.00132,0,-1,1
290247.1,0.567,159.9569,0,-1,1
296469.4,0.567,43.99991,0,-1,1
301542.7,0.567,72.97348,0,-1,1
317400.0,0.46988,663.18,0,-1,1
372935.9,0.567,32.99968,0,-1,1
376933.5,0.567,35.00029,0,-1,1
383583.7,0.567,66.00056,0,-1,1
396167.3,0.567,95.9468,0,-1,1
405781.1,0.567,839.591,0,-1,1
436386.3,0.567,605.7723,0,-1,1
498985.1,0.567,152.0311,0,-1,1
560514.8,0.567,152.2099,0,-1,1
564927.0,0.567,399.808,0,-1,1
603800.0,0.567,300.0,0,-1,1
605850.0,0.567,1850.0,0,-1,1
644876.8,0.567,421.4751,0,-1,1
686500.0,0.567,300.0,0,-1,1
689640.0,0.567,300.0,0,-1,1
696564.1,0.567,1808.709,0,-1,1
697532.2,0.567,1000.002,0,-1,1
698710.0,0.567,400.0,0,-1,1
699590.0,0.567,400.0,0,-1,1
5000000.0,0.47,21000000.0,0,-1,1
12357.0,0.567,1.1333,1,-1,1
16758.0,0.068,24.2,1,-1,1
30486.24,0.6361279,0.608,1,-1,1
37750.0,0.9188198,50.0,1,-1,1
73026.41,0.019,38.6406,1,-1,1
90176.6,1.615,271.811,1,-1,1
115177.0,1.63,912.8394,1,-1,1
127938.5,1.19,613.2112,1,-1,1
130221.9,0.9,86.99382,1,-1,1
132261.8,0.039,50.6547,1,-1,1
145488.7,0.567,100.6228,1,-1,1
148218.1,0.567,22.99968,1,-1,1
155788.6,0.34,106.6013,1,-1,1
168513.8,0.1,175.8466,1,-1,1
179010.0,0.85,125.2,1,-1,1
180980.0,1.2,56.678,1,-1,1
210560.9,0.068,94.6168,1,-1,1
218447.4,0.077,122.6173,1,-1,1
229757.0,0.567,585.5836,1,-1,1
