energy,Cd115 + photon [inclusive] width,n + Cd114 width,J,Pi,L
-400.5377,0.05,2.0,0.5,1,0
120.13,0.04998,0.06081,0.5,1,0
392.55,0.05515,0.9362,0.5,1,0
671.19,0.05884,0.4023,0.5,1,0
752.44,0.05365,0.3675,0.5,1,0
1100.234,0.05073,0.30242,0.5,1,0
1426.722,0.048,1.812,0.5,1,0
1922.338,0.054,0.4909,0.5,1,0
2134.03,0.054,0.2794,0.5,1,0
2679.568,0.0604,1.503,0.5,1,0
2805.223,0.05142,0.3495,0.5,1,0
3179.885,0.05908,3.383,0.5,1,0
3822.665,0.05939,1.2,0.5,1,0
4260.856,0.06405,2.088,0.5,1,0
4693.846,0.0507,0.3219,0.5,1,0
5362.335,0.05256,0.4818,0.5,1,0
5519.004,0.05149,0.7832,0.5,1,0
6411.893,0.0476,0.8285,0.5,1,0
7845.017,0.05262,1.793,0.5,1,0
8376.249,0.054,1.572,0.5,1,0
8949.9,0.054,0.8796,0.5,1,0
9268.438,0.054,7.796,0.5,1,0
9962.642,0.054,0.948,0.5,1,0
10092.4,0.054,1.306,0.5,1,0
1638.514,0.0715,0.009914,0.5,-1,1
2637.049,0.07488,0.07188,0.5,-1,1
2850.542,0.05091,0.04003,0.5,-1,1
4584.798,0.05279,0.2572,0.5,-1,1
56.42459,0.0715,3.755e-05,1.5,-1,1
226.9,0.0715,0.001582,1.5,-1,1
568.0275,0.0715,0.001048,1.5,-1,1
962.3879,0.0715,0.005515,1.5,-1,1
1327.484,0.0715,0.01864,1.5,-1,1
1475.943,0.0715,0.02113,1.5,-1,1
1485.948,0.0715,0.005974,1.5,-1,1
1605.283,0.0715,0.01585,1.5,-1,1
1691.737,0.0715,0.0074,1.5,-1,1
1965.757,0.0715,0.0184,1.5,-1,1
2268.289,0.0715,0.01095,1.5,-1,1
2285.196,0.0715,0.03346,1.5,-1,1
2513.996,0.0715,0.02807,1.5,-1,1
2590.429,0.06743,0.0224,1.5,-1,1
2956.889,0.06159,0.03045,1.5,-1,1
3028.42,0.05917,0.04239,1.5,-1,1
3155.787,0.0715,0.02197,1.5,-1,1
3306.841,0.04667,0.04312,1.5,-1,1
3335.053,0.07061,0.1026,1.5,-1,1
3571.891,0.0715,0.001561,1.5,-1,1
3700.012,0.05467,0.02645,1.5,-1,1
3772.941,0.0715,0.006079,1.5,-1,1
4054.011,0.0715,0.008554,1.5,-1,1
4133.031,0.0715,0.002097,1.5,-1,1
4349.084,0.0715,0.01052,1.5,-1,1
4420.327,0.04135,0.05982,1.5,-1,1
4516.126,0.0715,0.01943,1.5,-1,1
4541.132,0.0715,0.005484,1.5,-1,1
4647.525,0.0519,0.09543,1.5,-1,1
4857.211,0.0715,0.04888,1.5,-1,1
5047.259,0.0715,0.02654,1.5,-1,1
5129.279,0.0715,0.02466,1.5,-1,1
5172.29,0.0715,0.03157,1.5,-1,1
5295.32,0.0715,0.003753,1.5,-1,1
5483.367,0.0715,0.03053,1.5,-1,1
5690.419,0.0715,0.1834,1.5,-1,1
5932.479,0.0715,0.2122,1.5,-1,1
6018.501,0.0715,0.06912,1.5,-1,1
6047.535,0.09086,0.2915,1.5,-1,1
6224.552,0.0715,0.006684,1.5,-1,1
6429.603,0.0715,0.0295,1.5,-1,1
6544.632,0.0715,0.006079,1.5,-1,1
6621.651,0.0715,0.02285,1.5,-1,1
6676.665,0.0715,0.009198,1.5,-1,1
6746.682,0.0715,0.009852,1.5,-1,1
6829.703,0.0715,0.02654,1.5,-1,1
6866.712,0.0715,0.05337,1.5,-1,1
7031.753,0.0715,0.03956,1.5,-1,1
7069.763,0.0715,0.06912,1.5,-1,1
7210.24,0.1042,0.594,1.5,-1,1
7281.816,0.0715,0.0295,1.5,-1,1
7359.835,0.0715,0.01782,1.5,-1,1
7397.024,0.04218,0.2107,1.5,-1,1
7502.068,0.07692,0.6057,1.5,-1,1
7549.883,0.0715,0.01703,1.5,-1,1
7665.341,0.09265,0.2451,1.5,-1,1
7814.949,0.0715,0.02375,1.5,-1,1
