energy,Cu66 + photon [inclusive] width,n + Cu65 width,J,Pi,L
161969.0,0.395,414.9818,1,-1,0
162478.1,0.395,271.2059,1,-1,0
162670.0,0.395,129.1857,1,-1,0
163225.3,0.395,0.5982298,1,-1,0
166727.4,0.395,466.0131,1,-1,0
168718.1,0.395,29.3746,1,-1,0
169023.6,0.395,63.0616,1,-1,0
170201.1,0.395,27.41486,1,-1,0
170473.4,0.395,72.04531,1,-1,0
170987.7,0.395,325.9431,1,-1,0
171789.2,0.395,0.5740279,1,-1,0
172932.2,0.395,33.75514,1,-1,0
175628.0,0.395,105.598,1,-1,0
175924.7,0.395,117.7147,1,-1,0
176336.7,0.395,36.11038,1,-1,0
178652.0,0.395,1.851659,1,-1,0
179888.4,0.395,48.04587,1,-1,0
180091.9,0.395,56.33794,1,-1,0
181598.5,0.395,0.2407509,1,-1,0
181674.4,0.395,337.2343,1,-1,0
182000.7,0.395,4.100355,1,-1,0
183531.6,0.395,52.57824,1,-1,0
183814.9,0.395,115.2023,1,-1,0
184126.2,0.395,65.50346,1,-1,0
186951.5,0.395,58.36928,1,-1,0
192047.9,0.395,181.6266,1,-1,0
192870.1,0.395,63.96161,1,-1,0
193010.6,0.395,59.18135,1,-1,0
195168.6,0.395,568.9283,1,-1,0
198073.5,0.395,29.57195,1,-1,0
199483.8,0.395,554.9643,1,-1,0
199777.8,0.395,25.53321,1,-1,0
199959.2,0.395,27.74476,1,-1,0
201535.6,0.395,456.4867,1,-1,0
203318.5,0.395,10.08456,1,-1,0
203561.9,0.395,35.65913,1,-1,0
204142.0,0.395,44.42886,1,-1,0
210450.8,0.395,635.7544,1,-1,0
211641.8,0.395,121.8536,1,-1,0
214253.6,0.395,13.55396,1,-1,0
219664.7,0.395,531.6488,1,-1,0
222454.9,0.395,2769.893,1,-1,0
223908.8,0.395,0.2481738,1,-1,0
224088.7,0.395,94.791,1,-1,0
224945.9,0.395,44.61508,1,-1,0
224951.1,0.395,12.76034,1,-1,0
227257.5,0.395,476.4351,1,-1,0
228709.1,0.395,101.5862,1,-1,0
233134.5,0.395,727.2143,1,-1,0
233538.5,0.395,186.381,1,-1,0
234840.1,0.395,2477.987,1,-1,0
237184.9,0.395,284.6137,1,-1,0
239465.8,0.395,1135.675,1,-1,0
240037.6,0.395,1.767999,1,-1,0
241142.2,0.395,218.8118,1,-1,0
243455.8,0.395,927.0172,1,-1,0
249324.1,0.395,186.7081,1,-1,0
253646.4,0.395,656.6164,1,-1,0
254068.8,0.395,130.0393,1,-1,0
256203.4,0.395,449.5343,1,-1,0
259083.2,0.395,15.98809,1,-1,0
260481.4,0.395,203.981,1,-1,0
260877.5,0.395,96.60397,1,-1,0
