energy,Rh104 + photon [inclusive] width,n + Rh103 width,J,Pi,L
1796.522,0.1755038,0.0747873,1,-1,0
1820.988,0.2216714,0.4053612,1,-1,0
1843.602,0.1372175,0.04871541,1,-1,0
2010.207,0.1504082,0.01691238,1,-1,0
2083.261,0.1614821,0.007424637,1,-1,0
2179.915,0.154669,0.03573148,1,-1,0
2195.322,0.1471117,0.1030929,1,-1,0
2260.367,0.1625844,0.0443999,1,-1,0
2296.796,0.176215,0.3845733,1,-1,0
2333.303,0.1860723,0.05670547,1,-1,0
2379.934,0.1510987,0.05101094,1,-1,0
2416.802,0.1531752,0.1145558,1,-1,0
2434.295,0.1703582,0.04666289,1,-1,0
2461.278,0.187998,0.1950976,1,-1,0
2606.051,0.1574085,0.3796082,1,-1,0
2630.378,0.1722146,0.204661,1,-1,0
2669.031,0.1595816,0.05216336,1,-1,0
2721.73,0.2413481,0.08374336,1,-1,0
2731.617,0.1884131,0.03883438,1,-1,0
2741.758,0.1671466,0.01609245,1,-1,0
2793.377,0.1308517,0.1395414,1,-1,0
2858.236,0.1533139,0.1043906,1,-1,0
2953.518,0.1836411,0.04358205,1,-1,0
2973.236,0.1516716,0.0313976,1,-1,0
3016.611,0.1706471,0.002494473,1,-1,0
3030.532,0.2136954,0.1554287,1,-1,0
3049.987,0.1787816,0.02593796,1,-1,0
3084.582,0.1401598,0.2057255,1,-1,0
3131.602,0.1802579,0.355761,1,-1,0
3192.182,0.1571878,0.01886507,1,-1,0
3305.031,0.390215,0.06570238,1,-1,0
3412.729,0.1489911,0.01227118,1,-1,0
3439.278,0.1407419,0.02844559,1,-1,0
3512.721,0.1620573,0.2846543,1,-1,0
3554.055,0.1691316,0.3710318,1,-1,0
3597.44,0.1221002,0.1473472,1,-1,0
3646.048,0.1647577,0.2618811,1,-1,0
3687.456,0.1991149,0.3879833,1,-1,0
3854.062,0.1858442,0.1382018,1,-1,0
3884.602,0.2276088,0.06556429,1,-1,0
3909.123,0.2034881,0.05853753,1,-1,0
3947.065,0.176662,0.1973197,1,-1,0
4058.161,0.1814351,0.2050547,1,-1,0
4079.88,0.1747273,0.4780787,1,-1,0
4140.218,0.1611534,0.6196879,1,-1,0
4408.639,0.1478356,0.08534175,1,-1,0
4481.62,0.1537605,0.6944602,1,-1,0
4520.991,0.1639674,0.05003591,1,-1,0
4602.219,0.1805944,0.2575973,1,-1,0
4683.942,0.1512637,0.1220354,1,-1,0
4780.48,0.1521431,0.01122306,1,-1,0
4797.208,0.1522326,0.01775852,1,-1,0
4834.867,0.1653805,0.5242011,1,-1,0
4863.218,0.144676,0.1102289,1,-1,0
4953.093,0.1887322,0.4692982,1,-1,0
5003.899,0.1599827,0.03767905,1,-1,0
5097.785,0.1464807,0.01743129,1,-1,0
5189.233,0.154375,0.2136639,1,-1,0
5273.326,0.1644051,0.07922113,1,-1,0
5296.355,0.1556815,0.02564835,1,-1,0
5305.911,0.1769212,0.05395697,1,-1,0
5332.114,0.1570638,0.01828724,1,-1,0
5427.445,0.1810528,0.470631,1,-1,0
5482.349,0.1505049,0.001444222,1,-1,0
5590.564,0.1529304,0.141403,1,-1,0
5607.148,0.1571235,0.03939208,1,-1,0
5640.124,0.1699452,0.03669905,1,-1,0
5747.95,0.1684042,0.1170118,1,-1,0
5765.464,0.1293813,0.1114925,1,-1,0
5771.821,0.1709337,0.9440891,1,-1,0
5961.631,0.1500454,0.0252146,1,-1,0
5971.377,0.1758929,0.1410105,1,-1,0
5981.669,0.160018,0.03626135,1,-1,0
5995.854,0.1669297,0.1708576,1,-1,0
6171.437,0.1406605,0.1276373,1,-1,0
6255.775,0.1540668,0.02682584,1,-1,0
6288.01,0.1492027,0.0496168,1,-1,0
6317.075,0.1489383,0.02942081,1,-1,0
6328.644,0.1225546,0.07429632,1,-1,0
6338.394,0.1489165,0.02186752,1,-1,0
6369.796,0.2101867,0.01000375,1,-1,0
6400.619,0.2122894,0.01683421,1,-1,0
6565.361,0.1237049,0.1262003,1,-1,0
6685.698,0.1420896,0.5168977,1,-1,0
6695.865,0.2055934,0.2571249,1,-1,0
6841.744,0.1802781,0.1389139,1,-1,0
6850.364,0.1583835,0.03326875,1,-1,0
6909.641,0.1498297,0.0188438,1,-1,0
6949.719,0.1604992,0.170507,1,-1,0
7007.943,0.1987738,0.05746223,1,-1,0
7015.292,0.154418,0.02452437,1,-1,0
7025.968,0.1510297,0.008425996,1,-1,0
7132.017,0.1978528,0.06714436,1,-1,0
7156.774,0.1086001,0.1607601,1,-1,0
7196.378,0.4851667,0.13819,1,-1,0
7224.928,0.5386999,0.140298,1,-1,0
7252.289,0.3460275,0.08742176,1,-1,0
