energy,Dy165 + photon [inclusive] width,n + Dy164 width,J,Pi,L
-2037.049,0.08360001,46.62974,0.5,1,0
-102.4923,0.08360005,0.3102556,0.5,1,0
-1.879768,0.06353089,0.05006552,0.5,1,0
147.1067,0.09044126,0.8328783,0.5,1,0
450.5417,0.07269563,0.2688678,0.5,1,0
536.655,0.06354675,0.1064795,0.5,1,0
549.1917,0.114237,0.006907686,0.5,1,0
854.382,0.08235336,0.5200789,0.5,1,0
983.7238,0.110415,0.1058453,0.5,1,0
1052.182,0.1050913,0.2305307,0.5,1,0
1207.945,0.1143323,0.6666245,0.5,1,0
1324.066,0.1144468,0.9249689,0.5,1,0
1588.481,0.1150561,0.2203172,0.5,1,0
1644.745,0.1142042,0.02303339,0.5,1,0
1897.085,0.1143286,2.037202,0.5,1,0
1960.861,0.1143033,1.249566,0.5,1,0
2065.076,0.1142082,0.04613587,0.5,1,0
2320.222,0.1142763,1.905322,0.5,1,0
2397.211,0.1142368,0.4212866,0.5,1,0
2537.213,0.114242,0.6595217,0.5,1,0
2871.766,0.1142782,2.496208,0.5,1,0
2970.108,0.114248,3.154505,0.5,1,0
3281.885,0.1142041,0.219924,0.5,1,0
3481.973,0.1142096,1.876386,0.5,1,0
3734.771,0.1142062,0.7278982,0.5,1,0
4135.211,0.1142002,0.4882271,0.5,1,0
4231.531,0.1142006,2.168078,0.5,1,0
4445.84,0.1142009,4.862076,0.5,1,0
4757.601,0.1142,0.1399097,0.5,1,0
4780.107,0.1142002,1.489779,0.5,1,0
4810.15,0.1142014,10.28539,0.5,1,0
4954.901,0.1142,0.1698796,0.5,1,0
5169.907,0.1142002,2.083384,0.5,1,0
5211.94,0.1142012,12.38281,0.5,1,0
5592.104,0.1142001,1.591856,0.5,1,0
5702.501,0.1142,0.2398238,0.5,1,0
5923.319,0.1142006,10.19073,0.5,1,0
6096.803,0.1142001,1.791349,0.5,1,0
6109.803,0.1142001,2.088278,0.5,1,0
6280.71,0.1142003,6.780552,0.5,1,0
6444.703,0.1142001,2.287323,0.5,1,0
6621.105,0.1142002,3.767164,0.5,1,0
6854.201,0.1142,1.196926,0.5,1,0
6996.301,0.1142,0.9979445,0.5,1,0
7102.111,0.1,1.132602,0.5,1,0
9015.633,0.1,98.65365,0.5,1,0
804.24,0.1142,0.0088,0.5,-1,1
1286.5,0.1142,0.0043,0.5,-1,1
1709.0,0.1142,0.0099,0.5,-1,1
2285.1,0.1142,0.031,0.5,-1,1
2352.6,0.1142,0.008,0.5,-1,1
2723.2,0.1142,0.027,0.5,-1,1
3520.3,0.1142,0.071,0.5,-1,1
3621.0,0.1142,0.017,0.5,-1,1
940.98,0.1142,0.00245,1.5,-1,1
1405.8,0.1142,0.0032,1.5,-1,1
1567.4,0.1142,0.00495,1.5,-1,1
2038.7,0.1142,0.0145,1.5,-1,1
2250.7,0.1142,0.004,1.5,-1,1
2804.4,0.1142,0.008,1.5,-1,1
3048.2,0.1142,0.0085,1.5,-1,1
3100.0,0.1142,0.0095,1.5,-1,1
3209.0,0.1142,0.0265,1.5,-1,1
3416.8,0.1142,0.0235,1.5,-1,1
3460.5,0.1142,0.028,1.5,-1,1
3911.6,0.1142,0.017,1.5,-1,1
4095.8,0.1142,0.03,1.5,-1,1
4348.8,0.1142,0.0255,1.5,-1,1
4389.2,0.1142,0.0145,1.5,-1,1
4916.0,0.1142,0.042,1.5,-1,1
