energy,Ni61 + photon [inclusive] width,n + Ni60 width,J,Pi,L
-399531.2,1.0,49590.38,0.5,1,0
-248911.6,1.0,29812.46,0.5,1,0
-49287.6,1.0,9901.081,0.5,1,0
-150.0,5.0,0.009014,0.5,1,0
12534.65,2.827659,2359.086,0.5,1,0
28717.51,0.3694396,706.5663,0.5,1,0
43101.09,0.2293815,105.7518,0.5,1,0
65217.86,0.7506368,448.8622,0.5,1,0
86822.73,0.4746916,397.7682,0.5,1,0
98077.09,0.5653662,1007.575,0.5,1,0
107835.4,0.7511953,649.4467,0.5,1,0
139025.0,0.7444209,36.81847,0.5,1,0
156364.2,0.2996355,490.6963,0.5,1,0
161744.6,0.4046198,1385.845,0.5,1,0
186623.4,0.7735353,5684.217,0.5,1,0
197640.0,0.4893174,3101.242,0.5,1,0
200649.6,0.297683,27.76965,0.5,1,0
251979.3,1.085546,603.5268,0.5,1,0
256099.2,0.4428339,970.1829,0.5,1,0
257594.2,0.2114207,1959.931,0.5,1,0
278838.8,0.4216919,246.0779,0.5,1,0
291886.4,0.4547756,130.4196,0.5,1,0
316992.4,1.059787,3128.605,0.5,1,0
325402.0,3.348366,7220.614,0.5,1,0
338381.4,1.846814,3587.191,0.5,1,0
357557.8,2.474396,1370.452,0.5,1,0
376809.9,2.831389,3855.478,0.5,1,0
383091.1,1.125462,306.2405,0.5,1,0
413400.9,0.9614457,328.4577,0.5,1,0
418240.5,1.134919,53.90913,0.5,1,0
422411.3,1.858538,1653.307,0.5,1,0
437640.5,2.538761,1193.88,0.5,1,0
443891.4,1.540281,156.3911,0.5,1,0
447825.2,1.228956,2634.314,0.5,1,0
455942.6,0.8603109,1494.503,0.5,1,0
463499.8,0.9534631,1985.423,0.5,1,0
485974.2,1.467178,4749.586,0.5,1,0
498915.5,2.0404,6016.686,0.5,1,0
521764.0,2.781488,6527.541,0.5,1,0
527023.1,1.139669,3133.357,0.5,1,0
558864.9,0.90901,281.4638,0.5,1,0
566028.4,1.774737,40.25928,0.5,1,0
581707.3,1.309737,174.5027,0.5,1,0
595918.8,2.962097,1953.979,0.5,1,0
605736.4,1.370859,7874.305,0.5,1,0
616032.3,3.258138,620.0377,0.5,1,0
628675.5,1.254376,8394.078,0.5,1,0
637414.2,1.2365,1368.593,0.5,1,0
650280.2,2.348367,627.134,0.5,1,0
659536.2,1.133082,6124.592,0.5,1,0
667560.8,1.253384,5228.994,0.5,1,0
673715.9,1.305547,4333.234,0.5,1,0
679335.7,1.054177,2998.34,0.5,1,0
698935.9,1.113639,2107.704,0.5,1,0
706083.9,1.415,2186.503,0.5,1,0
711535.0,1.415,1479.339,0.5,1,0
725474.1,1.415,2473.474,0.5,1,0
738249.5,1.415,3468.782,0.5,1,0
749876.2,1.415,17477.99,0.5,1,0
759217.4,1.415,888.9796,0.5,1,0
768539.4,1.415,936.107,0.5,1,0
776886.3,1.415,9758.426,0.5,1,0
790445.6,1.415,5455.757,0.5,1,0
796981.2,1.415,244.8351,0.5,1,0
808150.6,1.0,6545.52,0.5,1,0
816641.6,1.0,11542.84,0.5,1,0
826331.4,1.0,2558.945,0.5,1,0
847519.2,1.0,8886.159,0.5,1,0
856799.4,1.0,608.4711,0.5,1,0
863592.2,1.0,200.7978,0.5,1,0
876478.8,1.0,912.4385,0.5,1,0
881773.2,1.0,2269.129,0.5,1,0
886767.9,1.0,401.8667,0.5,1,0
896957.2,1.0,1009.205,0.5,1,0
907446.2,1.0,100.0627,0.5,1,0
922230.6,1.0,1003.869,0.5,1,0
931121.3,1.0,3745.071,0.5,1,0
934317.9,1.0,1102.41,0.5,1,0
965485.2,1.0,1994.492,0.5,1,0
1018929.0,1.0,6902.731,0.5,1,0
1148793.0,1.0,58238.52,0.5,1,0
1198740.0,1.0,62628.77,0.5,1,0
1298635.0,1.0,110758.8,0.5,1,0
1289.745,0.508624,0.000240165,0.5,-1,1
2253.2,0.5318632,0.0579,0.5,-1,1
13619.53,0.4182089,0.88404,0.5,-1,1
23891.48,0.7387194,1.677302,0.5,-1,1
30252.93,0.9098541,0.70211,0.5,-1,1
33386.47,0.2935985,11.37438,0.5,-1,1
42699.2,0.3541401,1.8603,0.5,-1,1
47623.6,0.8035033,1.0233,0.5,-1,1
50906.8,0.4567413,0.2457,0.5,-1,1
56864.1,1.998099,0.54674,0.5,-1,1
71353.0,1.093085,0.6491,0.5,-1,1
86156.9,2.889883,2.3175,0.5,-1,1
91619.76,0.4332278,8.646845,0.5,-1,1
95485.3,0.5131386,0.2644,0.5,-1,1
99356.13,1.013077,5.866909,0.5,-1,1
111990.2,0.3803526,2.5705,0.5,-1,1
113287.6,1.009054,3.600367,0.5,-1,1
120835.0,1.650982,4.100949,0.5,-1,1
135999.1,1.165257,18.464,0.5,-1,1
136270.5,2.052924,7.599499,0.5,-1,1
147445.3,0.4857684,0.0825,0.5,-1,1
151375.4,0.3893183,20.41536,0.5,-1,1
160165.8,0.5814365,22.70195,0.5,-1,1
172109.7,0.378605,0.2667,0.5,-1,1
182897.6,0.9166285,77.05868,0.5,-1,1
191582.0,0.1564614,0.1598,0.5,-1,1
201481.7,1.255593,156.2177,0.5,-1,1
209739.9,0.3962936,0.1724,0.5,-1,1
219973.1,0.240935,80.36967,0.5,-1,1
230094.7,2.218115,117.1065,0.5,-1,1
262975.6,1.225906,32.02323,0.5,-1,1
280097.5,1.040684,182.0611,0.5,-1,1
282420.9,0.9434027,67.32612,0.5,-1,1
295550.7,0.6526764,163.9483,0.5,-1,1
297176.3,0.1041596,154.3319,0.5,-1,1
300253.3,1.073666,68.44148,0.5,-1,1
329054.3,0.3102958,47.39893,0.5,-1,1
336011.6,0.906313,179.5146,0.5,-1,1
342651.0,0.1746662,149.2559,0.5,-1,1
358462.0,1.570489,8.312687,0.5,-1,1
379483.9,1.04199,531.4909,0.5,-1,1
393013.2,0.9157826,469.9904,0.5,-1,1
398003.1,0.1730834,565.0617,0.5,-1,1
429251.5,0.8451473,583.3534,0.5,-1,1
440710.3,2.527693,162.4378,0.5,-1,1
454153.5,1.002239,228.0457,0.5,-1,1
