energy,Gd159 + photon [inclusive] width,n + Gd158 width,J,Pi,L
-65.0,0.08999966,0.07390103,0.5,1,0
22.3,0.09599952,0.006800023,0.5,1,0
101.1,0.08799816,0.0008499977,0.5,1,0
242.7,0.105,0.05799999,0.5,1,0
277.2,0.08999971,0.01299996,0.5,1,0
344.8,0.09299994,0.1569999,0.5,1,0
409.1,0.1,0.2719998,0.5,1,0
503.3,0.105,0.2699997,0.5,1,0
588.5,0.1119996,0.05700005,0.5,1,0
692.9,0.09499995,0.7549998,0.5,1,0
847.3,0.1069999,1.7,0.5,1,0
917.1,0.08299994,0.4599997,0.5,1,0
1068.0,0.06999993,0.2699993,0.5,1,0
1219.9,0.11,0.9199996,0.5,1,0
1294.7,0.112,0.4499996,0.5,1,0
1351.3,0.08799946,0.02499994,0.5,1,0
1427.6,0.108,0.6599996,0.5,1,0
1458.8,0.1349999,1.07,0.5,1,0
1584.4,0.09299989,0.3599995,0.5,1,0
1776.0,0.128,0.4799993,0.5,1,0
1876.1,0.102,0.2639994,0.5,1,0
1944.7,0.09899985,0.6499991,0.5,1,0
1990.6,0.1069999,0.6099995,0.5,1,0
2243.4,0.0849999,0.1659995,0.5,1,0
2317.3,0.155,0.6499994,0.5,1,0
2386.7,0.1169999,1.124999,0.5,1,0
2564.3,0.135,0.3499995,0.5,1,0
2585.4,0.06999919,0.07599998,0.5,1,0
2654.4,0.09499975,0.2219998,0.5,1,0
2795.7,0.1299998,0.6029988,0.5,1,0
2868.8,0.08800009,4.199999,0.5,1,0
2933.8,0.09099987,0.7899993,0.5,1,0
3071.0,0.08799952,0.04199987,0.5,1,0
3094.2,0.08799974,0.06499978,0.5,1,0
3165.1,0.08799981,0.2199997,0.5,1,0
3479.3,0.08799992,3.399999,0.5,1,0
3586.2,0.08799977,0.7699997,0.5,1,0
3768.1,0.0879999,2.949999,0.5,1,0
3937.0,0.08799987,1.499999,0.5,1,0
3982.7,0.08799995,4.0,0.5,1,0
4180.4,0.08799978,0.5699999,0.5,1,0
4299.9,0.08799991,0.4449993,0.5,1,0
4468.0,0.08799982,0.3599991,0.5,1,0
4501.2,0.08799997,1.999999,0.5,1,0
4621.0,0.0879999,1.629999,0.5,1,0
4796.1,0.08799983,0.4199998,0.5,1,0
4894.0,0.08799993,1.1,0.5,1,0
4985.3,0.08799941,0.09900006,0.5,1,0
5334.2,0.08799982,0.3599997,0.5,1,0
5414.0,0.08799985,0.909999,0.5,1,0
5611.2,0.08799997,6.199999,0.5,1,0
5680.9,0.08799989,1.899999,0.5,1,0
5759.1,0.08799991,1.599999,0.5,1,0
5993.4,0.08799992,1.499999,0.5,1,0
6112.1,0.08799957,0.125,0.5,1,0
6194.0,0.08799997,0.759999,0.5,1,0
6343.5,0.08800001,2.069998,0.5,1,0
6376.8,0.08799986,2.300001,0.5,1,0
6782.9,0.08799995,0.6999991,0.5,1,0
6807.4,0.08799969,0.3500002,0.5,1,0
7445.8,0.08799966,0.2399999,0.5,1,0
7548.9,0.08799967,0.2699994,0.5,1,0
7610.4,0.08799999,2.969998,0.5,1,0
7676.2,0.08799996,5.499999,0.5,1,0
7854.2,0.0879999,1.649999,0.5,1,0
7936.8,0.08799984,0.5999992,0.5,1,0
8010.9,0.0879996,0.3000003,0.5,1,0
8235.5,0.088,1.549999,0.5,1,0
8288.9,0.08799972,0.6399992,0.5,1,0
8368.0,0.08799993,3.7,0.5,1,0
8661.0,0.08799987,0.8399982,0.5,1,0
8740.5,0.08799998,6.199998,0.5,1,0
8867.2,0.08799986,1.219999,0.5,1,0
9362.6,0.08799996,5.799997,0.5,1,0
9513.3,0.08799989,2.149998,0.5,1,0
9626.0,0.08799992,2.549999,0.5,1,0
9767.3,0.08799981,0.55,0.5,1,0
9949.5,0.08799978,0.5799996,0.5,1,0
2361.0,0.08799492,0.007299989,0.5,-1,1
2706.0,0.08999724,0.002400001,0.5,-1,1
3325.0,0.0879938,0.016,0.5,-1,1
3684.0,0.08799567,0.02399997,0.5,-1,1
5196.1,0.08799667,0.03000003,0.5,-1,1
9979.8,0.08800007,0.1400007,0.5,-1,1
869.3,0.08799787,0.001600003,1.5,-1,1
1740.0,0.08799462,0.001449999,1.5,-1,1
1911.0,0.08999807,0.0007499989,1.5,-1,1
2113.0,0.08799531,0.004349994,1.5,-1,1
3535.0,0.08799403,0.01049999,1.5,-1,1
3624.1,0.08799552,0.02000001,1.5,-1,1
4223.0,0.08799465,0.01500001,1.5,-1,1
5029.9,0.08799606,0.02450003,1.5,-1,1
5113.0,0.08799499,0.01449999,1.5,-1,1
6878.8,0.08799793,0.05000003,1.5,-1,1
7266.1,0.08799796,0.04999999,1.5,-1,1
9437.5,0.08799883,0.06800014,1.5,-1,1
