energy,Pa234 + photon [inclusive] width,n + Pa233 width,J,Pi,L
0.789,0.032647,1.44496e-06,1,1,0
1.644,0.040555,0.00051568,1,1,0
2.83,0.045929,0.000259232,1,1,0
4.288,0.048405,0.0001459733,1,1,0
7.181,0.041036,0.000231792,1,1,0
8.97,0.07732,0.0002626933,1,1,0
10.35,0.04811,0.0001743173,1,1,0
11.52,0.07862,0.000147664,1,1,0
12.9,0.026047,0.0001365067,1,1,0
14.75,0.053958,8.463733e-05,1,1,0
16.2,0.059531,0.000160288,1,1,0
17.02,0.04677,0.00041864,1,1,0
19.0,0.04555,0.0001631333,1,1,0
20.95,0.05766,0.003321867,1,1,0
22.85,0.06253,0.00183216,1,1,0
24.18,0.07108,0.0005444267,1,1,0
25.6,0.07422,0.0001557173,1,1,0
27.15,0.07365,0.0002567173,1,1,0
29.3,0.04651,4.9712e-05,1,1,0
31.3,0.0444,0.00080544,1,1,0
33.9,0.08532,0.0001295413,1,1,0
35.5,0.07004,0.0005776,1,1,0
37.1,0.07795,0.0001863627,1,1,0
39.75,0.04204,0.001597547,1,1,0
42.05,0.07296,0.00041128,1,1,0
46.0,0.05844,0.002655307,1,1,0
48.5,0.06058,0.001179813,1,1,0
50.7,0.06198,0.001790187,1,1,0
53.6,0.05645,0.004223733,1,1,0
56.4,0.0659,0.00070608,1,1,0
58.5,0.03592,0.003258667,1,1,0
60.6,0.04401,0.001046133,1,1,0
63.1,0.025118,0.00103864,1,1,0
65.4,0.06194,0.00186328,1,1,0
69.1,0.06141,0.002098587,1,1,0
72.4,0.03843,0.003448267,1,1,0
75.7,0.06308,0.00152352,1,1,0
78.0,0.0582,0.003062933,1,1,0
80.6,0.03738,0.008156,1,1,0
82.7,0.04235,0.001321253,1,1,0
85.75,0.04431,0.00102032,1,1,0
89.25,0.03814,0.002198427,1,1,0
94.9,0.0278,0.007785867,1,1,0
99.4,0.0315,0.006732533,1,1,0
102.2,0.03406,0.004582933,1,1,0
105.6,0.05397,0.008271733,1,1,0
-0.18,0.035,4.01952e-06,2,1,0
1.341,0.043319,0.000107984,2,1,0
2.356,0.0352,7.43952e-06,2,1,0
3.386,0.040014,0.000315552,2,1,0
5.152,0.047344,0.000398752,2,1,0
8.26,0.041169,4.00912e-05,2,1,0
9.37,0.086985,0.001050784,2,1,0
10.87,0.078301,0.0001524096,2,1,0
12.13,0.0709,0.000330736,2,1,0
14.42,0.06815,0.000398416,2,1,0
15.92,0.056167,0.000739472,2,1,0
16.8,0.073706,0.0001129984,2,1,0
18.4,0.0466,2.38512e-05,2,1,0
20.6,0.04769,0.000250784,2,1,0
21.81,0.089274,0.000579936,2,1,0
23.3,0.07319,0.000165312,2,1,0
24.5,0.04606,3.81264e-05,2,1,0
26.75,0.049,0.000176,2,1,0
28.17,0.06538,0.000576016,2,1,0
30.85,0.0431,0.000712272,2,1,0
32.65,0.06158,0.001194176,2,1,0
34.4,0.06657,0.000483792,2,1,0
36.2,0.06189,0.001122928,2,1,0
39.1,0.04541,0.000221552,2,1,0
40.5,0.07209,0.00025928,2,1,0
44.75,0.04425,0.000565904,2,1,0
46.5,0.05722,0.00251856,2,1,0
49.45,0.03236,0.0035624,2,1,0
52.3,0.06353,0.000848848,2,1,0
54.9,0.05487,0.000334816,2,1,0
57.8,0.06911,0.000357216,2,1,0
59.35,0.06353,0.000898192,2,1,0
61.5,0.07375,7.8976e-05,2,1,0
64.5,0.06699,0.000495088,2,1,0
67.2,0.05643,0.00437584,2,1,0
71.0,0.03931,0.001172032,2,1,0
73.9,0.03423,0.00262848,2,1,0
76.8,0.03886,0.001219008,2,1,0
79.5,0.04734,0.001065024,2,1,0
81.8,0.04778,0.00172304,2,1,0
84.8,0.04348,0.000660528,2,1,0
87.0,0.03763,0.0016152,2,1,0
91.75,0.06132,0.00157584,2,1,0
98.1,0.05807,0.00174832,2,1,0
100.8,0.03792,0.001527648,2,1,0
103.6,0.0403,0.001055904,2,1,0
110.0,0.05307,0.00419472,2,1,0
